id,school_id,State,education,avg_port_add_2years,avg_port_add_2years_rank,avg_port_loss_2years,avg_port_loss_2years_rank,portal_ab,portal_ab_rank,portal_ip,portal_ip_rank,AB50_player_year_C,AB50_player_year_rank_C,AB50_player_year_1B,AB50_player_year_rank_1B,AB50_player_year_2B,AB50_player_year_rank_2B,AB50_player_year_SS,AB50_player_year_rank_SS,AB50_player_year_3B,AB50_player_year_rank_3B,AB50_player_year_LF,AB50_player_year_rank_LF,AB50_player_year_CF,AB50_player_year_rank_CF,AB50_player_year_RF,AB50_player_year_rank_RF,IP20_player_year,IP20_player_year_rank,Coach_2yr_win_percentage,3yr_wOBA,3yr_OPS,3yr_wRAA,3yr_k_bb,3yr_ISO,3yr_xFIP,3yr_WHIP,3yr_K_BB,3yr_A_OPS,3yr_BB_Per,3yr_K_percentage
1,1,43,0.1765,2.5,0.1873,11,0.977,194.6666667,0.4433,34.778,0.2939,0.568181818,0.0137,3,0.8065,3,0.8447,0,0,1.092436975,0.2,0.361702128,0.004,4,1,0.884057971,0.1008,0,0,0.463,0.135733333,0.1325,0.1117,0.338333333,0.058633333,0.440066667,0.459866667,0.468,0.518566667,0.578233333,0.4095
2,2,43,0.6029,4,0.4181,5,0.5099,171,0.3608,84.88866667,0.7736,1.5,0.2968,2,0.4875,1.620915033,0.3144,3,0.8826,2,0.5556,0.491803279,0.0316,0,0,1,0.2481,0.799369176,0.8201,0.562,0.667366667,0.6641,0.664233333,0.529633333,0.582666667,0.7254,0.623,0.7238,0.558733333,0.6602,0.740233333
3,3,6,,0,0,1.5,0.4303,0,0,0,0,0,0,2.235294118,0.6233,3.180327869,0.9064,2,0.6106,3,0.8413,2.834862385,0.7951,4,1,4,1,0,0,0.3,0.851066667,0.852366667,0.8474,0.366466667,0.811066667,0.398633333,0.1014,0.3665,0.0474,0.6118,0.237933333
4,4,32,,0,0,2,0.5574,0,0,0,0,0,0,0,0,2.644067797,0.7635,4,1,0,0,3.492957746,0.9024,0,0,0,0,0,0,0.591,0.3251,0.315833333,0.3171,0.524133333,0.177033333,0.422066667,0.337233333,0.360066667,0.442133333,0.169866667,0.636933333
5,5,22,,0,0,1.5,0.8088,2.666666667,0.0632,0,0,0.577319588,0.0183,0,0,1.774193548,0.3542,3,0.7676,3,0.7881,2,0.5072,3.781818182,0.8113,0,0,0,0,0.624,0.7093,0.735566667,0.737833333,0.7212,0.6729,0.789066667,0.883833333,0.814833333,0.849,0.875233333,0.5348
6,6,6,0.9382,0,0,2,0.0855,0,0,0,0,3.155963303,0.9041,3,0.8065,0.644859813,0.0379,3.894736842,0.9217,3.384615385,0.8222,0,0,2,0.4906,0,0,0,0,0.431,0.632233333,0.639833333,0.620333333,0.367433333,0.6119,0.527266667,0.2957,0.506366667,0.221966667,0.7284,0.282433333
7,7,35,0.2118,6,0.6689,4,0.3553,210,0.5292,44.88866667,0.4291,0,0,2,0.4875,1.824324324,0.3523,1,0.153,1.924050633,0.4111,3,0.8577,0,0,3.782608696,0.8682,0,0,0.479,0.332333333,0.2965,0.315966667,0.597133333,0.2759,0.2907,0.301433333,0.326033333,0.268733333,0.450266667,0.2849
8,8,1,0.7412,8,0.8528,7,0.7566,494.3333333,0.9038,70.22133333,0.652,3.031446541,0.8995,1.468085106,0.233,2.888888889,0.6894,3,0.8826,4,1,2.454545455,0.6403,2.735294118,0.5693,1.927710843,0.4225,0,0,0.623,0.805233333,0.797633333,0.8054,0.616266667,0.8324,0.868833333,0.8241,0.873633333,0.747933333,0.828433333,0.846633333
9,9,1,0.0265,5,0.505,1.5,0.0625,108.3333333,0.1993,36.444,0.3142,1.596330275,0.3425,0.392857143,0.0036,2.21875,0.5644,1.263157895,0.1815,3,0.8148,2.592,0.6838,3.923076923,0.8502,1,0.2481,0.288554024,0.1439,0.238,0.34,0.3139,0.349766667,0.7644,0.139,0.021966667,0.0283,0.026066667,0.053533333,0.075,0.0269
10,10,1,,2.5,0.5696,2,0.5574,0,0,48.444,0.8009,1.896551724,0.6296,1,0.2698,3.252336449,0.9163,1.868965517,0.4248,0,0,1.125,0.322,4,1,2,0.6283,0,0,0.582,0.5974,0.581566667,0.590733333,0.625933333,0.366933333,0.5048,0.2513,0.525466667,0.276433333,0.539066667,0.518933333
11,11,1,0.0471,3.5,0.3579,6,0.6546,164.3333333,0.3402,15,0.125,1.617647059,0.3516,0.989473684,0.0717,2,0.5265,1,0.153,0.990825688,0.1148,4,1,0,0,1,0.2481,0.38500885,0.3309,0.571,0.701066667,0.6913,0.694666667,0.7916,0.516233333,0.3206,0.370833333,0.309366667,0.560766667,0.353266667,0.320466667
12,12,10,,1.5,0.3924,2,0.5574,63,0.375,14.889,0.3575,1.8515625,0.6049,1.853333333,0.4884,1.02970297,0.266,4,1,4,1,1.962616822,0.5805,1,0.3041,1,0.2461,0,0,0.619,0.889333333,0.8696,0.8777,0.939566667,0.525433333,0.643866667,0.710966667,0.6658,0.654933333,0.571066667,0.665233333
13,13,7,,1,0.5292,1.5,0.8088,143.6666667,0.9289,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318,0.4198,0.419833333,0.427733333,0.5209,0.433966667,0.1711,0.2324,0.175366667,0.1538,0.4539,0.1258
14,14,22,,1.5,0.6887,1.5,0.8088,19,0.2688,0,0,0,0,1.306930693,0.1847,2,0.5556,2,0.4757,0.869565217,0.0927,0,0,4,1,0,0,0,0,0.37,0.516,0.537866667,0.513533333,0.321166667,0.6986,0.569233333,0.664366667,0.6444,0.6195,0.5317,0.686533333
15,15,38,,0.5,0.3541,0.5,0.4044,29.33333333,0.3557,16.889,0.6927,0,0,0.927272727,0.0828,1.677419355,0.3125,1.968253968,0.3135,0,0,0,0,0,0,0,0,0,0,0.346,0.366533333,0.3814,0.3587,0.313,0.221033333,0.415766667,0.5208,0.389866667,0.471666667,0.5717,0.3153
16,16,24,0.1294,2.5,0.1873,3,0.2105,48.66666667,0.0653,18.111,0.1453,0,0,0.833333333,0.0502,2.016393443,0.5303,1.01010101,0.1566,1.217391304,0.2259,2.272727273,0.6008,3.603960396,0.839,1,0.2481,0,0,0.435,0.1512,0.1273,0.146666667,0.254733333,0.0216,0.005666667,0.0035,0.005333333,0.0207,0.006766667,0.0161
17,18,32,,1,0.5292,2,0.8971,67.33333333,0.7075,0.444333333,0.0634,0,0,4,1,0,0,0,0,0,0,0,0,2,0.4465,0.52,0.007,0,0,0.438,0.355633333,0.369666667,0.324933333,0.2335,0.4823,0.6661,0.559166667,0.700566667,0.384333333,0.843366667,0.330733333
18,19,38,,1,0.5292,2.5,0.9338,22.66666667,0.2846,0.333333333,0.0341,2.1375,0.5596,1.209302326,0.1656,3.641791045,0.8194,1,0.2054,0.925373134,0.1258,0,0,2,0.4465,2,0.4755,0,0,0.565,0.694266667,0.6802,0.690133333,0.3828,0.5486,0.592366667,0.742233333,0.574533333,0.793633333,0.474366667,0.624166667
19,21,22,,1,0.5292,0,0,62.66666667,0.6798,12.778,0.5902,0,0,0,0,2.086956522,0.5694,0.9,0.0486,2.4,0.4967,0,0,2,0.4465,3.948051948,0.8881,0,0,0.479,0.571466667,0.586366667,0.5923,0.4511,0.616866667,0.757066667,0.700933333,0.7861,0.616533333,0.733966667,0.748066667
20,22,38,,2.5,0.8833,1,0.6691,90.66666667,0.8221,0,0,0,0,3.866666667,0.8854,0,0,3,0.7676,3,0.7881,0,0,0,0,0,0,0,0,0.665,0.5369,0.513266667,0.544933333,0.737233333,0.466433333,0.5939,0.7109,0.665,0.716833333,0.553866667,0.704666667
21,23,21,,2.5,0.5696,4,0.8852,18.66666667,0.1295,38.77766667,0.7104,0,0,1,0.2698,0,0,3.818181818,0.8673,3,0.8413,4,1,2.956521739,0.7558,0,0,0.534656112,0.7308,0.337,0.238933333,0.238933333,0.270733333,0.2825,0.3881,0.3369,0.403933333,0.3633,0.499466667,0.3653,0.428433333
22,24,21,,0,0,0.5,0.4044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535,0.747966667,0.7392,0.698933333,0.980166667,0.547,0.6057,0.7201,0.602233333,0.740966667,0.486,0.641433333
23,25,14,,1.5,0.6887,0,0,55.33333333,0.6285,1.555666667,0.161,2.201834862,0.578,3.952380952,0.9045,1.741935484,0.3264,4,1,2.154929577,0.4768,0,0,4,1,1.457943925,0.2168,0,0,0.5,0.764133333,0.7694,0.7678,0.7805,0.793866667,0.5638,0.6195,0.628,0.582466667,0.6318,0.554133333
24,26,40,,4,0.7595,1,0.2705,118,0.5893,55.111,0.8371,2.78125,0.9012,3.192307692,0.8651,1.433070866,0.3399,2,0.6106,0.973451327,0.1683,2.972477064,0.8293,2.9375,0.7512,4,1,0,0,0.487,0.445166667,0.451733333,0.448866667,0.6425,0.425466667,0.670933333,0.694366667,0.764766667,0.6276,0.855566667,0.574933333
25,27,43,,5,0.8608,2.5,0.6844,270.3333333,0.9018,90.55533333,0.9729,2.731707317,0.8889,2.758928571,0.7163,4,1,0.979381443,0.1018,0.860655738,0.1058,0,0,0.636363636,0.023,1,0.2461,0.254545149,0.141,0.698,0.8255,0.8149,0.841466667,0.801166667,0.680866667,0.874666667,0.871333333,0.8603,0.788833333,0.729133333,0.886166667
