activity_date,activity_type,new_team_id,old_team_id,player_id
6/24/2026,Active,,740,67592
6/24/2026,Active,,301,131034
6/23/2026,Active,,510,72631
6/24/2026,Active,,601,135181
6/24/2026,Active,,397,132349
6/24/2026,Active,,719,146611
6/24/2026,Active,,294,130927
6/24/2026,Active,,334,72524
6/23/2026,Active,,1243,106719
6/23/2026,Active,,1100,89390
6/24/2026,Committed,1137,1195,89328
6/24/2026,Committed,1149,1276,142390
6/24/2026,Committed,31,775,103019
6/24/2026,Committed,420,533,134246
6/24/2026,Committed,949,359,137406
6/24/2026,Committed,32,832,70887
6/24/2026,Committed,1176,1412,93156
6/24/2026,Committed,1112,1137,81830
6/24/2026,Committed,1247,1143,145950
6/24/2026,Committed,2059,1196,145228
6/24/2026,Committed,1260,1232,90351
6/24/2026,Committed,2079,1612,145414
6/24/2026,Committed,71,452,133097
6/24/2026,Committed,136,97,128138
6/24/2026,Committed,619,663,70982
6/24/2026,Committed,961,701,136057
6/24/2026,Committed,772,917,55020
6/24/2026,Committed,109,114,119055
6/24/2026,Committed,353,53,50876
6/24/2026,Committed,829,523,61809
6/24/2026,Committed,356,58,67798
6/24/2026,Committed,1106,1328,106853
6/24/2026,Committed,557,663,128447
6/24/2026,Committed,858,370,68322
6/24/2026,Committed,557,496,117692
6/24/2026,Committed,906,525,67323
6/24/2026,Committed,62,469,115877
6/24/2026,Committed,321,687,117862
6/24/2026,Committed,1222,1324,108444
6/24/2026,Committed,490,77,71028
