activity_date,activity_type,new_team_id,old_team_id,player_id
6/23/2026,Active,,581,134976
6/23/2026,Active,,43,127553
6/23/2026,Active,,713,136202
6/23/2026,Active,,896,103972
6/23/2026,Active,,941,68114
6/23/2026,Active,,188,128306
6/23/2026,Active,,457,133140
12/3/2025,Active,,728,150622
11/10/2025,Active,,247,150668
12/4/2025,Active,,549,150621
6/23/2026,Active,,1981,144385
6/23/2026,Committed,1087,1181,143986
6/23/2026,Committed,1243,1247,82013
6/23/2026,Committed,581,527,116713
6/23/2026,Committed,1339,1357,94980
6/23/2026,Committed,858,201,129652
6/23/2026,Committed,716,135,116490
6/23/2026,Committed,446,652,146581
6/23/2026,Committed,784,780,104298
6/23/2026,Committed,479,51,117595
6/23/2026,Committed,1108,1195,106320
6/23/2026,Committed,402,564,76245
6/23/2026,Committed,869,586,139700
6/23/2026,Committed,1154,1337,108692
6/23/2026,Committed,960,84,128003
6/23/2026,Committed,1195,1120,108103
6/23/2026,Committed,1206,1273,143936
6/23/2026,Committed,910,851,62206
6/23/2026,Committed,537,419,103038
6/23/2026,Committed,775,588,69632
6/23/2026,Committed,1120,1195,81003
6/23/2026,Committed,36,775,102512
6/23/2026,Committed,336,789,150919
6/23/2026,Committed,965,19,121477
6/23/2026,Committed,195,787,72290
6/23/2026,Committed,661,949,150915
6/23/2026,Committed,256,661,74798
6/23/2026,Committed,893,795,150867
6/23/2026,Committed,529,752,150872
6/23/2026,Committed,334,699,150871
6/23/2026,Committed,709,359,150914
6/23/2026,Committed,464,806,150926
6/23/2026,Committed,234,391,150873
6/23/2026,Committed,59,443,150869
6/23/2026,Committed,157,475,150924
6/23/2026,Committed,246,452,126834
6/23/2026,Committed,699,882,74266
6/23/2026,Committed,222,793,67685
6/23/2026,Committed,544,877,150541
6/23/2026,Committed,557,911,150917
6/23/2026,Committed,652,139,150518
6/23/2026,Committed,509,932,150866
6/23/2026,Committed,875,586,150928
6/23/2026,Committed,643,337,150932
6/23/2026,Committed,209,208,150918
6/23/2026,Committed,958,136,150929
6/23/2026,Committed,2242,280,150947
6/23/2026,Committed,620,718,150923
6/23/2026,Committed,872,807,150861
6/23/2026,Committed,248,776,150864
6/23/2026,Committed,1597,1728,78717
6/23/2026,Committed,1545,1561,81165
6/23/2026,Committed,1477,1475,83850
6/23/2026,Committed,1153,1187,85834
6/23/2026,Committed,1517,1278,150991
6/23/2026,Committed,1100,1285,87763
6/23/2026,Committed,1210,2063,145362
6/23/2026,Committed,695,678,67045
