team,conf,rpi_rank,rpi_value,wl,noncon_record,conf_record,road_wl,q1,q2,q3,q4,vs_top_100,vs_below_150,sos_rank,ncsos_rank,ncsos_value,dsr
UCLA,Big Ten,1,0.63886,43-4,19-4,24-0,15-0,7-0,17-1,9-1,10-2,25-2,2-0,36,78,,
Georgia Tech,ACC,2,0.62929,39-8,20-3,19-5,11-5,13-5,9-1,5-1,12-1,25-7,10-0,32,224,,
Texas,SEC,3,0.62399,35-10,20-2,15-8,7-6,13-6,5-3,5-1,12-0,21-8,7-0,12,159,,
Auburn,SEC,4,0.62088,32-14,18-4,14-10,7-6,11-11,7-3,6-0,8-0,20-14,5-0,1,17,,
Alabama,SEC,5,0.61728,32-16,19-5,13-11,8-10,13-9,3-5,9-2,7-0,23-15,6-0,2,23,,
North Carolina,ACC,6,0.61367,37-9-1,19-2-1,18-7,11-2,8-7,8-1-1,6-0,15-1,21-8-1,6-0,21,115,,
Florida St.,ACC,7,0.61106,33-14,18-5,15-9,8-8,5-9,7-4,12-1,9-0,21-11,8-0,5,29,,
Texas A&M,SEC,8,0.60901,35-10,20-2,15-8,9-4,12-9,0-0,7-1,16-0,16-10,14-0,28,197,,
Mississippi St.,SEC,9,0.60871,36-12,21-2,15-10,9-5,9-9,5-3,8-0,14-0,18-12,13-0,15,153,,
Southern California,Big Ten,10,0.60828,37-12,18-4,19-8,9-11,0-8,8-2,15-1,14-1,20-9,10-1,40,109,,
Southern Miss.,Sun Belt,11,0.60740,34-14,18-6,16-8,10-8,6-6,12-3,8-4,8-1,23-11,4-0,8,7,,
Florida,SEC,12,0.60378,31-17,18-6,13-11,11-5,15-11,2-1,5-2,9-3,21-14,6-1,3,35,,
Ole Miss,SEC,13,0.60043,32-17,20-4,12-13,6-8,11-14,2-3,7-0,12-0,20-16,11-0,4,92,,
Kansas,Big 12,14,0.59921,37-11,17-6,20-5,18-9,6-3,10-4,9-2,12-2,17-5,11-1,92,176,,
Oregon St.,DI Independent,15,0.59721,36-11,36-11,0-0,12-2,2-2,13-5,12-0,9-4,16-7,6-2,48,48,,
Georgia,SEC,16,0.59412,38-11,20-5,18-6,10-3,10-6,3-2,7-2,18-1,20-10,9-0,56,264,,
Coastal Carolina,Sun Belt,17,0.59384,33-14,14-9,19-5,13-6,8-5,5-3,10-4,10-2,18-11,11-2,24,3,,
Nebraska,Big Ten,18,0.59232,34-14,17-7,17-7,10-10,8-7,4-5,6-2,16-0,15-12,9-0,57,66,,
Oklahoma,SEC,19,0.59103,30-16,18-4,12-12,7-8,8-12,5-3,5-1,12-0,16-16,8-0,9,104,,
Virginia,ACC,20,0.59072,32-16,20-4,12-12,7-10,7-9,9-5,2-1,14-1,16-13,9-2,11,106,,
Wake Forest,ACC,21,0.59009,32-17,17-4,15-13,6-10,5-14,5-1,6-2,16-0,14-16,9-0,10,112,,
Cincinnati,Big 12,22,0.58716,32-17,19-6,13-11,14-11,10-10,6-3,5-3,11-1,17-15,6-1,27,77,,
