rank,teamSeasonId,teamName,conference,record,rpi,sport,division,date
1,,UCLA,Big Ten,40-4,1.00000,baseball,D1,04/30/2026
2,,Georgia Tech,ACC,37-7,0.99675,baseball,D1,04/30/2026
3,,Texas,SEC,33-9,0.99351,baseball,D1,04/30/2026
4,,Texas A&M,,34-8,0.99026,baseball,D1,04/30/2026
5,,Auburn,SEC,30-13,0.98701,baseball,D1,04/30/2026
6,,Alabama,SEC,29-16,0.98377,baseball,D1,04/30/2026
7,,North Carolina,ACC,36-9-1,0.98052,baseball,D1,04/30/2026
8,,Southern Miss.,Sun Belt,31-14,0.97727,baseball,D1,04/30/2026
9,,Southern California,Big Ten,34-12,0.97403,baseball,D1,04/30/2026
10,,Mississippi St.,SEC,35-10,0.97078,baseball,D1,04/30/2026
11,,Kansas,Big 12,34-11,0.96753,baseball,D1,04/30/2026
12,,Nebraska,Big Ten,34-11,0.96429,baseball,D1,04/30/2026
13,,Florida St.,ACC,30-14,0.96104,baseball,D1,04/30/2026
14,,Ole Miss,SEC,31-15,0.95779,baseball,D1,04/30/2026
15,,Oregon St.,Independent,34-10,0.95455,baseball,D1,04/30/2026
16,,Coastal Carolina,Sun Belt,31-13,0.95130,baseball,D1,04/30/2026
17,,Florida,SEC,29-16,0.94805,baseball,D1,04/30/2026
18,,Oklahoma,SEC,29-14,0.94481,baseball,D1,04/30/2026
19,,Georgia,SEC,35-11,0.94156,baseball,D1,04/30/2026
20,,Wake Forest,ACC,29-17,0.93831,baseball,D1,04/30/2026
21,,Cincinnati,Big 12,29-17,0.93506,baseball,D1,04/30/2026
22,,Virginia,ACC,30-16,0.93182,baseball,D1,04/30/2026
23,,Missouri St.,Conference USA,26-15,0.92857,baseball,D1,04/30/2026
24,,Boston College,ACC,34-14,0.92532,baseball,D1,04/30/2026
25,,UCF,Big 12,26-15,0.92208,baseball,D1,04/30/2026
26,,Oregon,Big Ten,33-11,0.91883,baseball,D1,04/30/2026
27,,West Virginia,Big 12,28-12,0.91558,baseball,D1,04/30/2026
28,,Arkansas,SEC,30-16,0.91234,baseball,D1,04/30/2026
29,,Miami (FL),,32-12,0.90909,baseball,D1,04/30/2026
30,,East Carolina,American,28-17-1,0.90584,baseball,D1,04/30/2026
31,,Liberty,Conference USA,32-13,0.90260,baseball,D1,04/30/2026
32,,Jacksonville St.,Conference USA,36-9,0.89935,baseball,D1,04/30/2026
33,,Tennessee,SEC,30-15,0.89610,baseball,D1,04/30/2026
34,,Virginia Tech,ACC,23-20,0.89286,baseball,D1,04/30/2026
35,,Kentucky,SEC,27-15,0.88961,baseball,D1,04/30/2026
36,,Oklahoma St.,Big 12,28-17,0.88636,baseball,D1,04/30/2026
37,,UC Santa Barbara,Big West,27-15,0.88312,baseball,D1,04/30/2026
38,,Gonzaga,West Coast,27-15,0.87987,baseball,D1,04/30/2026
39,,UAB,American,28-16,0.87662,baseball,D1,04/30/2026
40,,TCU,Big 12,29-15,0.87338,baseball,D1,04/30/2026
41,,Texas St.,Sun Belt,27-18,0.87013,baseball,D1,04/30/2026
42,,High Point,Big South,29-15,0.86688,baseball,D1,04/30/2026
43,,NC State,ACC,28-16,0.86364,baseball,D1,04/30/2026
44,,UTSA,American,30-14,0.86039,baseball,D1,04/30/2026
45,,Arizona St.,Big 12,31-14,0.85714,baseball,D1,04/30/2026
46,,Arkansas St.,Sun Belt,26-17,0.85390,baseball,D1,04/30/2026
47,,Clemson,ACC,26-19,0.85065,baseball,D1,04/30/2026
48,,Pittsburgh,ACC,28-15,0.84740,baseball,D1,04/30/2026
49,,Louisiana,Sun Belt,27-18,0.84416,baseball,D1,04/30/2026
50,,Kent St.,Mid-American,31-11,0.84091,baseball,D1,04/30/2026
51,,Michigan,Big Ten,27-17,0.83766,baseball,D1,04/30/2026
52,,Mercer,Southern,33-12,0.83442,baseball,D1,04/30/2026
53,,Miami (OH),,30-14,0.83117,baseball,D1,04/30/2026
54,,Western Caro.,Southern,29-16,0.82792,baseball,D1,04/30/2026
55,,Southeast Mo. St.,Ohio Valley,31-13,0.82468,baseball,D1,04/30/2026
56,,Saint Joseph's,,29-14,0.82143,baseball,D1,04/30/2026
57,,Troy,Sun Belt,22-23,0.81818,baseball,D1,04/30/2026
58,,Kansas St.,Big 12,26-19,0.81494,baseball,D1,04/30/2026
59,,Baylor,Big 12,23-21,0.81169,baseball,D1,04/30/2026
60,,South Fla.,American,28-16,0.80844,baseball,D1,04/30/2026
61,,LSU,SEC,25-21,0.80519,baseball,D1,04/30/2026
62,,Campbell,Coastal Athletic,30-14,0.80195,baseball,D1,04/30/2026
63,,Purdue,Big Ten,28-15,0.79870,baseball,D1,04/30/2026
64,,Vanderbilt,SEC,27-19,0.79545,baseball,D1,04/30/2026
65,,California,ACC,23-21,0.79221,baseball,D1,04/30/2026
66,,The Citadel,Southern,22-22,0.78896,baseball,D1,04/30/2026
67,,BYU,Big 12,22-21,0.78571,baseball,D1,04/30/2026
68,,California Baptist,Western Athletic,34-11,0.78247,baseball,D1,04/30/2026
69,,Maryland,Big Ten,22-23,0.77922,baseball,D1,04/30/2026
70,,Washington St.,Mountain West,23-21,0.77597,baseball,D1,04/30/2026
71,,Dallas Baptist,Conference USA,26-19,0.77273,baseball,D1,04/30/2026
72,,Iowa,Big Ten,23-17,0.76948,baseball,D1,04/30/2026
73,,Tarleton St.,Western Athletic,28-16,0.76623,baseball,D1,04/30/2026
74,,Eastern Ill.,Ohio Valley,25-15,0.76299,baseball,D1,04/30/2026
75,,Notre Dame,ACC,20-20,0.75974,baseball,D1,04/30/2026
76,,UConn,Big East,26-20,0.75649,baseball,D1,04/30/2026
77,,Louisiana Tech,Conference USA,27-19,0.75325,baseball,D1,04/30/2026
78,,Duke,ACC,23-23,0.75000,baseball,D1,04/30/2026
79,,South Alabama,Sun Belt,27-18,0.74675,baseball,D1,04/30/2026
80,,Creighton,Big East,25-17,0.74351,baseball,D1,04/30/2026
81,,Xavier,Big East,21-25,0.74026,baseball,D1,04/30/2026
82,,Minnesota,Big Ten,27-17,0.73701,baseball,D1,04/30/2026
83,,UC San Diego,Big West,19-21,0.73377,baseball,D1,04/30/2026
84,,Cal St. Fullerton,Big West,21-22,0.73052,baseball,D1,04/30/2026
85,,Utah,Big 12,21-18,0.72727,baseball,D1,04/30/2026
86,,Cal Poly,Big West,25-18,0.72403,baseball,D1,04/30/2026
87,,UNCW,Coastal Athletic,25-18,0.72078,baseball,D1,04/30/2026
88,,Southeastern La.,Southland,27-18,0.71753,baseball,D1,04/30/2026
89,,ETSU,Southern,27-15,0.71429,baseball,D1,04/30/2026
90,,Illinois,Big Ten,21-21,0.71104,baseball,D1,04/30/2026
91,,Northern Ill.,Mid-American,26-13,0.70779,baseball,D1,04/30/2026
92,,Louisville,ACC,26-19,0.70455,baseball,D1,04/30/2026
93,,South Carolina,SEC,22-24,0.70130,baseball,D1,04/30/2026
94,,Portland,West Coast,23-18,0.69805,baseball,D1,04/30/2026
95,,Stanford,ACC,22-19,0.69481,baseball,D1,04/30/2026
96,,San Diego St.,Mountain West,27-18,0.69156,baseball,D1,04/30/2026
97,,Wofford,Southern,30-15,0.68831,baseball,D1,04/30/2026
98,,Rice,American,26-20,0.68506,baseball,D1,04/30/2026
99,,Houston,Big 12,19-25,0.68182,baseball,D1,04/30/2026
100,,UTRGV,Southland,21-25,0.67857,baseball,D1,04/30/2026
101,,Little Rock,Ohio Valley,26-19,0.67532,baseball,D1,04/30/2026
102,,St. John's (NY),,24-20,0.67208,baseball,D1,04/30/2026
103,,Indiana,Big Ten,20-25,0.66883,baseball,D1,04/30/2026
104,,Samford,Southern,23-19,0.66558,baseball,D1,04/30/2026
105,,Kennesaw St.,Conference USA,19-22,0.66234,baseball,D1,04/30/2026
106,,Charlotte,American,20-24,0.65909,baseball,D1,04/30/2026
107,,USC Upstate,Big South,19-26,0.65584,baseball,D1,04/30/2026
108,,App State,Sun Belt,26-17,0.65260,baseball,D1,04/30/2026
109,,Binghamton,America East,23-16,0.64935,baseball,D1,04/30/2026
110,,Hawaii,Big West,18-19,0.64610,baseball,D1,04/30/2026
111,,Western Ky.,Conference USA,24-21,0.64286,baseball,D1,04/30/2026
112,,Lamar,Southland,24-21,0.63961,baseball,D1,04/30/2026
113,,Winthrop,Big South,28-17,0.63636,baseball,D1,04/30/2026
114,,Ohio St.,Big Ten,21-21,0.63312,baseball,D1,04/30/2026
115,,Saint Mary's (CA),,25-19,0.62987,baseball,D1,04/30/2026
116,,UC Irvine,Big West,19-23,0.62662,baseball,D1,04/30/2026
117,,Georgia St.,Sun Belt,22-22,0.62338,baseball,D1,04/30/2026
118,,Nicholls,Southland,20-20,0.62013,baseball,D1,04/30/2026
119,,Morehead St.,Ohio Valley,23-21,0.61688,baseball,D1,04/30/2026
120,,Sacramento St.,Western Athletic,21-25,0.61364,baseball,D1,04/30/2026
121,,Missouri,SEC,21-23,0.61039,baseball,D1,04/30/2026
122,,Memphis,American,16-27,0.60714,baseball,D1,04/30/2026
123,,Tulane,American,23-23,0.60390,baseball,D1,04/30/2026
124,,FGCU,ASUN,26-17,0.60065,baseball,D1,04/30/2026
125,,VCU,Atlantic 10,23-21,0.59740,baseball,D1,04/30/2026
126,,Northwestern St.,Southland,25-20,0.59416,baseball,D1,04/30/2026
127,,Michigan St.,Big Ten,16-25,0.59091,baseball,D1,04/30/2026
128,,Rutgers,Big Ten,22-23,0.58766,baseball,D1,04/30/2026
129,,Northwestern,Big Ten,17-24-1,0.58442,baseball,D1,04/30/2026
130,,Illinois St.,Missouri Valley,27-17,0.58117,baseball,D1,04/30/2026
131,,Texas Tech,Big 12,22-22,0.57792,baseball,D1,04/30/2026
132,,Jacksonville,ASUN,25-18,0.57468,baseball,D1,04/30/2026
133,,Maine,America East,14-26,0.57143,baseball,D1,04/30/2026
134,,Old Dominion,Sun Belt,22-22,0.56818,baseball,D1,04/30/2026
135,,Utah Tech,Western Athletic,27-15,0.56494,baseball,D1,04/30/2026
136,,Central Ark.,ASUN,26-19,0.56169,baseball,D1,04/30/2026
137,,Hofstra,Coastal Athletic,15-23,0.55844,baseball,D1,04/30/2026
138,,Indiana St.,Missouri Valley,24-20,0.55519,baseball,D1,04/30/2026
139,,Nevada,Mountain West,21-18,0.55195,baseball,D1,04/30/2026
140,,Radford,Big South,21-19,0.54870,baseball,D1,04/30/2026
141,,Monmouth,Coastal Athletic,24-17,0.54545,baseball,D1,04/30/2026
142,,Oral Roberts,The Summit League,26-17,0.54221,baseball,D1,04/30/2026
143,,ULM,Sun Belt,24-21,0.53896,baseball,D1,04/30/2026
144,,Rider,MAAC,24-14,0.53571,baseball,D1,04/30/2026
145,,Murray St.,Missouri Valley,26-18,0.53247,baseball,D1,04/30/2026
146,,A&M-Corpus Christi,,22-22,0.52922,baseball,D1,04/30/2026
147,,Northeastern,Coastal Athletic,26-17,0.52597,baseball,D1,04/30/2026
148,,Lindenwood,Ohio Valley,24-19,0.52273,baseball,D1,04/30/2026
149,,UT Arlington,Western Athletic,16-27,0.51948,baseball,D1,04/30/2026
150,,Wichita St.,American,25-20,0.51623,baseball,D1,04/30/2026
151,,Richmond,Atlantic 10,25-19,0.51299,baseball,D1,04/30/2026
152,,SIUE,Ohio Valley,24-21,0.50974,baseball,D1,04/30/2026
153,,James Madison,Sun Belt,18-25,0.50649,baseball,D1,04/30/2026
154,,Bryant,America East,22-19,0.50325,baseball,D1,04/30/2026
155,,Charleston So.,Big South,24-19,0.50000,baseball,D1,04/30/2026
156,,Longwood,Big South,26-19,0.49675,baseball,D1,04/30/2026
157,,Austin Peay,ASUN,21-23,0.49351,baseball,D1,04/30/2026
158,,North Florida,ASUN,24-19,0.49026,baseball,D1,04/30/2026
159,,Air Force,Mountain West,21-21,0.48701,baseball,D1,04/30/2026
160,,VMI,Southern,27-17,0.48377,baseball,D1,04/30/2026
161,,UNCG,Southern,17-28,0.48052,baseball,D1,04/30/2026
162,,Wright St.,Horizon League,19-22,0.47727,baseball,D1,04/30/2026
163,,Sam Houston,Conference USA,20-25,0.47403,baseball,D1,04/30/2026
