year,sport,national_seed,host_city,host_state,host_team,regional_seed,team
2025,baseball,1,Nashville,TN,Vanderbilt,1,Vanderbilt
2025,baseball,1,Nashville,TN,Vanderbilt,2,Louisville
2025,baseball,1,Nashville,TN,Vanderbilt,3,East Tennessee State
2025,baseball,1,Nashville,TN,Vanderbilt,4,Wright State
2025,baseball,2,Austin,TX,Texas,1,Texas
2025,baseball,2,Austin,TX,Texas,2,UTSA
2025,baseball,2,Austin,TX,Texas,3,Kansas State
2025,baseball,2,Austin,TX,Texas,4,Houston Christian
2025,baseball,3,Fayetteville,AR,Arkansas,1,Arkansas
2025,baseball,3,Fayetteville,AR,Arkansas,2,Kansas
2025,baseball,3,Fayetteville,AR,Arkansas,3,Creighton
2025,baseball,3,Fayetteville,AR,Arkansas,4,North Dakota State
2025,baseball,4,Auburn,AL,Auburn,1,Auburn
2025,baseball,4,Auburn,AL,Auburn,2,NC State
2025,baseball,4,Auburn,AL,Auburn,3,Stetson
2025,baseball,4,Auburn,AL,Auburn,4,Central Connecticut
2025,baseball,5,Chapel Hill,NC,North Carolina,1,North Carolina
2025,baseball,5,Chapel Hill,NC,North Carolina,2,Oklahoma
2025,baseball,5,Chapel Hill,NC,North Carolina,3,Nebraska
2025,baseball,5,Chapel Hill,NC,North Carolina,4,Holy Cross
2025,baseball,6,Baton Rouge,LA,LSU,1,LSU
2025,baseball,6,Baton Rouge,LA,LSU,2,Dallas Baptist
2025,baseball,6,Baton Rouge,LA,LSU,3,Rhode Island
2025,baseball,6,Baton Rouge,LA,LSU,4,Little Rock
2025,baseball,7,Athens,GA,Georgia,1,Georgia
2025,baseball,7,Athens,GA,Georgia,2,Duke
2025,baseball,7,Athens,GA,Georgia,3,Oklahoma State
2025,baseball,7,Athens,GA,Georgia,4,Binghamton
2025,baseball,8,Corvallis,OR,Oregon State,1,Oregon State
2025,baseball,8,Corvallis,OR,Oregon State,2,TCU
2025,baseball,8,Corvallis,OR,Oregon State,3,USC
2025,baseball,8,Corvallis,OR,Oregon State,4,Saint Mary's (CA)
2025,baseball,9,Tallahassee,FL,Florida State,1,Florida State
2025,baseball,9,Tallahassee,FL,Florida State,2,Northeastern
2025,baseball,9,Tallahassee,FL,Florida State,3,Mississippi State
2025,baseball,9,Tallahassee,FL,Florida State,4,Bethune-Cookman
2025,baseball,10,Oxford,MS,Ole Miss,1,Ole Miss
2025,baseball,10,Oxford,MS,Ole Miss,2,Georgia Tech
2025,baseball,10,Oxford,MS,Ole Miss,3,Western Kentucky
2025,baseball,10,Oxford,MS,Ole Miss,4,Murray State
2025,baseball,11,Clemson,SC,Clemson,1,Clemson
2025,baseball,11,Clemson,SC,Clemson,2,West Virginia
2025,baseball,11,Clemson,SC,Clemson,3,Kentucky
2025,baseball,11,Clemson,SC,Clemson,4,USC Upstate
