year,sport,school,conference,record,berth_type
2014,baseball,Binghamton,America East,25–25 (11–12),Tournament
2014,baseball,Houston,American,44–15 (14–9),Tournament
2014,baseball,Georgia Tech,Atlantic Coast,36–25 (14–16),Tournament
2014,baseball,Kennesaw State,Atlantic Sun,37–21 (17–9),Tournament
2014,baseball,George Mason,Atlantic 10,34–20 (16–9),Tournament
2014,baseball,TCU,Big 12,42–15 (17–7),Tournament
2014,baseball,Xavier,Big East,29–27 (8–10),Tournament
2014,baseball,Campbell,Big South,40–19 (18–8),Tournament
2014,baseball,Indiana,Big Ten,42–13 (21–3),Tournament
2014,baseball,Cal Poly,Big West,45–10 (19–5),Regular season
2014,baseball,College of Charleston,Colonial,41–17 (15–6),Tournament
2014,baseball,Rice,Conference USA,41–18 (23–7),Tournament
2014,baseball,Youngstown State,Horizon,16–36 (6–17),Tournament
2014,baseball,Columbia,Ivy League,29–18 (15–5),Championship series
2014,baseball,Siena,Metro Atlantic,26–31 (17–7),Tournament
2014,baseball,Kent State,Mid-American,36–21 (16–11),Tournament
2014,baseball,Bethune-Cookman,Mid-Eastern,26–31 (14–10),Tournament
2014,baseball,Dallas Baptist,Missouri Valley,40–19 (14–7),Tournament
2014,baseball,San Diego State,Mountain West,42–19 (17–13),Tournament
2014,baseball,Bryant,Northeast,42–14 (19–5),Tournament
2014,baseball,Jacksonville State,Ohio Valley,36–25 (18–12),Tournament
2014,baseball,Oregon State,Pac-12,42–12 (23–7),Regular season
2014,baseball,Bucknell,Patriot,30–19–1 (15–5),Tournament
2014,baseball,LSU,Southeastern,44–14–1 (17–11–1),Tournament
2014,baseball,Georgia Southern,Southern,39–21 (15–12),Tournament
2014,baseball,Southeastern Louisiana,Southland,37–23 (14–10),Tournament
2014,baseball,Jackson State,Southwestern Athletic,31–23 (9–15),Tournament
2014,baseball,North Dakota State,Summit,25–24 (9–12),Tournament
2014,baseball,Louisiana–Lafayette,Sun Belt,53–7 (26–4),Tournament
2014,baseball,Pepperdine,West Coast,39–16 (18–9),Tournament
2014,baseball,Sacramento State,Western Athletic,39–22 (21–6),Tournament
2014,baseball,SEC,10,"Alabama, Arkansas, Florida, Kentucky, LSU, Mississippi State, Ole Miss, South Carolina, Texas A&M, Vanderbilt",
2014,baseball,ACC,7,"Clemson, Florida State, Georgia Tech, Maryland, Miami (FL), North Carolina, Virginia",
2014,baseball,Big 12,5,"Kansas, Oklahoma State, TCU, Texas, Texas Tech",
2014,baseball,Pac-12,5,"Arizona State, Oregon, Oregon State, Stanford, Washington",
2014,baseball,Big West,4,"Cal Poly, Cal State Fullerton, Long Beach State, UC Irvine",
2014,baseball,American,2,"Houston, Louisville",
2014,baseball,Big South,2,"Campbell, Liberty",
2014,baseball,Big Ten,2,"Indiana, Nebraska",
2014,baseball,Conference USA,2,"Old Dominion, Rice",
2014,baseball,Missouri Valley,2,"Dallas Baptist, Indiana State",
2014,baseball,Mountain West,2,"San Diego State, UNLV",
2014,baseball,Southland,2,"Sam Houston State, Southeastern Louisiana",
2014,baseball,America East,1,Binghamton,
2014,baseball,Atlantic 10,1,George Mason,
2014,baseball,Atlantic Sun,1,Kennesaw State,
2014,baseball,Big East,1,Xavier,
2014,baseball,Colonial,1,College of Charleston,
2014,baseball,Horizon,1,Youngstown State,
2014,baseball,Ivy,1,Columbia,
2014,baseball,MAAC,1,Siena,
2014,baseball,Mid-American,1,Kent State,
2014,baseball,MEAC,1,Bethune-Cookman,
2014,baseball,NEC,1,Bryant,
2014,baseball,Ohio Valley,1,Jacksonville State,
2014,baseball,Patriot,1,Bucknell,
2014,baseball,Southern,1,Georgia Southern,
2014,baseball,SWAC,1,Jackson State,
2014,baseball,Summit,1,North Dakota State,
2014,baseball,Sun Belt,1,Louisiana–Lafayette,
2014,baseball,WAC,1,Sacramento State,
2014,baseball,West Coast,1,Pepperdine,
2014,baseball,Louisville,American,50–15 (19–5),Dan McDonnell
2014,baseball,Ole Miss,SEC,46–19 (19–11),Mike Bianco
2014,baseball,Texas,Big 12,43–19 (13–11),Augie Garrido
2014,baseball,Texas Tech,Big 12,45–19 (14–10),Tim Tadlock
2014,baseball,UC Irvine,Big West,40–23 (15–9),Mike Gillespie
2014,baseball,Vanderbilt,SEC,46–19 (17–13),Tim Corbin
2014,baseball,Virginia,ACC,49–14 (22–8),Brian O'Connor
2014,baseball,P,Artie Lewicki,Virginia,
2014,baseball,Brandon Waddell,Virginia,,
2014,baseball,C,Nate Irving,Virginia,
2014,baseball,1B,Kevin Cron,TCU,
2014,baseball,2B,Branden Cogswell,Virginia,
2014,baseball,3B,Tyler Campbell,Vanderbilt,
2014,baseball,SS,C. J. Hinojosa,Texas,
2014,baseball,OF,Brandon Downes,Virginia,
2014,baseball,John Norwood,Vanderbilt,,
2014,baseball,Rhett Wiseman,Vanderbilt,,
2014,baseball,DH,Dansby Swanson ( MOP ),Vanderbilt,
2014,baseball,1st,Vanderbilt,10–3,
2014,baseball,2nd,#3 Virginia,9–3,
2014,baseball,3rd,Ole Miss,7–3,
2014,baseball,5th,#7 TCU,6–3,
2014,baseball,7th,Louisville,5–2,
2014,baseball,9th,College of Charleston,3–2,
2014,baseball,#6 Louisiana–Lafayette,5–3,,
2014,baseball,Maryland,4–2,,
2014,baseball,Oklahoma State,3–2,,
2014,baseball,Stanford,5–3,,
2014,baseball,17th,Alabama,3–2,
2014,baseball,Arkansas,2–2,,
2014,baseball,Cal State Fullerton,2–2,,
2014,baseball,#4 Indiana,2–2,,
2014,baseball,Kentucky,2–2,,
2014,baseball,Long Beach State,2–2,,
2014,baseball,#8 LSU,2–2,,
2014,baseball,Miami (FL),3–2,,
2014,baseball,Mississippi State,2–2,,
2014,baseball,Oregon,2–2,,
2014,baseball,#1 Oregon State,3–2,,
2014,baseball,Sam Houston State,2–2,,
2014,baseball,South Carolina,2–2,,
2014,baseball,Texas A&M,3–2,,
2014,baseball,Washington,2–2,,
2014,baseball,33rd,Bethune-Cookman,1–2,
2014,baseball,Kansas,1–2,,
2014,baseball,Nebraska,1–2,,
2014,baseball,North Carolina,1–2,,
2014,baseball,UNLV,1–2,,
2014,baseball,49th,Arizona State,0–2,
2014,baseball,Clemson,0–2,,
2014,baseball,#2 Florida,0–2,,
2014,baseball,#5 Florida State,0–2,,
2014,baseball,Indiana State,0–2,,
2014,baseball,Liberty,0–2,,
2014,baseball,Old Dominion,0–2,,
2015,baseball,Stony Brook,America East,34–14 (18–4),Tournament
2015,baseball,East Carolina,American,40–20 (15–9),Tournament
2015,baseball,Florida State,ACC,41–19 (17–13),Tournament
2015,baseball,Lipscomb,Atlantic Sun,39–18 (13–8),Tournament
2015,baseball,VCU,Atlantic 10,37–22 (14–10),Tournament
2015,baseball,Texas,Big 12,29–25 (11–13),Tournament
2015,baseball,St. John's,Big East,39–14 (14–3),Tournament
2015,baseball,Radford,Big South,43–14 (20–4),Tournament
2015,baseball,Michigan,Big Ten,37–23 (14–10),Tournament
2015,baseball,Cal State Fullerton,Big West,34–22 (19–5),Regular season
2015,baseball,UNC Wilmington,Colonial,39–16 (18–6),Tournament
2015,baseball,FIU,Conference USA,28–29 (13–17),Tournament
2015,baseball,Wright State,Horizon,41–15 (21–8),Tournament
2015,baseball,Columbia,Ivy League,29–15 (16–4),Championship series
2015,baseball,Canisius,Metro Atlantic,34–28 (16–8),Tournament
2015,baseball,Ohio,Mid-American,36–19 (17–10),Tournament
2015,baseball,Florida A&M,Mid-Eastern,23–23 (15–9),Tournament
2015,baseball,Missouri State,Missouri Valley,45–10 (18–3),Tournament
2015,baseball,San Diego State,Mountain West,40–21 (19–10),Tournament
2015,baseball,Sacred Heart,Northeast,23–30 (13–11),Tournament
2015,baseball,Morehead State,Ohio Valley,37–20 (20–10),Tournament
2015,baseball,UCLA,Pac-12,42–14 (22–8),Regular season
2015,baseball,Lehigh,Patriot,25–27 (12–8),Tournament
2015,baseball,Florida,Southeastern,44–16 (19–11),Tournament
2015,baseball,Mercer,Southern,35–21 (16–7),Tournament
2015,baseball,Houston Baptist,Southland,28–25 (14–13),Tournament
2015,baseball,Texas Southern,Southwestern Athletic,31–17 (16–7),Tournament
2015,baseball,Oral Roberts,Summit,41–14 (25–5),Tournament
2015,baseball,Louisiana–Lafayette,Sun Belt,39–21 (18–11),Tournament
2015,baseball,Pepperdine,West Coast,30–27 (17–10),Tournament
2015,baseball,Cal State Bakersfield,Western Athletic,36–22 (17–9),Tournament
2015,baseball,SEC,7,"Arkansas, Auburn, Florida, LSU, Ole Miss, Texas A&M, Vanderbilt",
2015,baseball,ACC,7,"Clemson, Florida State, Louisville, Miami (FL), NC State, Notre Dame, Virginia",
2015,baseball,Pac-12,6,"Arizona State, California, Oregon, Oregon State, UCLA, USC",
2015,baseball,Big Ten,5,"Illinois, Indiana, Iowa, Maryland, Michigan",
2015,baseball,American,4,"East Carolina, Houston, South Florida, Tulane",
2015,baseball,Big 12,3,"Oklahoma State, TCU, Texas",
2015,baseball,Conference USA,3,"Florida Atlantic, FIU, Rice",
2015,baseball,Missouri Valley,3,"Bradley, Dallas Baptist, Missouri State",
2015,baseball,Big West,2,"Cal State Fullerton, UC Santa Barbara",
2015,baseball,Big South,2,"Coastal Carolina, Radford",
2015,baseball,Colonial,2,"College of Charleston, UNC Wilmington",
2015,baseball,America East,1,Stony Brook,
2015,baseball,Atlantic 10,1,VCU,
2015,baseball,Atlantic Sun,1,Lipscomb,
2015,baseball,Big East,1,St. John's,
2015,baseball,Horizon,1,Wright State,
2015,baseball,Ivy,1,Columbia,
2015,baseball,MAAC,1,Canisius,
2015,baseball,Mid-American,1,Ohio,
2015,baseball,MEAC,1,Florida A&M,
2015,baseball,Mountain West,1,San Diego State,
2015,baseball,NEC,1,Sacred Heart,
2015,baseball,Ohio Valley,1,Morehead State,
2015,baseball,Patriot,1,Lehigh,
2015,baseball,Southern,1,Mercer,
2015,baseball,SWAC,1,Texas Southern,
2015,baseball,Southland,1,Houston Baptist,
2015,baseball,Summit,1,Oral Roberts,
2015,baseball,Sun Belt,1,Louisiana–Lafayette,
2015,baseball,WAC,1,Cal State Bakersfield,
2015,baseball,West Coast,1,Pepperdine,
2015,baseball,Arkansas,SEC,40–23 (17–12),Dave Van Horn
2015,baseball,LSU,SEC,53–10 (21–8),Paul Mainieri
2015,baseball,Miami (FL),ACC,49–15 (22–8),Jim Morris
2015,baseball,TCU,Big 12,49–13 (18–5),Jim Schlossnagle
2015,baseball,Vanderbilt,SEC,47–19 (20–10),Tim Corbin
2015,baseball,Virginia,ACC,39–22 (15–15),Brian O'Connor
2015,baseball,P,Josh Sborz ( MOP ),Virginia,
2015,baseball,Brandon Waddell,Virginia,,
2015,baseball,C,Kade Scivicque,LSU,
2015,baseball,1B,Zander Wiel,Vanderbilt,
2015,baseball,2B,Ernie Clement,Virginia,
2015,baseball,3B,Kenny Towns,Virginia,
2015,baseball,SS,Daniel Pinero,Virginia,
2015,baseball,OF,Bryan Reynolds,Vanderbilt,
2015,baseball,Harrison Bader,Florida,,
2015,baseball,Jacob Heyward,Miami (FL),,
2015,baseball,DH,Connor Wanhanen,TCU,
2015,baseball,1st,Virginia,10–2,
2015,baseball,2nd,Vanderbilt,9–2,
2015,baseball,3rd,#4 Florida,8–2,
2015,baseball,#7 TCU,8–4,,
2015,baseball,5th,#2 LSU,6–2,
2015,baseball,#5 Miami (FL),6–3,,
2015,baseball,7th,Arkansas,5–3,
2015,baseball,9th,Florida State,3–2,
2015,baseball,#6 Illinois,3–2,,
2015,baseball,#3 Louisville,4–2,,
2015,baseball,Maryland,3–3,,
2015,baseball,#8 Missouri State,4–2,,
2015,baseball,Texas A&M,5–3,,
2015,baseball,17th,California,2–2,
2015,baseball,College of Charleston,2–2,,
2015,baseball,Dallas Baptist,3–2,,
2015,baseball,Florida Atlantic,2–2,,
2015,baseball,Iowa,2–2,,
2015,baseball,NC State,2–2,,
2015,baseball,Rice,2–2,,
2015,baseball,#1 UCLA,3–2,,
2015,baseball,USC,2–2,,
2015,baseball,33rd,Arizona State,1–2,
2015,baseball,Auburn,1–2,,
2015,baseball,Bradley,1–2,,
2015,baseball,Coastal Carolina,1–2,,
2015,baseball,Florida International,1–2,,
2015,baseball,Houston,1–2,,
2015,baseball,Indiana,1–2,,
2015,baseball,Notre Dame,1–2,,
2015,baseball,Oklahoma State,1–2,,
2015,baseball,Oregon,1–2,,
2015,baseball,Oregon State,1–2,,
2015,baseball,South Florida,1–2,,
2015,baseball,Tulane,1–2,,
2015,baseball,49th,Canisius,0–2,
2015,baseball,Clemson,0–2,,
2015,baseball,Ole Miss,0–2,,
