year,sport,national_seed,team
2014,baseball,1,Oregon State
2014,baseball,2,Florida
2014,baseball,3,Virginia
2014,baseball,4,Indiana
2014,baseball,5,Florida State
2014,baseball,6,Louisiana–Lafayette
2014,baseball,7,TCU
2014,baseball,8,LSU
2015,baseball,1,UCLA
2015,baseball,2,LSU
2015,baseball,3,Louisville
2015,baseball,4,Florida
2015,baseball,5,Miami (FL)
2015,baseball,6,Illinois
2015,baseball,7,TCU
2015,baseball,8,Missouri State
2016,baseball,1,Florida
2016,baseball,2,Louisville
2016,baseball,3,Miami (FL)
2016,baseball,4,Texas A&M
2016,baseball,5,Texas Tech
2016,baseball,6,Mississippi State
2016,baseball,7,Clemson
2016,baseball,8,LSU
2017,baseball,1,Oregon State
2017,baseball,2,North Carolina
2017,baseball,3,Florida
2017,baseball,4,LSU
2017,baseball,5,Texas Tech
2017,baseball,6,TCU
2017,baseball,7,Louisville
2017,baseball,8,Stanford
