year,team,rpi_rank,in_tournament,is_host,w,l,q1_w,q1_l,q2_w,q2_l,q1q2_w,q1q2_g,q1q2_pct,note
2013,North Carolina,1,True,True,52,8,21,8,9,0,30,38,0.7895,
2013,Vanderbilt,2,True,True,51,9,23,4,6,3,29,36,0.8056,
2013,Virginia,3,True,True,47,10,20,8,7,1,27,36,0.75,
2013,LSU,4,True,True,52,9,16,8,16,1,32,41,0.7805,
2013,Oregon St.,5,True,True,45,10,13,6,10,3,23,32,0.7188,
2013,Cal St. Fullerton,6,True,True,48,8,9,3,23,2,32,37,0.8649,
2013,NC State,7,True,True,44,14,17,10,8,2,25,37,0.6757,
2013,Florida St.,8,True,True,44,15,14,14,6,1,20,35,0.5714,
2013,Oregon,9,True,True,45,14,9,10,9,0,18,28,0.6429,
2013,Mississippi St.,10,True,True,43,17,17,13,6,4,23,40,0.575,
2013,Virginia Tech,11,True,True,38,20,13,15,9,1,22,38,0.5789,
2013,Indiana,12,True,True,43,14,10,9,10,2,20,31,0.6452,
2013,South Carolina,13,True,True,39,18,5,14,13,2,18,34,0.5294,
2013,Clemson,14,True,False,39,20,10,15,9,2,19,36,0.5278,
2013,UCLA,15,True,True,39,17,7,9,9,3,16,28,0.5714,
2013,Louisville,16,True,True,46,12,6,3,11,6,17,26,0.6538,
2013,Miami (FL),17,True,False,36,23,16,17,4,1,20,38,0.5263,
2013,Kansas St.,18,True,True,41,17,10,7,9,6,19,32,0.5938,
2013,South Alabama,19,True,False,42,18,5,9,8,5,13,27,0.4815,
2013,Ole Miss,20,True,False,37,22,11,14,8,6,19,39,0.4872,
2013,Arizona St.,21,True,False,35,20,8,5,14,10,22,37,0.5946,
2013,Louisiana,22,True,False,41,18,6,6,6,7,12,25,0.48,
2013,Austin Peay,23,True,False,45,13,0,2,12,2,12,16,0.75,
2013,Georgia Tech,24,True,False,34,25,12,16,7,5,19,40,0.475,
2013,Fla. Atlantic,25,True,False,39,20,8,9,6,2,14,25,0.56,
2013,Cal Poly,26,True,False,39,17,8,8,8,6,16,30,0.5333,
2013,Alabama,27,True,False,34,26,9,20,5,0,14,34,0.4118,
2013,Mercer,28,True,False,43,16,3,3,3,2,6,11,0.5455,
2013,Arkansas,29,True,False,37,20,14,14,3,2,17,33,0.5152,
2013,UNCW,30,True,False,37,21,1,6,10,8,11,25,0.44,
2013,Oklahoma,31,True,False,40,19,6,6,9,5,15,26,0.5769,
2013,Texas A&M,32,True,False,32,27,8,19,4,5,12,36,0.3333,
2013,Illinois,33,True,False,34,18,4,6,7,8,11,25,0.44,
2013,Nebraska,34,False,False,29,30,7,16,11,9,18,43,0.4186,
2013,Notre Dame,35,False,False,34,24,5,10,12,4,17,31,0.5484,
2013,Rice,36,True,False,41,17,3,4,9,5,12,21,0.5714,
2013,Michigan St.,37,False,False,33,17,7,6,5,5,12,23,0.5217,
2013,Auburn,38,False,False,33,23,11,16,1,0,12,28,0.4286,
2013,Florida,39,True,False,29,28,12,14,5,5,17,36,0.4722,
2013,Seton Hall,40,False,False,37,19,5,8,6,7,11,26,0.4231,
2013,Maryland,41,False,False,30,25,7,18,6,3,13,34,0.3824,
2013,Troy,42,True,False,40,18,6,8,4,3,10,21,0.4762,
2013,Campbell,43,False,False,49,10,0,1,9,2,9,12,0.75,
2013,Sam Houston,44,True,False,37,20,6,5,10,3,16,24,0.6667,
2013,Bryant,45,True,False,44,16,1,6,0,1,1,8,0.125,
2013,San Diego,46,True,False,35,23,5,3,13,9,18,30,0.6,
2013,William & Mary,47,True,False,37,22,3,5,9,10,12,27,0.4444,
2013,Kentucky,48,False,False,30,25,11,17,3,2,14,33,0.4242,
2013,Oklahoma St.,49,True,False,39,17,10,5,9,7,19,31,0.6129,
2013,Southeastern La.,50,False,False,36,24,3,11,8,11,11,33,0.3333,
2013,San Francisco,51,True,False,34,22,8,12,6,3,14,29,0.4828,
2013,Illinois St.,52,False,False,39,19,2,6,5,5,7,18,0.3889,
2013,Creighton,53,False,False,30,18,3,4,5,6,8,18,0.4444,
2013,New Mexico,54,True,False,37,20,1,5,8,6,9,20,0.45,
2013,Coastal Carolina,55,True,False,37,21,6,6,5,6,11,23,0.4783,
2013,Liberty,56,True,False,34,27,5,13,3,4,8,25,0.32,
2013,Central Ark.,57,True,False,39,20,3,5,10,9,13,27,0.4815,
2013,BYU,58,False,False,32,21,2,8,9,8,11,27,0.4074,
2013,Kansas,59,False,False,34,25,3,10,11,8,14,32,0.4375,
2013,Western Caro.,60,False,False,39,20,0,4,7,6,7,17,0.4118,
2013,UC Santa Barbara,61,True,False,34,23,4,11,10,4,14,29,0.4828,
2013,Wake Forest,62,False,False,28,27,6,21,3,2,9,32,0.2812,
2013,Ohio St.,63,False,False,35,23,6,13,6,7,12,32,0.375,
2013,Arizona,64,False,False,34,21,5,14,2,1,7,22,0.3182,
2013,Saint Louis,65,True,False,41,19,1,2,4,3,5,10,0.5,
2013,Pittsburgh,66,False,False,42,17,1,8,10,1,11,20,0.55,
2013,Houston,67,False,False,36,22,3,2,12,8,15,25,0.6,
2013,North Florida,68,False,False,40,19,4,4,1,0,5,9,0.5556,
2013,Rutgers,69,False,False,28,30,5,17,6,7,11,35,0.3143,
2013,Stanford,70,False,False,32,22,5,10,8,2,13,25,0.52,
2013,Texas,71,False,False,27,24,3,10,11,9,14,33,0.4242,
2013,Lamar University,72,False,False,39,20,5,7,4,4,9,20,0.45,
2013,Belmont,73,False,False,38,20,2,5,6,5,8,18,0.4444,
2013,Long Beach St.,74,False,False,29,27,5,15,3,5,8,28,0.2857,
2013,South Fla.,75,False,False,36,22,2,10,10,4,12,26,0.4615,
2013,A&M-Corpus Christi,76,False,False,33,24,3,6,7,10,10,26,0.3846,
2013,Duke,77,False,False,26,29,6,23,2,3,8,34,0.2353,
