year,sport,regional_host_seed,host_team,host_city,national_seed
2013,baseball,1,North Carolina,Chapel Hill,1.0
2013,baseball,2,Vanderbilt,Nashville,2.0
2013,baseball,3,Oregon State,Corvallis,3.0
2013,baseball,4,LSU,Baton Rouge,4.0
2013,baseball,5,Cal State Fullerton,Fullerton,5.0
2013,baseball,6,Virginia,Charlottesville,6.0
2013,baseball,7,Florida State,Tallahassee,7.0
2013,baseball,8,Oregon,Eugene,8.0
2013,baseball,9,South Carolina,Columbia,
2013,baseball,10,NC State,Raleigh,
2013,baseball,11,UCLA,Los Angeles,
2013,baseball,12,Virginia Tech,Blacksburg,
2013,baseball,13,Kansas State,Manhattan,
2013,baseball,14,Mississippi State,Starkville,
2013,baseball,15,Indiana,Bloomington,
2013,baseball,16,Louisville,Louisville,
2014,baseball,1,Oregon State,Corvallis,1.0
2014,baseball,2,Florida,Gainesville,2.0
2014,baseball,3,Virginia,Charlottesville,3.0
2014,baseball,4,Indiana,Bloomington,4.0
2014,baseball,5,Florida State,Tallahassee,5.0
2014,baseball,6,Louisiana–Lafayette,Lafayette,6.0
2014,baseball,7,TCU,Fort Worth,7.0
2014,baseball,8,LSU,Baton Rouge,8.0
2014,baseball,9,Oklahoma State,Stillwater,
2014,baseball,10,Houston,Houston,
2014,baseball,11,Louisville,Louisville,
2014,baseball,12,Vanderbilt,Nashville,
2014,baseball,13,Miami (FL),Coral Gables,
2014,baseball,14,Cal Poly,San Luis Obispo,
2014,baseball,15,Ole Miss,Oxford,
2014,baseball,16,South Carolina,Columbia,
2015,baseball,1,UCLA,Los Angeles,1.0
2015,baseball,2,LSU,Baton Rouge,2.0
2015,baseball,3,Louisville,Louisville,3.0
2015,baseball,4,Florida,Gainesville,4.0
2015,baseball,5,Miami (FL),Coral Gables,5.0
2015,baseball,6,Illinois,Champaign,6.0
2015,baseball,7,TCU,Fort Worth,7.0
2015,baseball,8,Missouri State,Springfield,8.0
2015,baseball,9,Oklahoma State,Stillwater,
2015,baseball,10,Florida State,Tallahassee,
2015,baseball,11,Dallas Baptist,Dallas,
2015,baseball,12,Houston,Houston,
2015,baseball,13,Texas A&M,College Station,
2015,baseball,14,Cal State Fullerton,Fullerton,
2015,baseball,15,Vanderbilt,Nashville,
2015,baseball,16,UC Santa Barbara,Santa Barbara,
2016,baseball,1,Florida,Gainesville,1.0
2016,baseball,2,Louisville,Louisville,2.0
2016,baseball,3,Miami (FL),Coral Gables,3.0
2016,baseball,4,Texas A&M,College Station,4.0
2016,baseball,5,Texas Tech,Lubbock,5.0
2016,baseball,6,Mississippi State,Starkville,6.0
2016,baseball,7,Clemson,Clemson,7.0
2016,baseball,8,LSU,Baton Rouge,8.0
2016,baseball,9,Florida State,Tallahassee,
2016,baseball,10,NC State,Raleigh,
2016,baseball,11,TCU,Fort Worth,
2016,baseball,12,Virginia,Charlottesville,
2016,baseball,13,Ole Miss,Oxford,
2016,baseball,14,Louisiana–Lafayette,Lafayette,
2016,baseball,15,Vanderbilt,Nashville,
2016,baseball,16,South Carolina,Columbia,
2017,baseball,1,Oregon State,Corvallis,1.0
2017,baseball,2,North Carolina,Chapel Hill,2.0
2017,baseball,3,Florida,Gainesville,3.0
2017,baseball,4,LSU,Baton Rouge,4.0
2017,baseball,5,Texas Tech,Lubbock,5.0
2017,baseball,6,TCU,Fort Worth,6.0
2017,baseball,7,Louisville,Louisville,7.0
2017,baseball,8,Stanford,Stanford,8.0
2017,baseball,9,Clemson,Clemson,
2017,baseball,10,Long Beach State,Long Beach,
2017,baseball,11,Florida State,Tallahassee,
2017,baseball,12,Southern Miss,Hattiesburg,
2017,baseball,13,Wake Forest,Winston-Salem,
2017,baseball,14,Arkansas,Fayetteville,
2017,baseball,15,Kentucky,Lexington,
2017,baseball,16,Houston,Houston,
2018,baseball,1,Florida,Gainesville,1.0
2018,baseball,2,Stanford,Stanford,2.0
2018,baseball,3,Oregon State,Corvallis,3.0
2018,baseball,4,Ole Miss,Oxford,4.0
2018,baseball,5,Arkansas,Fayetteville,5.0
2018,baseball,6,North Carolina,Chapel Hill,6.0
2018,baseball,7,Florida State,Tallahassee,7.0
2018,baseball,8,Georgia,Athens,8.0
2018,baseball,9,Texas Tech,Lubbock,
2018,baseball,10,Clemson,Clemson,
2018,baseball,11,Stetson,DeLand,
2018,baseball,12,East Carolina,Greenville,
2018,baseball,13,Texas,Austin,
2018,baseball,14,Minnesota,Minneapolis,
2018,baseball,15,Coastal Carolina,Conway,
2018,baseball,16,NC State,Raleigh,
2019,baseball,1,UCLA,Los Angeles,1.0
2019,baseball,2,Vanderbilt,Nashville,2.0
2019,baseball,3,Georgia Tech,Atlanta,3.0
2019,baseball,4,Georgia,Athens,4.0
2019,baseball,5,Arkansas,Fayetteville,5.0
2019,baseball,6,Mississippi State,Starkville,6.0
2019,baseball,7,Louisville,Louisville,7.0
2019,baseball,8,Texas Tech,Lubbock,8.0
2019,baseball,9,Oklahoma State,Stillwater,
2019,baseball,10,East Carolina,Greenville,
2019,baseball,11,Stanford,Stanford,
2019,baseball,12,Ole Miss,Oxford,
2019,baseball,13,LSU,Baton Rouge,
2019,baseball,14,North Carolina,Chapel Hill,
2019,baseball,15,West Virginia,Morgantown,
2019,baseball,16,Oregon State,Corvallis,
