year,sport,team,result,ncaat_wins,ncaat_losses
2021,baseball,Arkansas,Super Regional,3,2
2021,baseball,Nebraska,Regional,1,2
2021,baseball,Northeastern,Regional,1,2
2021,baseball,NJIT,Regional,1,2
2021,baseball,Texas,CWS,8,2
2021,baseball,Arizona State,Regional,1,2
2021,baseball,Fairfield,Regional,1,2
2021,baseball,Southern,Regional,1,2
2021,baseball,Tennessee,CWS,5,2
2021,baseball,Duke,Regional,1,2
2021,baseball,Liberty,Regional,1,2
2021,baseball,Wright State,Regional,1,2
2021,baseball,Vanderbilt,CWS Finalist,9,3
2021,baseball,Georgia Tech,Regional,1,2
2021,baseball,Indiana State,Regional,1,2
2021,baseball,Presbyterian,Regional,1,2
2021,baseball,Arizona,CWS,5,3
2021,baseball,Oklahoma State,Regional,1,2
2021,baseball,UC Santa Barbara,Regional,1,2
2021,baseball,Grand Canyon,Regional,1,2
2021,baseball,TCU,Regional,1,2
2021,baseball,Oregon State,Regional,1,2
2021,baseball,Dallas Baptist,Super Regional,3,2
2021,baseball,McNeese State,Regional,1,2
2021,baseball,Mississippi State,CWS Champion,10,3
2021,baseball,Campbell,Regional,1,2
2021,baseball,VCU,Regional,1,2
2021,baseball,Samford,Regional,1,2
2021,baseball,Texas Tech,Super Regional,3,2
2021,baseball,UCLA,Regional,1,2
2021,baseball,North Carolina,Regional,1,2
2021,baseball,Army,Regional,1,2
2021,baseball,Stanford,CWS,6,3
2021,baseball,UC Irvine,Regional,1,2
2021,baseball,Nevada,Regional,1,2
2021,baseball,North Dakota State,Regional,1,2
2021,baseball,Notre Dame,Super Regional,3,2
2021,baseball,UConn,Regional,1,2
2021,baseball,Michigan,Regional,1,2
2021,baseball,Central Michigan,Regional,1,2
2021,baseball,Old Dominion,Regional,1,2
2021,baseball,South Carolina,Regional,1,2
2021,baseball,Virginia,CWS,7,4
2021,baseball,Jacksonville,Regional,1,2
2021,baseball,Ole Miss,Super Regional,3,2
2021,baseball,Southern Miss,Regional,1,2
2021,baseball,Florida State,Regional,1,2
2021,baseball,Southeast Missouri State,Regional,1,2
2021,baseball,East Carolina,Super Regional,3,2
2021,baseball,Charlotte,Regional,1,2
2021,baseball,Maryland,Regional,1,2
2021,baseball,Norfolk State,Regional,1,2
2021,baseball,Oregon,Regional,1,2
2021,baseball,Gonzaga,Regional,1,2
2021,baseball,LSU,Super Regional,3,2
2021,baseball,Central Connecticut,Regional,1,2
2021,baseball,Florida,Regional,1,2
2021,baseball,Miami (FL),Regional,1,2
2021,baseball,South Alabama,Regional,1,2
2021,baseball,South Florida,Super Regional,3,2
2021,baseball,Louisiana Tech,Regional,1,2
2021,baseball,NC State,CWS,7,2
2021,baseball,Alabama,Regional,1,2
2021,baseball,Rider,Regional,1,2
2022,baseball,Tennessee,Super Regional,3,2
2022,baseball,Georgia Tech,Regional,1,2
2022,baseball,Campbell,Regional,1,2
2022,baseball,Alabama State,Regional,1,2
2022,baseball,Stanford,CWS,6,4
2022,baseball,Texas State,Regional,1,2
2022,baseball,UC Santa Barbara,Regional,1,2
2022,baseball,Binghamton,Regional,1,2
2022,baseball,Oregon State,Super Regional,3,2
2022,baseball,Vanderbilt,Regional,1,2
2022,baseball,San Diego,Regional,1,2
2022,baseball,New Mexico State,Regional,1,2
2022,baseball,Virginia Tech,Super Regional,3,2
2022,baseball,Gonzaga,Regional,1,2
2022,baseball,Columbia,Regional,1,2
2022,baseball,Wright State,Regional,1,2
2022,baseball,Texas A&M,CWS,7,2
2022,baseball,TCU,Regional,1,2
2022,baseball,Louisiana,Regional,1,2
2022,baseball,Oral Roberts,Regional,1,2
2022,baseball,Miami (FL),Regional,1,2
2022,baseball,Arizona,Regional,1,2
2022,baseball,Ole Miss,CWS Champion,10,1
2022,baseball,Canisius,Regional,1,2
2022,baseball,Oklahoma State,Regional,1,2
2022,baseball,Arkansas,CWS,8,3
2022,baseball,Grand Canyon,Regional,1,2
2022,baseball,Missouri State,Regional,1,2
2022,baseball,East Carolina,Super Regional,3,2
2022,baseball,Virginia,Regional,1,2
2022,baseball,Coastal Carolina,Regional,1,2
2022,baseball,Coppin State,Regional,1,2
2022,baseball,Texas,CWS,5,3
2022,baseball,Louisiana Tech,Regional,1,2
2022,baseball,Dallas Baptist,Regional,1,2
2022,baseball,Air Force,Regional,1,2
2022,baseball,North Carolina,Super Regional,3,2
2022,baseball,Georgia,Regional,1,2
2022,baseball,VCU,Regional,1,2
2022,baseball,Hofstra,Regional,1,2
2022,baseball,Southern Miss,Super Regional,3,2
2022,baseball,LSU,Regional,1,2
2022,baseball,Kennesaw State,Regional,1,2
2022,baseball,Army,Regional,1,2
2022,baseball,Louisville,Super Regional,3,2
2022,baseball,Oregon,Regional,1,2
2022,baseball,Michigan,Regional,1,2
2022,baseball,Southeast Missouri State,Regional,1,2
2022,baseball,Florida,Regional,1,2
2022,baseball,Oregon,Regional,1,2
2022,baseball,Liberty,Regional,1,2
2022,baseball,Central Michigan,Regional,1,2
2022,baseball,Auburn,CWS,6,3
2022,baseball,UCLA,Regional,1,2
2022,baseball,Florida State,Regional,1,2
2022,baseball,Southeastern Louisiana,Regional,1,2
