year,seed,team,rpi,overall,q1,q1_pct
2013,13,Kansas St.,18,41-17,10-7,0.5882352941176471
2014,15,Ole Miss,17,41-18,10-12,0.45454545454545453
2014,14,Cal Poly,18,45-10,2-4,0.3333333333333333
2014,11,Louisville,21,45-15,6-8,0.42857142857142855
2015,16,UC Santa Barbara,17,40-15,5-3,0.625
2015,14,Cal St. Fullerton,29,34-22,9-12,0.42857142857142855
2016,12,Virginia,18,37-20,14-15,0.4827586206896552
2017,16,Houston,17,40-19,10-9,0.5263157894736842
2018,15,Coastal Carolina,17,42-17,10-8,0.5555555555555556
2018,16,NC State,22,40-16,10-8,0.5555555555555556
2018,13,Texas,23,37-20,7-13,0.35
2019,12,Ole Miss,17,37-25,17-16,0.5151515151515151
2019,13,LSU,18,37-24,13-17,0.43333333333333335
2019,16,Oregon St.,20,36-18,13-9,0.5909090909090909
2021,15,Florida,18,38-20,10-15,0.4
2021,16,Louisiana Tech,33,40-18,9-11,0.45
2022,7,Oklahoma St.,17,39-20,12-10,0.5454545454545454
2022,11,Southern Miss.,19,43-16,7-4,0.6363636363636364
2022,13,Florida,20,39-22,12-16,0.42857142857142855
2022,9,Texas,22,42-19,12-15,0.4444444444444444
2022,5,Texas A&M,23,37-18,14-9,0.6086956521739131
2023,11,Oklahoma St.,20,41-18,13-14,0.48148148148148145
2023,13,Auburn,21,34-21,9-13,0.4090909090909091
2024,16,East Carolina,18,43-15,5-3,0.625
2024,13,Arizona,28,36-21,9-9,0.5
2025,10,Ole Miss,17,40-19,19-15,0.5588235294117647
2025,16,Southern Miss.,20,44-14,8-5,0.6153846153846154
