year,seed,team,rpi,overall,q1,q2,q12_pct
2013,13,Kansas St.,18,41-17,10-7,9-6,0.59375
2014,15,Ole Miss,17,41-18,10-12,11-4,0.5675675675675675
2014,14,Cal Poly,18,45-10,2-4,15-5,0.6538461538461539
2014,11,Louisville,21,45-15,6-8,7-0,0.6190476190476191
2015,16,UC Santa Barbara,17,40-15,5-3,14-4,0.7307692307692307
2015,14,Cal St. Fullerton,29,34-22,9-12,5-6,0.4375
2016,12,Virginia,18,37-20,14-15,7-3,0.5384615384615384
2017,16,Houston,17,40-19,10-9,9-7,0.5428571428571428
2018,15,Coastal Carolina,17,42-17,10-8,10-4,0.625
2018,16,NC State,22,40-16,10-8,7-2,0.6296296296296297
2018,13,Texas,23,37-20,7-13,13-5,0.5263157894736842
2019,12,Ole Miss,17,37-25,17-16,7-5,0.5333333333333333
2019,13,LSU,18,37-24,13-17,7-4,0.4878048780487805
2019,16,Oregon St.,20,36-18,13-9,13-6,0.6341463414634146
2021,15,Florida,18,38-20,10-15,10-3,0.5263157894736842
2021,16,Louisiana Tech,33,40-18,9-11,5-2,0.5185185185185185
2022,7,Oklahoma St.,17,39-20,12-10,14-8,0.5909090909090909
2022,11,Southern Miss.,19,43-16,7-4,14-10,0.6
2022,13,Florida,20,39-22,12-16,12-5,0.5333333333333333
2022,9,Texas,22,42-19,12-15,8-3,0.5263157894736842
2022,5,Texas A&M,23,37-18,14-9,9-6,0.6052631578947368
2023,11,Oklahoma St.,20,41-18,13-14,10-2,0.5897435897435898
2023,13,Auburn,21,34-21,9-13,15-5,0.5714285714285714
2024,16,East Carolina,18,43-15,5-3,7-6,0.5714285714285714
2024,13,Arizona,28,36-21,9-9,9-5,0.5625
2025,10,Ole Miss,17,40-19,19-15,4-2,0.575
2025,16,Southern Miss.,20,44-14,8-5,6-3,0.6363636363636364
