year,team,rpi,overall,q1,q1_pct
2013,Clemson,14,39-20,10-15,0.4
2014,Rice,9,41-18,9-10,0.47368421052631576
2014,Texas,12,38-18,16-13,0.5517241379310345
2014,Texas Tech,15,40-18,11-14,0.44
2015,Bradley,13,35-19,5-8,0.38461538461538464
2015,Fla. Atlantic,16,40-17,8-7,0.5333333333333333
2016,Coastal Carolina,12,44-15,5-9,0.35714285714285715
2017,Virginia,15,42-14,6-7,0.46153846153846156
2018,Auburn,14,39-21,7-15,0.3181818181818182
2018,UConn,15,35-20,13-8,0.6190476190476191
2018,Texas A&M,16,39-20,12-15,0.4444444444444444
2019,Miami (FL),11,39-18,12-12,0.5
2019,Tennessee,12,38-19,13-12,0.52
2019,Texas A&M,16,37-21,16-15,0.5161290322580645
2021,Fairfield,9,37-3,0-0,0.0
2021,Oklahoma St.,15,35-17,7-12,0.3684210526315789
2022,Wake Forest,8,40-17,12-13,0.48
2022,Vanderbilt,10,36-21,13-20,0.3939393939393939
2022,DBU,14,34-22,11-6,0.6470588235294118
2022,Georgia,15,35-21,17-16,0.5151515151515151
2022,Notre Dame,16,35-14,11-7,0.6111111111111112
2023,DBU,13,45-14,7-6,0.5384615384615384
2023,Campbell,15,44-13,8-6,0.5714285714285714
2024,Wake Forest,10,38-20,11-15,0.4230769230769231
2024,Indiana St.,11,42-13,4-6,0.4
2025,Alabama,10,41-16,17-13,0.5666666666666667
2025,Florida,16,38-20,12-18,0.4
