year,team,rpi,overall,q1,q2,q12_pct
2013,Clemson,14,39-20,10-15,9-2,0.5277777777777778
2014,Rice,9,41-18,9-10,14-5,0.6052631578947368
2014,Texas,12,38-18,16-13,6-4,0.5641025641025641
2014,Texas Tech,15,40-18,11-14,6-2,0.5151515151515151
2015,Bradley,13,35-19,5-8,11-5,0.5517241379310345
2015,Fla. Atlantic,16,40-17,8-7,12-6,0.6060606060606061
2016,Coastal Carolina,12,44-15,5-9,10-1,0.6
2017,Virginia,15,42-14,6-7,10-4,0.5925925925925926
2018,Auburn,14,39-21,7-15,17-5,0.5454545454545454
2018,UConn,15,35-20,13-8,9-8,0.5789473684210527
2018,Texas A&M,16,39-20,12-15,5-4,0.4722222222222222
2019,Miami (FL),11,39-18,12-12,9-4,0.5675675675675675
2019,Tennessee,12,38-19,13-12,7-1,0.6060606060606061
2019,Texas A&M,16,37-21,16-15,3-2,0.5277777777777778
2021,Fairfield,9,37-3,0-0,0-0,0.0
2021,Oklahoma St.,15,35-17,7-12,10-2,0.5483870967741935
2022,Wake Forest,8,40-17,12-13,8-3,0.5555555555555556
2022,Vanderbilt,10,36-21,13-20,10-1,0.5227272727272727
2022,DBU,14,34-22,11-6,7-11,0.5142857142857142
2022,Georgia,15,35-21,17-16,4-4,0.5121951219512195
2022,Notre Dame,16,35-14,11-7,7-4,0.6206896551724138
2023,DBU,13,45-14,7-6,9-4,0.6153846153846154
2023,Campbell,15,44-13,8-6,9-4,0.6296296296296297
2024,Wake Forest,10,38-20,11-15,13-4,0.5581395348837209
2024,Indiana St.,11,42-13,4-6,10-3,0.6086956521739131
2025,Alabama,10,41-16,17-13,4-2,0.5833333333333334
2025,Florida,16,38-20,12-18,8-1,0.5128205128205128
