kind,year,team,rpi_rank,w,l,q1q2_w,q1q2_g,q1q2_pct,conference
historical,2013,Clemson,14,39,20,19,36,0.5278,Atlantic Coast Conference
historical,2013,Miami (FL),17,36,23,20,38,0.5263,Atlantic Coast Conference
historical,2013,South Alabama,19,42,18,13,27,0.4815,Sun Belt
historical,2013,Ole Miss,20,37,22,19,39,0.4872,Southeastern Conference
historical,2013,Arizona St.,21,35,20,22,37,0.5946,Big 12
historical,2013,Louisiana,22,41,18,12,25,0.48,Sun Belt
historical,2013,Austin Peay,23,45,13,12,16,0.75,Atlantic Sun Conference
historical,2013,Georgia Tech,24,34,25,19,40,0.475,Atlantic Coast Conference
historical,2013,Fla. Atlantic,25,39,20,14,25,0.56,American Athletic Conference
historical,2013,Cal Poly,26,39,17,16,30,0.5333,Big West
historical,2013,Alabama,27,34,26,14,34,0.4118,Southeastern Conference
historical,2013,Mercer,28,43,16,6,11,0.5455,SoCon
historical,2013,Arkansas,29,37,20,17,33,0.5152,Southeastern Conference
historical,2013,UNCW,30,37,21,11,25,0.44,Colonial Athletic Association
historical,2013,Oklahoma,31,40,19,15,26,0.5769,Southeastern Conference
historical,2013,Texas A&M,32,32,27,12,36,0.3333,Southeastern Conference
historical,2013,Illinois,33,34,18,11,25,0.44,Big Ten
historical,2013,Rice,36,41,17,12,21,0.5714,American Athletic Conference
historical,2013,Florida,39,29,28,17,36,0.4722,Southeastern Conference
historical,2013,Troy,42,40,18,10,21,0.4762,Sun Belt
historical,2013,Sam Houston,44,37,20,16,24,0.6667,Conference USA
historical,2013,Bryant,45,44,16,1,8,0.125,America East
historical,2013,San Diego,46,35,23,18,30,0.6,West Coast Conference
historical,2013,William & Mary,47,37,22,12,27,0.4444,Colonial Athletic Association
historical,2013,Oklahoma St.,49,39,17,19,31,0.6129,Big 12
historical,2013,San Francisco,51,34,22,14,29,0.4828,West Coast Conference
historical,2013,New Mexico,54,37,20,9,20,0.45,Mountain West
historical,2013,Coastal Carolina,55,37,21,11,23,0.4783,Sun Belt
historical,2013,Liberty,56,34,27,8,25,0.32,Conference USA
historical,2013,Central Ark.,57,39,20,13,27,0.4815,Atlantic Sun Conference
historical,2013,UC Santa Barbara,61,34,23,14,29,0.4828,Big West
historical,2013,Elon,80,32,28,10,26,0.3846,Colonial Athletic Association
historical,2013,Wichita St.,85,39,26,9,27,0.3333,American Athletic Conference
historical,2013,ETSU,87,36,22,7,14,0.5,SoCon
historical,2013,Towson,92,29,28,13,27,0.4815,Colonial Athletic Association
historical,2013,San Diego St.,95,31,29,11,31,0.3548,Mountain West
historical,2013,UTSA,108,35,23,3,17,0.1765,American Athletic Conference
historical,2013,Binghamton,172,30,23,0,3,0.0,America East
historical,2014,Texas,12,38,18,25,42,0.5952,Southeastern Conference
historical,2014,Texas Tech,14,40,18,17,34,0.5,Big 12
historical,2014,Kentucky,19,35,23,23,39,0.5897,Southeastern Conference
historical,2014,Washington,22,39,15,14,23,0.6087,Big Ten
historical,2014,Alabama,23,34,22,18,36,0.5,Southeastern Conference
historical,2014,Oregon,24,42,18,14,30,0.4667,Big Ten
historical,2014,Nebraska,25,40,19,21,32,0.6562,Big Ten
historical,2014,DBU,26,40,19,13,25,0.52,Conference USA
