year,sport,selection_date,note
2013,baseball,2013-05-27,Memorial Day
2014,baseball,2014-05-26,Memorial Day
2015,baseball,2015-05-25,Memorial Day
2016,baseball,2016-05-30,Memorial Day
2017,baseball,2017-05-29,Memorial Day
2018,baseball,2018-05-28,Memorial Day
2019,baseball,2019-05-27,Memorial Day
2020,baseball,,Cancelled (COVID)
2021,baseball,2021-05-31,Memorial Day
2022,baseball,2022-05-30,Memorial Day
2023,baseball,2023-05-29,Memorial Day
2024,baseball,2024-05-27,Memorial Day
2025,baseball,2025-05-26,Memorial Day
2014,softball,2014-05-18,Sunday before regionals
2015,softball,2015-05-17,Sunday before regionals
2016,softball,2016-05-22,Sunday before regionals
2017,softball,2017-05-21,Sunday before regionals
2018,softball,2018-05-20,Sunday before regionals
2019,softball,2019-05-19,Sunday before regionals
2020,softball,,Cancelled (COVID)
2021,softball,2021-05-16,Sunday before regionals
2022,softball,2022-05-22,Sunday before regionals
2023,softball,2023-05-21,Sunday before regionals
2024,softball,2024-05-19,Sunday before regionals
2025,softball,2025-05-18,Sunday before regionals
