sport,snapshot_date,name,display_conference,record_str,rpi,rpi_rank,projected_rpi,projected_rpi_rank,proj_record_str,sixty_four_rank,overall_seed,seed_tier,national_seed,is_auto_bid,bubble_status,conf_win_pct
baseball,2026-04-14,UCLA,Big Ten,33-2,1.0,1.0,0.5941942780520788,1,45-9,0.9707,1,1-seed,1.0,True,,1.0
baseball,2026-04-14,Georgia Tech,ACC,30-5,0.99351,3.0,0.574909551174744,2,41-13,0.9967,2,1-seed,2.0,True,,0.8333333333333334
baseball,2026-04-14,Texas,SEC,27-7,0.99675,2.0,0.5682117268386347,3,38-16,0.9935,3,1-seed,3.0,False,,0.6428571428571429
baseball,2026-04-14,Florida,SEC,27-10,0.99026,4.0,0.5639301319733406,4,37-19,0.9772,4,1-seed,4.0,False,,0.6
baseball,2026-04-14,Oregon St.,Independent,28-7,0.98052,7.0,0.5696869087742745,5,42-13,0.9544,5,1-seed,5.0,False,,0.0
baseball,2026-04-14,Texas A&M,SEC,27-7,0.96429,12.0,0.5602000145235245,6,37-17,0.9349,6,1-seed,6.0,False,,0.6428571428571429
baseball,2026-04-14,North Carolina,ACC,30-6,0.96753,11.0,0.5659704665900362,7,41-15,0.9316,7,1-seed,7.0,False,,0.7222222222222222
baseball,2026-04-14,Auburn,SEC,24-11,0.97078,10.0,0.5726685006704814,8,34-20,0.9446,8,1-seed,8.0,False,,0.5333333333333333
baseball,2026-04-14,Alabama,SEC,26-11,0.98701,5.0,0.5692736117742527,9,36-19,0.8893,9,1-seed,9.0,False,,0.5333333333333333
baseball,2026-04-14,Ole Miss,SEC,26-11,0.96104,13.0,0.5654797713452677,10,36-20,0.9674,10,1-seed,10.0,False,,0.5333333333333333
baseball,2026-04-14,Georgia,SEC,29-8,0.93831,20.0,0.5504316649717014,11,39-16,0.9837,11,1-seed,11.0,True,,0.7333333333333333
baseball,2026-04-14,Florida St.,ACC,24-11,0.98377,6.0,0.5544798619982719,12,35-20,0.9739,12,1-seed,12.0,False,,0.6
baseball,2026-04-14,Southern California,Big Ten,29-7,0.97727,8.0,0.5732380639440353,13,42-14,0.899,13,1-seed,13.0,False,,0.7058823529411765
baseball,2026-04-14,Coastal Carolina,Sun Belt,26-9,0.97403,9.0,0.5590433904292239,14,38-18,0.772,14,1-seed,14.0,True,,0.8666666666666667
baseball,2026-04-14,Mississippi St.,SEC,26-10,0.93182,22.0,0.5500421059129337,15,36-19,1.0,15,1-seed,15.0,False,,0.4666666666666667
baseball,2026-04-14,Oklahoma,SEC,24-11,0.95455,15.0,0.5503864975140227,16,34-20,0.9609,16,1-seed,16.0,False,,0.4666666666666667
baseball,2026-04-14,Virginia,ACC,26-11,0.94805,17.0,0.5522392093276286,17,37-18,0.8762,17,2-seed,,False,,0.5555555555555556
baseball,2026-04-14,West Virginia,Big 12,24-8,0.94481,18.0,0.5546481955240679,18,35-17,0.987,18,2-seed,,False,,0.6666666666666666
baseball,2026-04-14,Southern Miss.,Sun Belt,25-11,0.95779,14.0,0.555082175848842,19,36-18,0.8664,19,2-seed,,False,,0.5333333333333333
baseball,2026-04-14,Kansas,Big 12,26-10,0.93506,21.0,0.5554914150892586,20,37-18,0.8176,20,2-seed,,True,,0.8
baseball,2026-04-14,Oregon,Big Ten,26-10,0.89286,34.0,0.5557844035073546,21,37-18,0.9511,21,2-seed,,False,,0.6666666666666666
baseball,2026-04-14,Kentucky,SEC,25-10,0.94156,19.0,0.5452237420548619,22,34-19,0.9186,22,2-seed,,False,,0.4666666666666667
baseball,2026-04-14,Nebraska,Big Ten,27-9,0.91558,27.0,0.561774939169427,23,38-17,0.9218,23,2-seed,,False,,0.8
baseball,2026-04-14,Tennessee,SEC,24-12,0.91234,28.0,0.542086248177979,24,35-21,0.9283,24,2-seed,,False,,0.4666666666666667
baseball,2026-04-14,Wake Forest,ACC,24-13,0.92208,25.0,0.5457016121571214,25,35-21,0.9902,25,2-seed,,False,,0.5
baseball,2026-04-14,Miami (FL),ACC,27-9,0.9026,31.0,0.5382036715392119,26,37-18,0.9121,26,2-seed,,False,,0.5333333333333333
baseball,2026-04-14,Arkansas,SEC,24-13,0.88961,35.0,0.5438811625853643,27,34-22,0.8925,27,2-seed,,False,,0.5333333333333333
baseball,2026-04-14,Jacksonville St.,Conference USA,29-8,0.91883,26.0,0.545605290580473,28,41-15,0.9381,28,2-seed,,True,,0.8666666666666667
baseball,2026-04-14,Arizona St.,Big 12,26-11,0.87338,40.0,0.5356623848127157,29,37-19,0.9577,29,2-seed,,False,,0.625
baseball,2026-04-14,Missouri St.,Conference USA,24-10,0.9513,16.0,0.5455469416583674,30,35-19,0.8958,30,2-seed,,False,,0.8
baseball,2026-04-14,Boston College,ACC,26-12,0.90909,29.0,0.5406514665634645,31,38-21,0.8534,31,2-seed,,False,,0.6111111111111112
baseball,2026-04-14,Kansas St.,Big 12,23-13,0.85065,47.0,0.547015735772813,32,34-22,0.9414,32,2-seed,,False,,0.4666666666666667
baseball,2026-04-14,Clemson,ACC,23-14,0.86688,42.0,0.5387869775303117,33,33-23,0.9153,33,3-seed,,False,,0.3333333333333333
baseball,2026-04-14,Cincinnati,Big 12,24-14,0.92532,24.0,0.5574624241522879,34,34-22,0.8502,34,3-seed,,False,,0.4
baseball,2026-04-14,UCF,Big 12,20-12,0.89935,32.0,0.5311172508806414,35,31-24,0.9088,35,3-seed,,False,,0.6666666666666666
baseball,2026-04-14,Liberty,Conference USA,25-10,0.92857,23.0,0.5447836787382959,36,38-18,0.8599,36,3-seed,,False,,0.7333333333333333
baseball,2026-04-14,Texas St.,Sun Belt,24-12,0.87987,38.0,0.5470104364294779,37,35-21,0.785,37,3-seed,,False,,0.6
baseball,2026-04-14,East Carolina,American,22-14,0.88636,36.0,0.5350930899353705,38,34-22,0.8697,38,3-seed,,False,last_in,0.5833333333333334
baseball,2026-04-14,UTSA,American,25-11,0.90584,30.0,0.5390052588058369,39,37-19,0.6906,39,3-seed,,True,,0.6666666666666666
baseball,2026-04-14,UC Santa Barbara,Big West,22-11,0.8961,33.0,0.5413194164373325,40,35-19,0.8469,40,3-seed,,False,last_in,0.6666666666666666
baseball,2026-04-14,NC State,ACC,24-12,0.80519,61.0,0.5289929744507176,41,33-22,0.9023,41,3-seed,,False,last_in,0.5333333333333333
baseball,2026-04-14,California Baptist,Western Athletic,29-7,0.81818,57.0,0.5396719839312935,42,42-14,0.9055,42,3-seed,,True,,0.6666666666666666
baseball,2026-04-14,Oklahoma St.,Big 12,22-14,0.83442,52.0,0.5317535505544912,43,32-23,0.8827,43,3-seed,,False,last_in,0.4666666666666667
baseball,2026-04-14,Kent St.,Mid-American,25-9,0.8539,46.0,0.5370057922335064,49,39-16,0.4691,44,3-seed,,True,,0.7222222222222222
baseball,2026-04-14,Campbell,Coastal Athletic,23-12,0.79221,65.0,0.5206188782553641,58,36-19,0.8078,45,3-seed,,True,,0.8888888888888888
baseball,2026-04-14,Gonzaga,West Coast,20-14,0.83117,53.0,0.5285862970294656,70,31-21,0.8795,46,3-seed,,True,,0.75
baseball,2026-04-14,Southeastern La.,Southland,23-14,0.76948,72.0,0.5135077036608102,75,33-20,0.3453,47,3-seed,,True,,0.6666666666666666
baseball,2026-04-14,Saint Joseph's,Atlantic 10,23-11,0.88312,37.0,0.5356502341794852,79,33-17,0.557,48,3-seed,,True,,0.9333333333333333
baseball,2026-04-14,Wofford,Southern,25-11,0.70455,92.0,0.5195589555172085,85,36-19,0.6026,49,4-seed,,True,,0.8888888888888888
baseball,2026-04-14,UC San Diego,Big West,15-16,0.82792,54.0,0.5118819257386922,93,26-25,0.5081,50,4-seed,,True,,0.7333333333333333
baseball,2026-04-14,Winthrop,Big South,23-13,0.67532,101.0,0.5119757798713866,95,35-21,0.316,51,4-seed,,True,,0.7777777777777778
baseball,2026-04-14,Eastern Ill.,Ohio Valley,21-11,0.75974,75.0,0.5158333287137463,106,32-22,0.3779,52,4-seed,,True,,0.8333333333333334
baseball,2026-04-14,Wright St.,Horizon League,17-15,0.66234,105.0,0.5006551601208008,114,29-24,0.5993,53,4-seed,,True,,0.9166666666666666
baseball,2026-04-14,New Mexico,Mountain West,22-12,0.4513,170.0,0.4814867103505724,139,31-20,0.3192,54,4-seed,,True,,0.7272727272727273
baseball,2026-04-14,Oral Roberts,The Summit League,20-13,0.57468,132.0,0.48055852059282383,140,33-24,0.1661,55,4-seed,,True,,0.9166666666666666
baseball,2026-04-14,St. John's (NY),Big East,17-18,0.59416,126.0,0.494100275179052,142,27-29,0.4625,56,4-seed,,True,,0.8333333333333334
baseball,2026-04-14,Indiana St.,Missouri Valley,18-18,0.49351,157.0,0.49239858869878117,148,28-27,0.6059,57,4-seed,,True,,0.6666666666666666
baseball,2026-04-14,North Florida,ASUN,20-15,0.48701,159.0,0.48017324536451506,152,30-23,0.5179,58,4-seed,,True,,0.8
baseball,2026-04-14,Bethune-Cookman,SWAC,25-11,0.40584,184.0,0.4883389868178093,154,37-19,0.3746,59,4-seed,,True,,0.8125
baseball,2026-04-14,Binghamton,America East,17-13,0.6461,110.0,0.489012051199777,156,28-24,0.2638,60,4-seed,,True,,0.75
baseball,2026-04-14,Bucknell,Patriot League,20-14,0.57143,133.0,0.5001920201816412,173,27-21,0.127,61,4-seed,,True,,0.8125
baseball,2026-04-14,Rider,MAAC,19-11,0.51299,151.0,0.49356331282081817,175,29-21,0.1759,62,4-seed,,True,,0.7777777777777778
baseball,2026-04-14,Yale,Ivy League,19-10,0.38636,190.0,0.4852122399775455,177,27-16,0.5472,63,4-seed,,True,,0.75
baseball,2026-04-14,FDU,NEC,21-12,0.14935,263.0,0.45620145596748374,245,32-22,0.1694,64,4-seed,,True,,0.8333333333333334
baseball,2026-04-14,Baylor,Big 12,20-15,0.87662,39.0,0.5356194224406292,45,30-24,0.8046,65,first_four_out,,False,first_out,0.5333333333333333
baseball,2026-04-14,LSU,SEC,22-15,0.76299,74.0,0.5241840662236399,44,32-24,0.9805,66,first_four_out,,False,first_out,0.4
baseball,2026-04-14,TCU,Big 12,21-14,0.84091,50.0,0.5281817340138465,47,31-23,0.7687,67,first_four_out,,False,first_out,0.5333333333333333
baseball,2026-04-14,UAB,American,23-13,0.86364,43.0,0.5313932061259213,46,33-22,0.6189,68,first_four_out,,False,first_out,0.6666666666666666
