sport,snapshot_date,name,display_conference,record_str,rpi,rpi_rank,projected_rpi,projected_rpi_rank,proj_record_str,sixty_four_rank,overall_seed,seed_tier,national_seed,is_auto_bid,bubble_status,conf_win_pct
baseball,2026-04-03,UCLA,Big Ten,26-2,0.64859,2.0,0.5785042256430951,1,42-12,0.9707,1,1-seed,1.0,True,,1.0
baseball,2026-04-03,Texas,SEC,24-5,0.66357,1.0,0.5735174997904742,2,39-15,0.9902,2,1-seed,2.0,False,,0.7
baseball,2026-04-03,Mississippi St.,SEC,25-5,0.63586,6.0,0.5651016035851798,3,39-16,1.0,3,1-seed,3.0,False,,0.7
baseball,2026-04-03,Florida,SEC,23-8,0.6361,5.0,0.5641425043842403,4,37-19,0.9414,4,1-seed,4.0,False,,0.6
baseball,2026-04-03,Alabama,SEC,24-7,0.64052,3.0,0.5664469595964883,5,36-19,0.886,5,1-seed,5.0,False,,0.7
baseball,2026-04-03,Auburn,SEC,21-8,0.63986,4.0,0.5753130131591151,6,34-20,0.9674,6,1-seed,6.0,False,,0.5
baseball,2026-04-03,Florida St.,ACC,22-6,0.62917,7.0,0.5587976066672887,7,37-19,0.9805,7,1-seed,7.0,True,,0.7777777777777778
baseball,2026-04-03,North Carolina,ACC,25-5,0.61433,12.0,0.5590282028922471,8,39-17,0.9349,8,1-seed,8.0,False,,0.6923076923076923
baseball,2026-04-03,Texas A&M,SEC,23-6,0.61101,17.0,0.5579381116625929,9,37-17,0.9446,9,1-seed,9.0,False,,0.5
baseball,2026-04-03,Virginia,ACC,23-7,0.62915,8.0,0.5602005913731746,10,37-18,0.798,10,1-seed,10.0,False,,0.5833333333333334
baseball,2026-04-03,Oregon St.,DI Independent,22-6,0.60815,20.0,0.5627255783993498,11,40-15,0.9837,11,1-seed,11.0,False,,0.0
baseball,2026-04-03,Georgia Tech,ACC,24-5,0.6092,19.0,0.552097497381085,12,37-17,0.9967,12,1-seed,12.0,False,,0.7692307692307693
baseball,2026-04-03,West Virginia,Big 12,20-5,0.6124,15.0,0.5557050483673129,13,35-17,0.9935,13,1-seed,13.0,False,,0.7777777777777778
baseball,2026-04-03,Southern California,Big Ten,27-3,0.62321,9.0,0.5752155425985155,14,42-14,0.9511,14,1-seed,14.0,False,,0.8333333333333334
baseball,2026-04-03,Ole Miss,SEC,21-10,0.61455,11.0,0.5568402666389973,15,34-22,0.9544,15,1-seed,15.0,False,,0.4
baseball,2026-04-03,Oregon,Big Ten,23-7,0.57406,35.0,0.5613992232672143,16,39-16,0.9739,16,1-seed,16.0,False,,0.7
baseball,2026-04-03,Kentucky,SEC,22-6,0.61343,14.0,0.5474496998057382,17,35-18,0.9218,17,2-seed,,False,,0.5555555555555556
baseball,2026-04-03,Oklahoma,SEC,20-9,0.61012,18.0,0.547714230268459,18,33-21,0.9316,18,2-seed,,False,,0.4
baseball,2026-04-03,Coastal Carolina,Sun Belt,22-7,0.61418,13.0,0.5508831329270913,19,37-19,0.759,19,2-seed,,True,,1.0
baseball,2026-04-03,Southern Miss.,Sun Belt,22-8,0.61172,16.0,0.5577595274472718,20,37-17,0.8599,20,2-seed,,False,,0.6
baseball,2026-04-03,Nebraska,Big Ten,23-6,0.58912,23.0,0.561018994169776,21,38-17,0.9153,21,2-seed,,False,,0.8888888888888888
baseball,2026-04-03,Georgia,SEC,25-6,0.57053,39.0,0.5392200773264539,22,37-18,0.9772,22,2-seed,,True,,0.8
baseball,2026-04-03,Arizona St.,Big 12,22-8,0.58699,25.0,0.5374883418219519,23,37-19,0.9642,23,2-seed,,False,,0.6363636363636364
baseball,2026-04-03,Miami (FL),ACC,22-7,0.59166,22.0,0.5351712938919633,24,36-19,0.8795,24,2-seed,,False,,0.4444444444444444
baseball,2026-04-03,Wake Forest,ACC,21-9,0.57897,32.0,0.5446339069975978,25,35-21,0.987,25,2-seed,,False,,0.5
baseball,2026-04-03,UCF,Big 12,18-8,0.57981,30.0,0.5452855156367281,26,34-21,0.899,26,2-seed,,True,,0.8888888888888888
baseball,2026-04-03,Clemson,ACC,19-11,0.57353,36.0,0.5430588096463059,27,33-23,0.9088,27,2-seed,,False,,0.2222222222222222
baseball,2026-04-03,Cincinnati,Big 12,21-10,0.59547,21.0,0.5577703169748294,28,33-22,0.8925,28,2-seed,,False,,0.4444444444444444
baseball,2026-04-03,Missouri St.,CUSA,18-9,0.61875,10.0,0.542144383244004,29,34-20,0.8827,29,2-seed,,False,,0.6666666666666666
baseball,2026-04-03,Kansas St.,Big 12,19-10,0.56958,40.0,0.5461526993907065,30,34-22,0.9251,30,2-seed,,False,,0.4444444444444444
baseball,2026-04-03,Jacksonville St.,CUSA,25-6,0.58058,28.0,0.5439873077040134,31,40-16,0.9577,31,2-seed,,True,,1.0
baseball,2026-04-03,Pittsburgh,ACC,20-7,0.58123,27.0,0.5319694429526207,32,35-21,0.9283,32,2-seed,,False,,0.5555555555555556
baseball,2026-04-03,Tennessee,SEC,19-10,0.56847,43.0,0.5333794310027951,33,33-23,0.9121,33,3-seed,,False,,0.3333333333333333
baseball,2026-04-03,Texas St.,Sun Belt,20-9,0.58884,24.0,0.5475412238442658,34,36-20,0.7818,34,3-seed,,False,,0.7
baseball,2026-04-03,Boston College,ACC,22-9,0.5847,26.0,0.5366982532313815,35,37-21,0.8632,35,3-seed,,False,,0.6923076923076923
