sport,snapshot_date,name,display_conference,record_str,rpi,rpi_rank,projected_rpi,projected_rpi_rank,proj_record_str,sixty_four_rank,overall_seed,seed_tier,national_seed,is_auto_bid,bubble_status,conf_win_pct
softball,2026-04-06,Texas,SEC,32-4,0.71262,1,0.6156125287921409,1,39-11,0.9511,1,1-seed,1.0,False,,0.75
softball,2026-04-06,Arkansas,SEC,31-5,0.70636,3,0.6118785265998883,2,38-14,0.987,2,1-seed,2.0,False,,0.6
softball,2026-04-06,Alabama,SEC,34-3,0.71173,2,0.603079171810342,3,43-12,0.9479,3,1-seed,3.0,False,,0.7272727272727273
softball,2026-04-06,Florida,SEC,35-5,0.69403,5,0.6094307055116216,4,44-12,1.0,4,1-seed,4.0,False,,0.7142857142857143
softball,2026-04-06,Oklahoma,SEC,38-3,0.67601,8,0.6119729392890042,5,45-10,0.9935,5,1-seed,5.0,True,,0.9166666666666666
softball,2026-04-06,Texas Tech,Big 12,38-2,0.66793,9,0.596819239572374,6,47-10,0.9967,6,1-seed,6.0,True,,0.9333333333333333
softball,2026-04-06,Nebraska,Big Ten,29-6,0.69973,4,0.6136691119243387,6,37-13,0.9218,7,1-seed,7.0,False,,0.9090909090909091
softball,2026-04-06,Tennessee,SEC,32-6,0.69123,6,0.6036072643907788,8,40-11,0.9674,8,1-seed,8.0,False,,0.6
softball,2026-04-06,UCLA,Big Ten,32-5,0.67834,7,0.6040607643849967,9,41-11,0.9739,9,1-seed,9.0,False,,0.8571428571428571
softball,2026-04-06,Florida St.,ACC,34-4,0.66771,10,0.5822070600975395,10,43-12,0.9805,10,1-seed,10.0,True,,1.0
softball,2026-04-06,Georgia,SEC,28-10,0.66722,11,0.588055696079357,11,36-17,0.9772,11,1-seed,11.0,False,,0.5833333333333334
softball,2026-04-06,Arizona,Big 12,27-8,0.6616,12,0.5892133536896874,12,35-15,0.9283,12,1-seed,12.0,False,,0.75
softball,2026-04-06,Mississippi St.,SEC,33-8,0.65767,14,0.5895632577471932,13,40-15,0.9055,13,1-seed,13.0,False,,0.45454545454545453
softball,2026-04-06,Virginia Tech,ACC,33-5,0.64119,17,0.5685809126207867,14,42-13,0.9902,14,1-seed,14.0,False,,0.75
softball,2026-04-06,Washington,Big Ten,31-9,0.63084,22,0.5886605468873105,15,38-14,0.9642,15,1-seed,15.0,True,,1.0
softball,2026-04-06,Oregon,Big Ten,28-9,0.66007,13,0.580485064873209,16,36-17,0.9251,16,1-seed,16.0,False,,0.8181818181818182
softball,2026-04-06,LSU,SEC,25-13,0.64344,16,0.5710621054790208,17,33-20,0.8436,17,2-seed,,False,,0.4
softball,2026-04-06,Texas A&M,SEC,26-12,0.637,20,0.5598017667050015,18,33-22,0.9837,18,2-seed,,False,,0.6666666666666666
softball,2026-04-06,Oklahoma St.,Big 12,25-10,0.6271,24,0.5724295380387059,19,34-19,0.8632,19,2-seed,,False,,0.5833333333333334
softball,2026-04-06,UCF,Big 12,30-10,0.62938,23,0.5694118959419046,20,37-17,0.9577,20,2-seed,,False,,0.5714285714285714
softball,2026-04-06,Duke,ACC,28-11,0.65517,15,0.5717545617681534,21,35-17,0.9153,21,2-seed,,False,,0.8666666666666667
softball,2026-04-06,Ole Miss,SEC,25-15,0.63893,18,0.5740249940630218,22,33-22,0.8241,22,2-seed,,False,,0.16666666666666666
softball,2026-04-06,Virginia,ACC,31-6,0.62172,26,0.5453965846580734,23,37-16,0.9446,23,2-seed,,False,,0.6428571428571429
softball,2026-04-06,Grand Canyon,Mountain West,37-4,0.61511,29,0.5692689051126516,24,46-9,0.9707,24,2-seed,,True,,0.8333333333333334
softball,2026-04-06,Clemson,ACC,25-14,0.63278,21,0.5605189202381585,25,31-21,0.9186,25,2-seed,,False,,0.5
softball,2026-04-06,Arizona St.,Big 12,29-11,0.61876,27,0.5579944492122537,26,37-18,0.8958,26,2-seed,,False,,0.3333333333333333
softball,2026-04-06,Auburn,SEC,23-14,0.61189,30,0.5628345048762653,27,30-23,0.9023,27,2-seed,,False,,0.2
softball,2026-04-06,South Carolina,SEC,23-17,0.6153,28,0.5582159150945473,28,30-24,0.8795,28,2-seed,,False,,0.25
softball,2026-04-06,Stanford,ACC,22-12,0.63833,19,0.5383404725814398,29,30-21,0.9121,29,2-seed,,False,,0.6
softball,2026-04-06,Marshall,Sun Belt,28-10,0.62364,25,0.562931019360815,30,37-18,0.8925,30,2-seed,,True,,0.8333333333333334
softball,2026-04-06,Baylor,Big 12,23-14,0.60458,31,0.5649148455871338,31,31-22,0.7427,31,2-seed,,False,,0.5
softball,2026-04-06,Kansas,Big 12,27-11,0.57966,48,0.5438397203389461,32,34-21,0.9609,32,2-seed,,False,,0.6666666666666666
softball,2026-04-06,Louisville,ACC,32-8,0.60141,34,0.5416500757023209,33,40-16,0.9316,33,3-seed,,False,,0.6666666666666666
softball,2026-04-06,Southeastern La.,Southland,33-9,0.5842,37,0.5591216234131223,33,42-14,0.9381,34,3-seed,,True,,1.0
softball,2026-04-06,Michigan,Big Ten,23-14,0.58571,36,0.5537959199395955,35,32-21,0.8404,35,3-seed,,False,,0.2727272727272727
softball,2026-04-06,Omaha,Summit League,24-7,0.57751,51,0.5556010399916478,36,33-13,0.899,36,3-seed,,True,,1.0
softball,2026-04-06,Missouri,SEC,21-20,0.58188,41,0.5444094012352989,37,29-29,0.8762,37,3-seed,,False,last_in,0.4166666666666667
softball,2026-04-06,Wisconsin,Big Ten,21-11,0.58954,35,0.5589315992009536,38,31-19,0.798,38,3-seed,,False,last_in,0.6363636363636364
softball,2026-04-06,North Carolina,ACC,28-9,0.58287,40,0.5306503194311155,39,34-18,0.8827,39,3-seed,,False,last_in,0.5333333333333333
softball,2026-04-06,Indiana,Big Ten,27-11,0.56726,58,0.5437488993302054,40,37-18,0.9414,40,3-seed,,False,last_in,0.6363636363636364
softball,2026-04-06,Belmont,MVC,27-9,0.58076,45,0.545137366316646,43,37-15,0.8371,41,3-seed,,True,,0.8235294117647058
softball,2026-04-06,Jacksonville St.,CUSA,29-11,0.6017,33,0.5463812968215023,44,39-16,0.7622,42,3-seed,,True,,0.8666666666666667
softball,2026-04-06,South Fla.,American,29-12,0.58336,39,0.5398872698753115,51,37-18,0.8208,43,3-seed,,True,,0.7333333333333333
softball,2026-04-06,North Ala.,ASUN,27-8,0.56943,57,0.5258121522326658,55,36-16,0.7687,44,3-seed,,True,,0.8333333333333334
softball,2026-04-06,Cal St. Fullerton,Big West,24-11,0.56632,59,0.5179121114677663,61,34-18,0.7264,45,3-seed,,True,,0.8666666666666667
softball,2026-04-06,Boston U.,Patriot,29-11,0.55185,72,0.5188470898004897,64,41-16,0.8469,46,3-seed,,True,,0.8888888888888888
softball,2026-04-06,Saint Mary's (CA),WCC,27-11,0.55709,67,0.5235419291734459,78,37-18,0.6808,47,3-seed,,True,,1.0
softball,2026-04-06,California Baptist,WAC,31-12,0.53765,86,0.5163596739203876,83,39-17,0.6482,48,3-seed,,True,,0.8888888888888888
softball,2026-04-06,UNC Greensboro,SoCon,27-14,0.53345,90,0.5009774129487984,89,36-20,0.772,49,4-seed,,True,,0.8888888888888888
softball,2026-04-06,Princeton,Ivy League,19-10,0.53107,95,0.4971621113877358,106,29-15,0.57,50,4-seed,,True,,1.0
softball,2026-04-06,USC Upstate,Big South,24-15,0.51437,121,0.4796364188734709,129,33-23,0.2671,51,4-seed,,True,,0.7777777777777778
softball,2026-04-06,Oregon St.,WCC,15-25,0.49315,153,0.49192221905520944,132,23-32,0.3844,52,4-seed,,True,,0.5
softball,2026-04-06,Akron,MAC,17-19,0.49914,144,0.4936573362736283,137,27-30,0.4691,53,4-seed,,True,,0.75
softball,2026-04-06,Eastern Ill.,OVC,21-18,0.51187,124,0.4834571442587833,141,31-24,0.6417,54,4-seed,,True,,0.9285714285714286
softball,2026-04-06,Prairie View,SWAC,19-14,0.48271,164,0.471481338840681,153,25-21,0.4593,55,4-seed,,True,,0.9166666666666666
softball,2026-04-06,Providence,Big East,15-13,0.49117,156,0.4681129676819442,155,27-26,0.5733,56,4-seed,,True,,0.7777777777777778
softball,2026-04-06,Loyola Chicago,Atlantic 10,17-18,0.4925,154,0.47927590539430115,167,24-25,0.2085,57,4-seed,,True,,0.75
softball,2026-04-06,Howard,MEAC,18-13,0.47481,179,0.45814000257075554,185,25-21,0.4169,58,4-seed,,True,,0.9166666666666666
softball,2026-04-06,Hofstra,CAA,20-15,0.46467,195,0.4719424966381125,190,28-24,0.7557,59,4-seed,,True,,0.9285714285714286
softball,2026-04-06,Youngstown St.,Horizon,19-13,0.45962,202,0.43826217552624624,199,32-24,0.5081,60,4-seed,,True,,0.7777777777777778
softball,2026-04-06,Marist,MAAC,17-18,0.43556,238,0.4594392169834267,204,26-28,0.43,61,4-seed,,True,,0.8461538461538461
softball,2026-04-06,Binghamton,America East,10-18,0.45215,212,0.3980787372102047,217,16-34,0.2215,62,4-seed,,True,,0.8333333333333334
