team_name,city,state,lat,lon
A&M-Corpus Christi,Corpus Christi,TX,27.713723,-97.32395
Abilene Christian,Abilene,TX,32.468943,-99.709797
Air Force,USAF Academy,CO,39.010957,-104.891358
Akron,Akron,OH,41.078551,-81.511679
Alabama,Tuscaloosa,AL,33.211875,-87.545978
Alabama A&M,Normal,AL,34.783368,-86.568502
Alabama St.,Montgomery,AL,32.364317,-86.295677
Alcorn,Alcorn State,MS,31.877216,-91.142854
Alice Lloyd,Pippa Passes,KY,37.335087,-82.875068
App State,Boone,NC,36.215536,-81.680583
Apprentice,Newport News,VA,36.9768,-76.4300
Arizona,Tucson,AZ,32.232672,-110.950815
Arizona St.,Tempe,AZ,33.417721,-111.934383
Ark. Baptist,Little Rock,AR,34.734751,-92.290555
Ark.-Pine Bluff,Pine Bluff,AR,34.244031,-92.018683
Arkansas,Fayetteville,AR,36.070009,-94.176981
Arkansas St.,Jonesboro,AR,35.842388,-90.679988
Arlington Baptist,Arlington,TX,32.739489,-97.156024
Army West Point,West  Point,NY,41.390479,-73.956603
Auburn,Auburn,AL,32.599378,-85.488258
Austin Peay,Clarksville,TN,36.533319,-87.354081
BYU,Provo,UT,40.250851,-111.649281
Ball St.,Muncie,IN,40.203431,-85.409043
Baylor,Waco,TX,31.546872,-97.121041
Bellarmine,Louisville,KY,38.219279,-85.704997
Belmont,Nashville,TN,36.135589,-86.794807
Benedictine (KS),Atchison,KS,39.572646,-95.111473
Bethel (TN),McKenzie,TN,36.137848,-88.516762
Bethesda (CA),Anaheim,CA,33.842295,-117.941323
Bethune-Cookman,Daytona Beach,FL,29.207195,-81.032946
Binghamton,Vestal,NY,42.087868,-75.966889
Blue Mountain (MS),Blue Mountain,MS,34.67209,-89.02924
Boise St.,Boise,ID,43.604284,-116.203301
Boston College,Chestnut Hill,MA,42.336213,-71.169242
Boston U.,Boston,MA,42.351118,-71.107942
Bowling Green,Huron,OH,41.397521,-82.594156
Bradley,Peoria,IL,40.696896,-89.616786
British Colum. (CAN),Vancouver,BC,49.2606,-123.2460
Brown,Providence,RI,41.82617,-71.40385
Bry. & Strat. (Alb.),Albany,NY,42.698125,-73.809977
Bry. & Strat. (Syr.),Liverpool,NY,43.149337,-76.230807
Bryant,Smithfield,RI,41.920092,-71.539547
Bucknell,Lewisburg,PA,40.954317,-76.882616
Buffalo,Buffalo,NY,43.000942,-78.789458
Bushnell,Eugene,OR,44.047483,-123.079754
Butler,Indianapolis,IN,39.8374,-86.172167
CSU Bakersfield,Bakersfield,CA,35.350005,-119.104711
CSUN,Northridge,CA,34.240126,-118.529319
Cal Poly,San Luis Obispo,CA,35.299513,-120.657311
Cal St. Fullerton,Fullerton,CA,33.881506,-117.885446
California,Modesto,CA,37.645217,-120.99689
California Baptist,Riverside,CA,33.929321,-117.425619
Campbell,Buies Creek,NC,35.409149,-78.738238
Canisius,Buffalo,NY,42.925206,-78.852577
CarolinaU,Winston-Salem,NC,36.0999,-80.2442
Central Ark.,Conway,AR,35.077945,-92.457672
Central Conn. St.,New Britain,CT,41.692502,-72.765991
Central Mich.,Mount Pleasant,MI,43.591203,-84.77525
Central Penn,Summerdale,PA,40.3049,-76.934461
Charleston So.,Charleston,SC,32.983047,-80.072587
Charlotte,Charlotte,NC,35.306022,-80.730919
Chattanooga,Chattanooga,TN,35.047519,-85.300247
Cincinnati,Cincinnati,OH,39.131159,-84.51428
Cleary,Howell,MI,42.586638,-83.879987
Clemson,Clemson,SC,34.679381,-82.835114
Cleveland St.,Cleveland,OH,41.502281,-81.674355
Coastal Carolina,Conway,SC,33.794995,-79.011767
Col. of Charleston,Charleston,SC,32.784225,-79.939794
Col. of Idaho,Caldwell,ID,43.652284,-116.677992
Colgate,Hamilton,NY,42.819475,-75.536346
Colorado St.,Fort Collins,CO,40.574805,-105.080732
Columbia,New York,NY,40.808286,-73.961885
Concordia (MI),Ann Arbor,MI,42.273157,-83.68268
Coppin St.,Baltimore,MD,39.311258,-76.658687
Corban,Salem,OR,44.882399,-122.961129
Cornell,Ithaca,NY,42.4472,-76.483084
Creighton,Omaha,NE,41.265361,-95.947811
DBU,Dallas,TX,32.710017,-96.947006
Dakota Wesleyan,Mitchell,SD,43.697432,-98.031188
Dallas Christian,Dallas,TX,32.913692,-96.887117
Dartmouth,Hanover,NH,43.704115,-72.289949
Davidson,Davidson,NC,35.499767,-80.843979
Dayton,Dayton,OH,39.739547,-84.176113
DePaul,Chicago,IL,41.877618,-87.62724
Delaware,Newark,DE,39.679577,-75.752822
Delaware St.,Dover,DE,39.187173,-75.54053
Detroit Mercy,Detroit,MI,42.414222,-83.139158
Dickinson St.,Dickinson,ND,46.882917,-102.799679
Dillard,New Orleans,LA,29.996587,-90.06464
Drake,Des Moines,IA,41.60129,-93.652163
Drexel,Philadelphia,PA,39.955217,-75.190051
Duke,Durham,NC,36.001135,-78.937624
ETSU,Johnson City,TN,36.301643,-82.366954
East Carolina,Greenville,NC,35.607186,-77.368291
East Texas A&M,Commerce,TX,33.243745,-95.908451
Eastern Ill.,Charleston,IL,39.479843,-88.175658
Eastern Ky.,Richmond,KY,37.740845,-84.300796
Eastern Mich.,Ypsilanti,MI,42.251675,-83.627443
Eastern Ore.,La Grande,OR,45.319795,-118.092495
Elon,Elon,NC,36.104148,-79.50344
Evansville,Evansville,IN,37.971549,-87.531644
FDU,Teaneck,NJ,40.897209,-74.028986
FGCU,Fort Myers,FL,26.463638,-81.7726
FIU,Miami,FL,25.75732,-80.373928
Fairfield,Fairfield,CT,41.157673,-73.255903
Faulkner,Montgomery,AL,32.384181,-86.21641
Fisher,Boston,MA,42.355253,-71.074125
Fla. Atlantic,Boca Raton,FL,26.372421,-80.102978
Fla. Memorial,Miami Gardens,FL,25.918278,-80.270753
Florida,Gainesville,FL,29.64629,-82.347911
Florida A&M,Tallahassee,FL,30.428504,-84.290226
Florida St.,Tallahassee,FL,30.440756,-84.291921
Fordham,Bronx,NY,40.859354,-73.882705
Freed-Hardeman,Henderson,TN,35.440611,-88.637964
Fresno St.,Fresno,CA,36.811154,-119.744569
Furman,Greenville,SC,34.924676,-82.440458
Ga. Southern,Statesboro,GA,32.426153,-81.784045
Gardner-Webb,Boiling Springs,NC,35.24732,-81.668141
George Mason,Fairfax,VA,38.829976,-77.307428
George Washington,Washington,DC,38.89923,-77.048363
Georgetown,Washington,DC,38.908809,-77.073463
Georgia,Athens,GA,33.956262,-83.374039
Georgia St.,Atlanta,GA,33.7527,-84.38667
Georgia Tech,Atlanta,GA,33.77242,-84.394832
Gonzaga,Spokane,WA,47.666531,-117.400625
Goshen,Goshen,IN,41.563582,-85.827795
Grace Christian (MI),Wyoming,MI,42.919541,-85.692077
Grambling,Grambling,LA,32.523797,-92.713245
Grand Canyon,Phoenix,AZ,33.513231,-112.129929
Grand View,Des Moines,IA,41.620813,-93.604352
Green Bay,Green Bay,WI,44.532298,-87.919973
Hampton,Hampton,VA,37.019944,-76.339161
Hannibal-La Grange,Hannibal,MO,39.729015,-91.39094
Harris-Stowe,Saint Louis,MO,38.631744,-90.224288
Harvard,Cambridge,MA,42.374471,-71.118313
Hawaii,Honolulu,HI,21.298598,-157.818979
High Point,High Point,NC,35.972035,-79.994675
Hofstra,Hempstead,NY,40.715959,-73.60078
Holy Cross,Worcester,MA,42.23752,-71.808214
Hope Int'l,Fullerton,CA,33.87616,-117.88573
Houston,Houston,TX,29.720393,-95.343537
Houston Christian,Houston,TX,29.693819,-95.515954
Houston-Victoria,Victoria,TX,28.816248,-96.976334
Howard,Washington,DC,38.922392,-77.018966
Huntington,Huntington,IN,40.898152,-85.497317
Huston-Tillotson,Austin,TX,30.264667,-97.721691
IU Indy,Indianapolis,IN,39.772948,-86.172217
IUPUC,Columbus,IN,39.2014,-85.9214
Idaho St.,Pocatello,ID,42.863832,-112.432312
Illinois,Champaign,IL,40.104718,-88.229114
Illinois St.,Normal,IL,40.509403,-88.990058
Indiana,Bloomington,IN,39.16609,-86.526559
Indiana St.,Terre Haute,IN,39.469073,-87.407846
Indiana Tech,Fort Wayne,IN,41.078365,-85.116479
Iona,New Rochelle,NY,40.925725,-73.788046
Iowa,Iowa City,IA,41.661935,-91.536425
Iowa St.,Ames,IA,42.026212,-93.648504
Jackson St.,Jackson,MS,32.296105,-90.207405
Jacksonville,Jacksonville,FL,30.353227,-81.60458
Jacksonville St.,Jacksonville,AL,33.822938,-85.765321
James Madison,Harrisonburg,VA,38.436311,-78.870484
Jarvis Christian,Hawkins,TX,32.587942,-95.181513
Judson (IL),Elgin,IL,42.061754,-88.291336
Kansas,Lawrence,KS,38.958549,-95.247567
Kansas City,Kansas City,MO,39.034179,-94.582141
Kansas St.,Manhattan,KS,39.188648,-96.581077
Kennesaw St.,Kennesaw,GA,34.038807,-84.583052
Kent St.,Kent,OH,41.146653,-81.342533
Kent St.-Tuscarawas,New Philadelphia,OH,40.467736,-81.407707
Kentucky,Lexington,KY,38.038911,-84.504747
LIU,Brookville,NY,40.820714,-73.593678
LMU (CA),Los Angeles,CA,33.97085,-118.415744
LSU,Baton Rouge,LA,30.414986,-91.178921
LSU-Alexandria,Alexandria,LA,31.178616,-92.414409
La Salle,Philadelphia,PA,40.037979,-75.153061
La Sierra,Riverside,CA,33.910704,-117.500054
La. Christian,Pineville,LA,31.324528,-92.425973
Lafayette,Easton,PA,40.69956,-75.209786
Lamar,Beaumont,TX,30.042738,-94.072244
Le Moyne,Syracuse,NY,43.049192,-76.090435
Lehigh,Bethlehem,PA,40.606822,-75.380236
Liberty,Lynchburg,VA,37.350232,-79.18222
Lindenwood,Saint Charles,MO,38.785425,-90.501286
Lipscomb,Nashville,TN,36.106253,-86.799791
Little Rock,Little Rock,AR,34.723254,-92.339778
Long Beach St.,Long Beach,CA,33.782818,-118.11204
Longwood,Farmville,VA,37.301137,-78.39575
Louisiana,Lafayette,LA,30.212191,-92.020165
Louisiana Tech,Ruston,LA,32.528297,-92.649963
Louisville,Louisville,KY,38.216862,-85.760412
Loyola (LA),New Orleans,LA,29.936141,-90.120417
Loyola Chicago,Chicago,IL,42.000765,-87.656872
Maine,Orono,ME,44.899257,-68.669332
Manhattan,Riverdale,NY,40.889756,-73.901893
Marist,Poughkeepsie,NY,41.720937,-73.935484
Marshall,Huntington,WV,38.422482,-82.428964
Maryland,College Park,MD,38.988178,-76.944721
Massachusetts,Andover,MA,42.682106,-71.19954
Mayville St.,Mayville,ND,47.505415,-97.322554
McNeese,Lake Charles,LA,30.178187,-93.217222
Memphis,Memphis,TN,35.118878,-89.938068
Mercer,Macon,GA,32.831787,-83.648295
Mercyhurst,Erie,PA,42.10578,-80.053412
Merrimack,North Andover,MA,42.668344,-71.124216
Miami (FL),Coral Gables,FL,25.72126,-80.278662
Miami (OH),Oxford,OH,39.507757,-84.732954
Miami-Hamilton,Hamilton,OH,39.377448,-84.563385
Michigan,Ann Arbor,MI,42.275921,-83.742769
Michigan St.,East Lansing,MI,42.73212,-84.476111
Mid-Amer. Christian,Oklahoma City,OK,35.347785,-97.578297
Mid-Atlantic Christ.,Elizabeth City,NC,36.304673,-76.217139
Middle Ga. St.,Macon,GA,32.808092,-83.732058
Middle Tenn.,Murfreesboro,TN,35.848005,-86.360618
Milwaukee,Milwaukee,WI,43.076848,-87.880488
Minnesota,Minneapolis,MN,44.972851,-93.235464
Mississippi St.,Mississippi State,MS,33.454852,-88.790139
Mississippi Val.,Itta Bena,MS,33.514142,-90.341274
Missouri,Columbia,MO,38.94531,-92.328843
Missouri St.,Maryville,MO,40.351692,-94.883339
Mobile,Mobile,AL,30.793247,-88.128934
Monmouth,West Long Branch,NJ,40.280066,-74.006447
Montana,Helena,MT,46.595384,-112.016035
Morehead St.,Morehead,KY,38.186768,-83.434021
Morgan St.,Baltimore,MD,39.344161,-76.585565
Morris,Sumter,SC,33.938574,-80.346155
Mount St. Mary's,Emmitsburg,MD,39.681705,-77.351887
Murray St.,Murray,KY,36.612419,-88.323629
N.C. A&T,Greensboro,NC,36.07282,-79.773375
N.C. Central,Durham,NC,35.974237,-78.898602
NC State,Raleigh,NC,35.785111,-78.674517
NIU,Dekalb,IL,41.933869,-88.766428
NJIT,Newark,NJ,40.741997,-74.177113
Navy,Annapolis,MD,38.980507,-76.481692
Nebraska,Lincoln,NE,40.817598,-96.700508
Nevada,Reno,NV,39.543642,-119.815377
New College (FL),Sarasota,FL,27.384925,-82.55858
New Haven,West Haven,CT,41.291314,-72.961472
New Mexico,Gallup,NM,35.502662,-108.727252
New Mexico St.,Las Cruces,NM,32.354486,-106.737172
New Orleans,New Orleans,LA,30.027704,-90.067142
Niagara,Niagara University,NY,43.137279,-79.036689
Nicholls,Thibodaux,LA,29.794486,-90.801571
Norfolk St.,Norfolk,VA,36.848429,-76.261375
North Ala.,Florence,AL,34.806738,-87.681361
