year,team
2013,Alabama
2013,Arizona State
2013,Arkansas
2013,Army
2013,Austin Peay State
2013,Binghamton
2013,Bowling Green
2013,Bryant
2013,Cal Poly
2013,Cal State Fullerton
2013,Canisius
2013,Central Arkansas
2013,Clemson
2013,Coastal Carolina
2013,Columbia
2013,Connecticut
2013,East Tennessee State
2013,Elon
2013,Florida
2013,Florida Atlantic
2013,Florida State
2013,Georgia Tech
2013,Illinois
2013,Indiana
2013,Jackson State
2013,Kansas State
2013,LSU
2013,Liberty
2013,Louisiana–Lafayette
2013,Louisville
2013,Mercer
2013,Miami
2013,Mississippi State
2013,NC State
2013,New Mexico
2013,North Carolina
2013,Oklahoma
2013,Oklahoma State
2013,Ole Miss
2013,Oregon
2013,Oregon State
2013,Rice
2013,Saint Louis
2013,Sam Houston State
2013,San Diego
2013,San Diego State
2013,San Francisco
2013,Savannah State
2013,South Alabama
2013,South Carolina
2013,South Dakota State
2013,Texas A&M
2013,Towson
2013,Troy
2013,UC Santa Barbara
2013,UCLA
2013,UNC Wilmington
2013,UTSA
2013,Valparaiso
2013,Vanderbilt
2013,Virginia
2013,Virginia Tech
2013,Wichita State
2013,William & Mary
2014,Alabama
2014,Arizona State
2014,Arkansas
2014,Bethune-Cookman
2014,Binghamton
2014,Bloomington Regional – Bart Kaufman Field
2014,Bryant
2014,Bucknell
2014,Cal Poly
2014,Cal State Fullerton
2014,Campbell
2014,Clemson
2014,College of Charleston
2014,Columbia
2014,Coral Gables Regional – Alex Rodriguez Park
2014,Corvallis Regional – Goss Stadium
2014,Dallas Baptist
2014,Florida
2014,Florida State
2014,George Mason
2014,Georgia Southern
2014,Georgia Tech
2014,Houston
2014,Houston Regional – Reckling Park
2014,Indiana
2014,Indiana State
2014,Jackson State
2014,Jacksonville State
2014,Kansas
2014,Kennesaw State
2014,Kent State
2014,Kentucky
2014,LSU
2014,Lafayette Regional – M.L. Tigue Moore Field
2014,Liberty
2014,Long Beach State
2014,Louisiana–Lafayette
2014,Louisville
2014,Maryland
2014,Miami
2014,Mississippi State
2014,Nebraska
2014,North Carolina
2014,North Dakota State
2014,Oklahoma State
2014,Old Dominion
2014,Ole Miss
2014,Oregon
2014,Oregon State
2014,Pepperdine
2014,Rice
2014,Sacramento State
2014,Sam Houston State
2014,San Diego State
2014,Siena
2014,South Carolina
2014,Southeastern Louisiana
2014,Stanford
2014,TCU
2014,Tallahassee Regional – Mike Martin Field
2014,Texas
2014,Texas A&M
2014,Texas Tech
2014,UC Irvine
2014,UNLV
2014,Vanderbilt
2014,Virginia
2014,Washington
2014,Xavier
2014,Youngstown State
2015,Arizona State
2015,Arkansas
2015,Auburn
2015,Bradley
2015,Cal State Bakersfield
2015,Cal State Fullerton
2015,California
2015,Canisius
2015,Clemson
2015,Coastal Carolina
2015,College Station Regional – Olsen Field
2015,College of Charleston
2015,Columbia
2015,Dallas Baptist
2015,Dallas Regional – Horner Ballpark
2015,East Carolina
2015,FIU
2015,Florida
2015,Florida A&M
2015,Florida Atlantic
2015,Florida State
2015,Houston
2015,Houston Baptist
2015,Illinois
2015,Indiana
2015,Iowa
2015,LSU
2015,Lehigh
2015,Lipscomb
2015,Los Angeles Regional – Jackie Robinson Stadium
2015,Louisiana–Lafayette
2015,Louisville
2015,Maryland
2015,Mercer
2015,Miami
2015,Michigan
2015,Missouri State
2015,Morehead State
2015,NC State
2015,Notre Dame
2015,Ohio
2015,Oklahoma State
2015,Ole Miss
2015,Oral Roberts
2015,Oregon
2015,Oregon State
2015,Pepperdine
2015,Radford
2015,Rice
2015,Sacred Heart
2015,San Diego State
2015,South Florida
2015,St. John's
2015,Stony Brook
2015,TCU
2015,Texas
2015,Texas A&M
2015,Texas Southern
2015,Tulane
2015,UC Santa Barbara
2015,UCLA
2015,UNC Wilmington
2015,USC
2015,VCU
2015,Vanderbilt
2015,Virginia
2015,Wright State
2016,Alabama State
2016,Arizona
2016,Arizona State
2016,Bethune-Cookman
2016,Binghamton
2016,Boston College
2016,Bryant
2016,Cal State Fullerton
2016,Clemson
2016,Coastal Carolina
2016,Dallas Baptist
2016,Duke
2016,East Carolina
2016,Fairfield
2016,Florida
2016,Florida Atlantic
2016,Florida State
2016,Georgia Tech
2016,Gonzaga
2016,LSU
2016,Lafayette Regional – M.
2016,Long Beach State
2016,Louisiana Tech
2016,Louisiana–Lafayette
2016,Louisville
2016,Miami
2016,Minnesota
2016,Mississippi State
2016,NC State
2016,Navy
2016,Nebraska
2016,New Mexico
2016,Ohio State
2016,Oklahoma State
2016,Ole Miss
2016,Oral Roberts
2016,Princeton
2016,Rhode Island
2016,Rice
2016,Saint Mary's
2016,Sam Houston State
2016,South Alabama
2016,South Carolina
2016,Southeast Missouri State
2016,Southeastern Louisiana
2016,Southern Miss
2016,Stetson
2016,TCU
2016,Texas A&M
2016,Texas Tech
2016,Tulane
2016,UC Santa Barbara
2016,UConn
2016,UNC Wilmington
2016,Utah
2016,Utah Valley
2016,Vanderbilt
2016,Virginia
2016,Wake Forest
2016,Washington
2016,Western Carolina
2016,Western Michigan
2016,William & Mary
2016,Wright State
2016,Xavier
2017,Arizona
2017,Arkansas
2017,Auburn
2017,BYU
2017,Baylor
2017,Bethune-Cookman
2017,Cal State Fullerton
2017,Central Connecticut State
2017,Clemson
2017,Dallas Baptist
2017,Davidson
2017,Delaware
2017,Fayetteville Regional – Baum Stadium
2017,Florida
2017,Florida Gulf Coast
2017,Florida State
2017,Holy Cross
2017,Houston
2017,Indiana
2017,Iowa
2017,Kentucky
2017,LSU
2017,Long Beach Regional – Blair Field
2017,Long Beach State
2017,Louisville
2017,Lubbock Regional – Dan Law Field
2017,Marist
2017,Maryland
2017,Michigan
2017,Mississippi State
2017,Missouri State
2017,NC State
2017,Nebraska
2017,North Carolina
2017,Ohio
2017,Oklahoma
2017,Oklahoma State
2017,Oral Roberts
2017,Oregon State
2017,Radford
2017,Rice
2017,Sacramento State
2017,Sam Houston State
2017,San Diego State
2017,South Alabama
2017,South Florida
2017,Southeastern Louisiana
2017,Southern Miss
2017,St. John's
2017,Stanford
2017,TCU
2017,Tennessee Tech
2017,Texas
2017,Texas A&M
2017,Texas Southern
2017,Texas Tech
2017,UCF
2017,UCLA
2017,UIC
2017,UMBC
2017,UNC Greensboro
2017,Vanderbilt
2017,Virginia
2017,Wake Forest
2017,West Virginia
2017,Xavier
2017,Yale
2018,Arkansas
2018,Army
2018,Athens Regional – Foley Field
2018,Auburn
2018,Baylor
2018,Cal State Fullerton
2018,Campbell
2018,Canisius
2018,Clemson
2018,Coastal Carolina
2018,Columbia
2018,Connecticut
2018,Dallas Baptist
2018,Duke
2018,East Carolina
2018,Florida
2018,Florida Atlantic
2018,Florida State
2018,Georgia
2018,Gonzaga
2018,Hartford
2018,Houston
2018,Indiana
2018,Jacksonville
2018,Kent State
2018,LIU Brooklyn
2018,LSU
2018,Louisville
2018,Minnesota
2018,Mississippi State
2018,Missouri State
2018,Morehead State
2018,NC State
2018,New Mexico State
2018,North Carolina
2018,North Carolina A&T
2018,Northeastern
2018,Northwestern State
2018,Ohio State
2018,Oklahoma
2018,Oklahoma State
2018,Ole Miss
2018,Oral Roberts
2018,Oregon State
2018,Oxford Regional – Swayze Field
2018,Purdue
2018,Saint Louis
2018,Samford
2018,San Diego State
2018,South Carolina
2018,South Florida
2018,Southern Miss
2018,St. John's
2018,Stanford
2018,Stetson
2018,Tallahassee Regional – Dick Howser Stadium
2018,Tennessee Tech
2018,Texas
2018,Texas A&M
2018,Texas Southern
2018,Texas Tech
2018,Troy
2018,UCLA
2018,UNC Wilmington
2018,Vanderbilt
2018,Washington
2018,Wright State
2019,Arizona State
2019,Arkansas
2019,Army
2019,Auburn
2019,Baylor
2019,California
2019,Campbell
2019,Central Connecticut
2019,Central Michigan
2019,Cincinnati
2019,Clemson
2019,Coastal Carolina
2019,Creighton
2019,Dallas Baptist
2019,Duke
2019,East Carolina
2019,Florida
2019,Florida A&M
2019,Florida Atlantic
2019,Florida State
2019,Fordham
2019,Fresno State
2019,Georgia
2019,Georgia Tech
2019,Greenville Regional – Clark–LeClair Stadium
2019,Harvard
2019,Illinois
2019,Illinois State
2019,Indiana
2019,Indiana State
2019,Jacksonville State
2019,LSU
2019,Liberty
2019,Los Angeles Regional – Jackie Robinson Stadium
2019,Louisville
2019,Louisville Regional – Jim Patterson Stadium
2019,Loyola Marymount
2019,McNeese State
2019,Mercer
2019,Miami
2019,Michigan
2019,Mississippi State
2019,NC State
2019,Nebraska
2019,North Carolina
2019,Ohio State
2019,Oklahoma State
2019,Ole Miss
2019,Omaha
2019,Oregon State
2019,Quinnipiac
2019,Sacramento State
2019,Southern
2019,Southern Miss
2019,Stanford
2019,Stony Brook
2019,TCU
2019,Tennessee
2019,Texas A&M
2019,Texas Tech
2019,UC Santa Barbara
2019,UCLA
2019,UConn
2019,UIC
2019,UNC Wilmington
2019,Vanderbilt
2019,West Virginia
