year,team,team_db_id
2026,UCLA,815
2026,Saint Mary's (CA),672
2026,Cal Poly,105
2026,Virginia Tech,858
2026,West Virginia,888
2026,Binghamton,78
2026,Kentucky,372
2026,Wake Forest,864
2026,Florida,265
2026,Rider,645
2026,Troy,799
2026,Miami (FL),469
2026,Southern Miss,722
2026,Little Rock,412
2026,Jacksonville State,357
2026,Virginia,856
2026,North Carolina,543
2026,VCU,854
2026,East Carolina,220
2026,Tennessee,776
2026,Texas A&M,782
2026,Lamar,388
2026,Texas State,785
2026,Southern California,717
2026,Auburn,43
2026,Milwaukee,479
2026,NC State,523
2026,UCF,813
2026,Nebraska,525
2026,South Dakota State,711
2026,Arizona State,32
2026,Ole Miss,584
2026,Georgia Tech,295
2026,UIC,817
2026,The Citadel,788
2026,Oklahoma,580
2026,Kansas,366
2026,Northeastern,551
2026,Missouri State,492
2026,Arkansas,36
2026,Alabama,8
2026,Alabama State,11
2026,USC Upstate,837
2026,Oklahoma State,581
2026,Florida State,267
2026,St. John's (NY),740
2026,NIU,539
2026,Coastal Carolina,163
2026,Texas,781
2026,Holy Cross,332
2026,Tarleton State,773
2026,UC Santa Barbara,811
2026,Oregon,588
2026,Yale,938
2026,Washington State,872
2026,Oregon State,589
2026,Georgia,292
2026,LIU,413
2026,Liberty,405
2026,Boston College,87
2026,Mississippi State,488
2026,Lipscomb,411
2026,Louisiana,419
2026,Cincinnati,152
