year,team_rpi_name,team_canonical,rpi_rank,rpi_value,w,l,in_tournament,is_host,host_seed
2013,North Carolina,North Carolina,1,0.64152,52,8,True,True,1.0
2013,Vanderbilt,Vanderbilt,2,0.63253,51,9,True,True,2.0
2013,Virginia,Virginia,3,0.63026,47,10,True,True,6.0
2013,LSU,LSU,4,0.62211,52,9,True,True,4.0
2013,Oregon St.,Oregon State,5,0.61772,45,10,True,True,3.0
2013,Cal St. Fullerton,Cal State Fullerton,6,0.61597,48,8,True,True,5.0
2013,NC State,NC State,7,0.60882,44,14,True,True,10.0
2013,Florida St.,Florida State,8,0.60658,44,15,True,True,7.0
2013,Oregon,Oregon,9,0.6052,45,14,True,True,8.0
2013,Mississippi St.,Mississippi State,10,0.5994,43,17,True,True,14.0
2013,Virginia Tech,Virginia Tech,11,0.59448,38,20,True,True,12.0
2013,Indiana,Indiana,12,0.59101,43,14,True,True,15.0
2013,South Carolina,South Carolina,13,0.58818,39,18,True,True,9.0
2013,Clemson,Clemson,14,0.58475,39,20,True,False,
2013,UCLA,UCLA,15,0.58274,39,17,True,True,11.0
2013,Louisville,Louisville,16,0.58189,46,12,True,True,16.0
2013,Miami (FL),Miami (FL),17,0.58075,36,23,True,False,
2013,Kansas St.,Kansas State,18,0.58071,41,17,True,True,13.0
2013,South Alabama,South Alabama,19,0.57995,42,18,True,False,
2013,Ole Miss,Ole Miss,20,0.57711,37,22,True,False,
2013,Arizona St.,Arizona State,21,0.56866,35,20,True,False,
2013,Louisiana,Louisiana-Lafayette,22,0.56854,41,18,True,False,
2013,Austin Peay,Austin Peay,23,0.56774,45,13,True,False,
2013,Georgia Tech,Georgia Tech,24,0.56773,34,25,True,False,
2013,Fla. Atlantic,Florida Atlantic,25,0.56315,39,20,True,False,
2013,Cal Poly,Cal Poly,26,0.56306,39,17,True,False,
2013,Alabama,Alabama,27,0.56218,34,26,True,False,
2013,Mercer,Mercer,28,0.55713,43,16,True,False,
2013,Arkansas,Arkansas,29,0.55702,37,20,True,False,
2013,UNCW,UNC Wilmington,30,0.5564,37,21,True,False,
2013,Oklahoma,Oklahoma,31,0.55598,40,19,True,False,
2013,Texas A&M,Texas A&M,32,0.55563,32,27,True,False,
2013,Illinois,Illinois,33,0.55516,34,18,True,False,
2013,Nebraska,Nebraska,34,0.55515,29,30,False,False,
2013,Notre Dame,Notre Dame,35,0.55476,34,24,False,False,
2013,Rice,Rice,36,0.55452,41,17,True,False,
2013,Michigan St.,Michigan State,37,0.5539,33,17,False,False,
2013,Auburn,Auburn,38,0.55208,33,23,False,False,
