kind,year,team,rpi_rank,w,l,q1q2_w,q1q2_g,q1q2_pct,is_host
historical,2013,North Carolina,1,52,8,30,38,0.7895,True
historical,2013,Vanderbilt,2,51,9,29,36,0.8056,True
historical,2013,Virginia,3,47,10,27,36,0.75,True
historical,2013,LSU,4,52,9,32,41,0.7805,True
historical,2013,Oregon St.,5,45,10,23,32,0.7188,True
historical,2013,Cal St. Fullerton,6,48,8,32,37,0.8649,True
historical,2013,NC State,7,44,14,25,37,0.6757,True
historical,2013,Florida St.,8,44,15,20,35,0.5714,True
historical,2013,Oregon,9,45,14,18,28,0.6429,True
historical,2013,Mississippi St.,10,43,17,23,40,0.575,True
historical,2013,Virginia Tech,11,38,20,22,38,0.5789,True
historical,2013,Indiana,12,43,14,20,31,0.6452,True
historical,2013,South Carolina,13,39,18,18,34,0.5294,True
historical,2013,UCLA,15,39,17,16,28,0.5714,True
historical,2013,Louisville,16,46,12,17,26,0.6538,True
historical,2013,Kansas St.,18,41,17,19,32,0.5938,True
historical,2014,Indiana,1,42,13,20,28,0.7143,True
historical,2014,Virginia,2,44,13,24,35,0.6857,True
historical,2014,Florida St.,3,43,15,21,35,0.6,True
historical,2014,Florida,4,40,21,31,48,0.6458,True
historical,2014,Louisiana,5,53,7,16,19,0.8421,True
historical,2014,Oregon St.,6,42,12,18,27,0.6667,True
historical,2014,LSU,7,44,14,24,36,0.6667,True
historical,2014,Houston,9,44,15,17,26,0.6538,True
historical,2014,Vanderbilt,10,41,18,24,40,0.6,True
historical,2014,TCU,11,42,15,23,33,0.697,True
historical,2014,Ole Miss,13,41,18,21,37,0.5676,True
historical,2014,South Carolina,15,42,16,19,33,0.5758,True
historical,2014,Miami (FL),16,41,17,20,31,0.6452,True
historical,2014,Cal Poly,17,45,10,17,26,0.6538,True
historical,2014,Oklahoma St.,18,45,16,30,43,0.6977,True
historical,2014,Louisville,20,45,15,8,16,0.5,True
historical,2015,Miami (FL),1,44,14,25,38,0.6579,True
historical,2015,DBU,2,43,13,16,27,0.5926,True
historical,2015,Florida,3,44,16,33,49,0.6735,True
historical,2015,UCLA,4,42,14,24,36,0.6667,True
historical,2015,LSU,5,48,10,29,38,0.7632,True
historical,2015,Missouri St.,6,45,10,20,27,0.7407,True
historical,2015,Texas A&M,7,45,11,23,33,0.697,True
historical,2015,TCU,8,43,11,17,26,0.6538,True
historical,2015,Florida St.,9,41,19,23,38,0.6053,True
historical,2015,Illinois,10,47,8,19,24,0.7917,True
historical,2015,Vanderbilt,11,42,19,28,44,0.6364,True
historical,2015,Oklahoma St.,12,37,18,16,29,0.5517,True
historical,2015,Louisville,13,43,16,24,36,0.6667,True
historical,2015,Houston,14,42,18,26,42,0.619,True
historical,2015,UC Santa Barbara,19,40,15,20,27,0.7407,True
historical,2015,Cal St. Fullerton,27,34,22,12,28,0.4286,True
historical,2016,Florida,1,47,13,27,40,0.675,True
historical,2016,Louisville,2,47,12,22,34,0.6471,True
historical,2016,Miami (FL),3,45,11,21,31,0.6774,True
historical,2016,Texas A&M,4,45,14,26,39,0.6667,True
historical,2016,Ole Miss,5,43,17,21,38,0.5526,True
historical,2016,Clemson,6,42,18,26,42,0.619,True
historical,2016,LSU,7,42,18,23,37,0.6216,True
historical,2016,Vanderbilt,8,43,17,18,34,0.5294,True
historical,2016,South Carolina,9,42,15,13,28,0.4643,True
historical,2016,Mississippi St.,10,41,16,18,33,0.5455,True
historical,2016,NC State,11,35,20,22,41,0.5366,True
historical,2016,Florida St.,13,37,20,19,36,0.5278,True
historical,2016,Texas Tech,14,41,16,23,33,0.697,True
historical,2016,Louisiana,15,41,19,21,36,0.5833,True
historical,2016,TCU,16,42,15,22,30,0.7333,True
historical,2016,Virginia,18,37,20,21,39,0.5385,True
historical,2017,Oregon St.,1,49,4,29,31,0.9355,True
historical,2017,North Carolina,2,47,12,32,42,0.7619,True
historical,2017,Florida,3,42,16,28,43,0.6512,True
historical,2017,LSU,4,43,17,25,40,0.625,True
historical,2017,Texas Tech,5,43,15,29,42,0.6905,True
historical,2017,Louisville,6,47,10,19,28,0.6786,True
historical,2017,TCU,7,42,16,29,41,0.7073,True
historical,2017,Kentucky,8,39,20,23,40,0.575,True
historical,2017,Stanford,9,40,14,28,41,0.6829,True
historical,2017,Florida St.,10,39,20,22,40,0.55,True
historical,2017,Southern Miss.,11,48,14,27,38,0.7105,True
historical,2017,Clemson,12,39,19,19,35,0.5429,True
historical,2017,Arkansas,13,42,17,22,38,0.5789,True
historical,2017,Long Beach St.,14,37,17,12,24,0.5,True
historical,2017,Wake Forest,16,39,18,16,28,0.5714,True
historical,2017,Houston,17,40,19,19,35,0.5429,True
historical,2018,Florida,1,42,17,30,46,0.6522,True
historical,2018,Stanford,2,44,10,16,24,0.6667,True
historical,2018,Ole Miss,3,46,15,26,40,0.65,True
historical,2018,Arkansas,4,39,18,25,41,0.6098,True
historical,2018,Stetson,5,45,11,16,23,0.6957,True
historical,2018,Oregon St.,6,44,10,23,30,0.7667,True
historical,2018,Florida St.,7,43,17,26,42,0.619,True
historical,2018,North Carolina,8,38,18,22,38,0.5789,True
historical,2018,Georgia,9,37,19,23,39,0.5897,True
historical,2018,Texas Tech,10,39,17,27,44,0.6136,True
historical,2018,Clemson,11,45,14,28,41,0.6829,True
historical,2018,Minnesota,12,41,13,23,34,0.6765,True
historical,2018,East Carolina,13,43,16,26,39,0.6667,True
historical,2018,Coastal Carolina,17,42,17,20,32,0.625,True
historical,2018,NC State,20,40,16,18,29,0.6207,True
historical,2018,Texas,21,37,20,20,36,0.5556,True
historical,2019,Vanderbilt,1,49,10,35,44,0.7955,True
historical,2019,UCLA,2,47,8,31,38,0.8158,True
historical,2019,Georgia,3,44,15,29,43,0.6744,True
historical,2019,Mississippi St.,4,46,13,27,39,0.6923,True
historical,2019,East Carolina,5,43,15,26,36,0.7222,True
historical,2019,Arkansas,6,41,17,26,41,0.6341,True
historical,2019,Oklahoma St.,7,36,18,25,38,0.6579,True
historical,2019,Georgia Tech,8,41,17,25,38,0.6579,True
historical,2019,Louisville,9,43,15,28,43,0.6512,True
historical,2019,Stanford,10,41,11,26,35,0.7429,True
historical,2019,Texas Tech,11,39,17,28,42,0.6667,True
historical,2019,North Carolina,12,42,17,26,41,0.6341,True
historical,2019,West Virginia,13,37,20,24,43,0.5581,True
historical,2019,LSU,18,37,24,22,43,0.5116,True
historical,2019,Ole Miss,20,37,25,24,46,0.5217,True
