year,round,pick,team,player,overall_rank,pos,dob,bt,school_committed,school,conference,slot_value,expected_signing,signing_bonus,pool_impact,pool_round,diff_from_slot,hs,classification,juco,signed,player_age,rank_minus_pick,code_round,code_age,code_dist
2022,1,1,Baltimore Orioles,Jackson Holliday,3,SS,2003-12-04,L/R,Oklahoma State,,,8846900,8846900,8200000,-8200000,Yes,-0.07312165843402774,True,HS SR,No,Yes,18.63013698630137,2,S,H,Q
2022,1,2,Arizona Diamondbacks,Druw Jones,1,OF,2003-11-28,R/R,Vanderbilt,,,8189400,8189400,8200000,-8200000,Yes,0.0012943561188853885,True,HS SR,No,Yes,18.646575342465752,-1,S,H,P
2022,1,3,Texas Rangers,Kumar Rocker,19,P,1999-11-22,R/R,,Tri-City (Frontier),,7591600,7591600,5200000,-5200000,Yes,-0.3150324042362611,False,4YR JR,No,Yes,22.665753424657535,16,S,L,Q
2022,1,4,Pittsburgh Pirates,Termarr Johnson,4,SS,2004-06-11,L/R,Arizona State,,,7005800,7005800,7200000,-7200000,Yes,0.02771988923463416,True,HS SR,No,Yes,18.10958904109589,0,S,H,P
2022,1,5,Washington Nationals,Elijah Green,5,OF,2003-12-04,R/R,Miami,,,6497700,6497700,6500000,-6500000,Yes,0.0003539714052664789,True,HS SR,No,Yes,18.63013698630137,0,S,H,P
2022,1,6,Miami Marlins,Jacob Berry,7,3B,2001-05-05,S/R,,LSU,SEC,6037500,6037500,6000000,-6000000,Yes,-0.006211180124223602,False,4YR SO,No,Yes,21.213698630136985,1,T,K,Q
2022,1,7,Chicago Cubs,Cade Horton,32,P,2001-08-20,R/R,,Oklahoma,Big 12,5711000,5711000,4500000,-4500000,Yes,-0.21204692698301522,False,4YR SO,No,Yes,20.92054794520548,25,T,J,Q
2022,1,8,Minnesota Twins,Brooks Lee,2,SS,2001-02-14,S/R,,Cal Poly,Big West,5442400,5442400,5700000,-5700000,Yes,0.047332059385565194,False,4YR JR,No,Yes,21.432876712328767,-6,T,K,P
2022,1,9,Kansas City Royals,Gavin Cross,10,OF,2001-02-13,L/L,,Virginia Tech,ACC,5202900,5202900,5200000,-5200000,Yes,-0.0005573814603394261,False,4YR JR,No,Yes,21.435616438356163,1,T,K,Q
2022,1,10,Colorado Rockies,Gabriel Hughes,20,P,2001-08-22,R/R,,Gonzaga,WCC,4983000,4983000,4000000,-4000000,Yes,-0.1972707204495284,False,4YR JR,No,Yes,20.915068493150685,10,T,J,Q
2022,1,11,New York Mets,Kevin Parada,6,C,2001-08-03,R/R,,Georgia Tech,ACC,4780700,4780700,5000000,-5000000,Yes,0.0458719434392453,False,4YR SO,No,Yes,20.96712328767123,-5,U,J,P
2022,1,12,Detroit Tigers,Jace Jung,9,2B,2000-10-04,L/R,,Texas Tech,Big 12,4590300,4590300,4600000,-4600000,Yes,0.002113151645861926,False,4YR JR,No,Yes,21.797260273972604,-3,U,K,P
2022,1,13,Los Angeles Angels,Zach Neto,16,SS,2001-01-31,R/R,,Campbell,Big South,4412500,4412500,3500000,-3500000,Yes,-0.20679886685552407,False,4YR JR,No,Yes,21.471232876712328,3,U,K,Q
2022,1,14,New York Mets,Jett Williams,15,SS,2003-11-03,R/R,Mississippi State,,,4243800,4243800,3900000,-3900000,Yes,-0.08101230029690372,True,HS SR,No,Yes,18.715068493150685,1,U,H,Q
2022,1,15,San Diego Padres,Dylan Lesko,13,P,2003-09-07,R/R,Vanderbilt,,,4085000,4085000,3900000,-3900000,Yes,-0.04528763769889841,True,HS SR,No,Yes,18.87123287671233,-2,U,H,P
