round,pick,team,slot_value
1,1,Chicago White Sox,11350600
1,2,Tampa Bay Rays,10507000
1,3,Minnesota Twins,9740100
1,4,San Francisco Giants,8988400
1,5,Pittsburgh Pirates,8336500
1,6,Kansas City Royals,7746100
1,7,Baltimore Orioles,7327200
1,8,Athletics,6982600
1,9,Atlanta Braves,6675300
1,10,Colorado Rockies,6393100
1,11,Washington Nationals,6133500
1,12,Los Angeles Angels,5889300
1,13,St. Louis Cardinals,5661300
1,14,Miami Marlins,5444900
1,15,Arizona Diamondbacks,5241000
1,16,Texas Rangers,5051900
1,17,Houston Astros,4868600
1,18,Cincinnati Reds,4695500
1,19,Cleveland Guardians,4530500
1,20,Boston Red Sox,4373900
1,21,San Diego Padres,4224700
1,22,Detroit Tigers,4082700
1,23,Chicago Cubs,3947600
1,24,Seattle Mariners,3818700
1,25,Milwaukee Brewers,3696000
1,27,New York Mets,3466500
1,35,New York Yankees,2826700
1,36,Philadelphia Phillies,2758800
1,39,Toronto Blue Jays,2571700
1,40,Los Angeles Dodgers,2504200
PPI,26,Atlanta Braves,3578800
PPI,28,Houston Astros,3363600
CB-A,29,San Francisco Giants,3270200
CB-A,30,Kansas City Royals,3190500
CB-A,31,Arizona Diamondbacks,3118300
CB-A,32,St. Louis Cardinals,3044600
CB-A,33,Tampa Bay Rays,2970200
CB-A,34,Pittsburgh Pirates,2897400
CB-A,37,Colorado Rockies,2696700
2,38,Colorado Rockies,2633100
2,41,Chicago White Sox,2446100
2,42,Washington Nationals,2388800
2,43,Minnesota Twins,2333200
2,44,Pittsburgh Pirates,2278700
2,45,Los Angeles Angels,2225800
2,46,Baltimore Orioles,2181600
2,47,Athletics,2131300
2,48,Atlanta Braves,2081900
2,49,Tampa Bay Rays,2033400
2,50,St. Louis Cardinals,1982700
2,52,Miami Marlins,1892500
2,53,Arizona Diamondbacks,1848200
2,54,Texas Rangers,1805300
2,55,San Francisco Giants,1763000
2,56,Kansas City Royals,1721700
2,57,Houston Astros,1677400
2,58,Cincinnati Reds,1637700
2,59,Cleveland Guardians,1598900
2,60,San Diego Padres,1561000
2,61,Detroit Tigers,1523600
2,62,Chicago Cubs,1487200
2,63,New York Yankees,1451700
2,64,Philadelphia Phillies,1416600
2,65,Seattle Mariners,1382600
2,66,Milwaukee Brewers,1353100
SUP-2,51,Pittsburgh Pirates,1938100
CB-B,67,Boston Red Sox,1317300
CB-B,68,St. Louis Cardinals,1285500
CB-B,69,Detroit Tigers,1254200
CB-B,70,Cincinnati Reds,1223100
CB-B,71,Miami Marlins,1192600
CB-B,72,St. Louis Cardinals,1174300
CB-B,73,Athletics,1156400
CB-B,74,Minnesota Twins,1138600
2C,75,Chicago Cubs,1120900
3,76,Colorado Rockies,1103500
3,77,Chicago White Sox,1086600
3,78,Washington Nationals,1069600
3,79,Minnesota Twins,1052700
3,80,Pittsburgh Pirates,1035700
3,81,Los Angeles Angels,1018500
3,82,Baltimore Orioles,1003800
3,83,Athletics,988700
3,84,Atlanta Braves,973700
3,85,Tampa Bay Rays,958500
3,86,St. Louis Cardinals,943600
3,87,Miami Marlins,929700
3,88,Arizona Diamondbacks,915100
3,89,Texas Rangers,900800
3,90,San Francisco Giants,887000
3,91,Kansas City Royals,872900
3,92,New York Mets,859900
3,93,Houston Astros,846900
3,94,Cincinnati Reds,833800
3,95,Cleveland Guardians,823800
3,96,Boston Red Sox,815700
3,97,San Diego Padres,808100
3,98,Chicago Cubs,800000
3,99,New York Yankees,792300
3,100,Philadelphia Phillies,784400
3,101,Seattle Mariners,778200
3,102,Milwaukee Brewers,770600
3,103,Toronto Blue Jays,762900
4,104,Colorado Rockies,755300
4,105,Chicago White Sox,747700
4,106,Washington Nationals,740500
4,107,Minnesota Twins,733100
4,108,Pittsburgh Pirates,725900
4,109,Los Angeles Angels,718700
4,110,Baltimore Orioles,711800
4,111,Athletics,704900
4,112,Atlanta Braves,697700
4,113,Tampa Bay Rays,691000
4,114,St. Louis Cardinals,684300
4,115,Miami Marlins,677500
4,116,Arizona Diamondbacks,670900
4,117,Texas Rangers,664500
4,118,San Francisco Giants,658100
4,119,Kansas City Royals,651500
4,120,New York Mets,645100
4,121,Houston Astros,638800
4,122,Cincinnati Reds,632500
4,123,Cleveland Guardians,626500
4,124,San Diego Padres,620300
4,125,Detroit Tigers,614500
4,126,Chicago Cubs,609200
4,127,New York Yankees,603500
4,128,Philadelphia Phillies,597400
4,129,Seattle Mariners,591700
4,130,Milwaukee Brewers,585700
4,131,Toronto Blue Jays,581100
4,132,Los Angeles Dodgers,575300
4C,133,Houston Astros,569600
4C,134,San Diego Padres,563900
4C,135,Philadelphia Phillies,558400
5,136,Colorado Rockies,553100
5,137,Chicago White Sox,547700
5,138,Washington Nationals,542200
5,139,Minnesota Twins,536900
5,140,Pittsburgh Pirates,532000
5,141,Los Angeles Angels,526600
5,142,Baltimore Orioles,521500
5,143,Athletics,516300
5,144,Atlanta Braves,511400
5,145,Tampa Bay Rays,506100
5,146,St. Louis Cardinals,501300
5,147,Miami Marlins,496400
5,148,Arizona Diamondbacks,491700
5,149,Texas Rangers,486800
5,150,San Francisco Giants,481800
5,151,Kansas City Royals,476900
5,152,New York Mets,472500
5,153,Houston Astros,467700
5,154,Cincinnati Reds,463200
5,155,Cleveland Guardians,458500
5,156,Boston Red Sox,454100
5,157,San Diego Padres,449500
5,158,Detroit Tigers,445200
5,159,Chicago Cubs,441300
5,160,New York Yankees,437200
5,161,Philadelphia Phillies,433200
5,162,Seattle Mariners,429100
5,163,Milwaukee Brewers,425400
5,164,Toronto Blue Jays,421300
6,165,Colorado Rockies,417400
6,166,Chicago White Sox,413900
6,167,Washington Nationals,410300
6,168,Minnesota Twins,406800
6,169,Pittsburgh Pirates,403500
6,170,Los Angeles Angels,399800
6,171,Baltimore Orioles,396300
6,172,Athletics,393100
6,173,Atlanta Braves,389900
6,174,Tampa Bay Rays,386500
6,175,St. Louis Cardinals,383400
6,176,Miami Marlins,380200
6,177,Arizona Diamondbacks,377000
6,178,Texas Rangers,373800
6,179,San Francisco Giants,370600
6,180,Kansas City Royals,367600
6,181,New York Mets,364600
6,182,Houston Astros,361900
6,183,Cincinnati Reds,358900
6,184,Cleveland Guardians,355700
6,185,Boston Red Sox,352900
6,186,San Diego Padres,350100
6,187,Detroit Tigers,347300
6,188,Chicago Cubs,344400
6,189,New York Yankees,341800
6,190,Philadelphia Phillies,338800
6,191,Seattle Mariners,335900
6,192,Milwaukee Brewers,333200
6,193,Toronto Blue Jays,330300
7,194,Colorado Rockies,327700
7,195,Chicago White Sox,325100
7,196,Washington Nationals,322300
7,197,Minnesota Twins,319600
7,198,Pittsburgh Pirates,317100
7,199,Los Angeles Angels,314300
7,200,Baltimore Orioles,311700
7,201,Athletics,310000
7,202,Atlanta Braves,307300
7,203,Tampa Bay Rays,304800
7,204,St. Louis Cardinals,302300
7,205,Miami Marlins,299700
7,206,Arizona Diamondbacks,297100
7,207,Texas Rangers,294800
7,208,San Francisco Giants,292300
7,209,Kansas City Royals,289900
7,210,New York Mets,287800
7,211,Houston Astros,285400
7,212,Cincinnati Reds,283000
7,213,Cleveland Guardians,280900
7,214,Boston Red Sox,278700
7,215,San Diego Padres,276400
7,216,Detroit Tigers,274300
7,217,Chicago Cubs,272000
7,218,New York Yankees,270000
7,219,Philadelphia Phillies,267800
7,220,Seattle Mariners,266100
7,221,Milwaukee Brewers,264100
