player_id,kind,opponent,date_start,date_end,g,ab,h,2b,3b,hr,rbi,bb,sb,r,tb,avg,obp,slg,summary
70671,series,Missouri,2025-04-05,2025-04-06,3,13,5,0,0,2,9,2,1,5,11,0.385,0.467,0.846,"3 games vs Missouri: 5-for-13, 2 HR, 9 RBI, 2 BB, 1 SB (0.385/0.467/0.846)"
59476,series,Creighton,2025-05-31,2025-06-01,3,11,5,0,0,4,10,5,2,5,17,0.455,0.625,1.545,"3 games vs Creighton: 5-for-11, 4 HR, 10 RBI, 5 BB, 2 SB (0.455/0.625/1.545)"
47678,series,Creighton,2025-05-31,2025-06-01,3,13,6,0,0,4,6,0,0,6,18,0.462,0.462,1.385,"3 games vs Creighton: 6-for-13, 4 HR, 6 RBI, 0 BB (0.462/0.462/1.385)"
67483,series,Creighton,2025-05-31,2025-06-01,3,11,7,0,0,5,7,5,0,5,22,0.636,0.75,2.0,"3 games vs Creighton: 7-for-11, 5 HR, 7 RBI, 5 BB (0.636/0.750/2.000)"
67942,series,Missouri,2025-04-05,2025-04-06,3,12,9,3,0,2,13,3,0,8,18,0.75,0.8,1.5,"3 games vs Missouri: 9-for-12, 2 HR, 13 RBI, 3 BB (0.750/0.800/1.500)"
69292,series,Ark.-Pine Bluff,2025-04-15,2025-04-15,2,10,8,0,0,2,8,0,0,6,14,0.8,0.8,1.4,"2 games vs Ark.-Pine Bluff: 8-for-10, 2 HR, 8 RBI, 0 BB (0.800/0.800/1.400)"
50621,series,Texas,2025-05-02,2025-05-03,3,11,4,0,0,4,13,1,0,4,16,0.364,0.417,1.455,"3 games vs Texas: 4-for-11, 4 HR, 13 RBI, 1 BB (0.364/0.417/1.455)"
100163,series,Portland,2025-03-07,2025-03-09,3,10,5,2,0,3,11,2,1,6,16,0.5,0.583,1.6,"3 games vs Portland: 5-for-10, 3 HR, 11 RBI, 2 BB, 1 SB (0.500/0.583/1.600)"
54232,series,Texas A&M,2025-04-18,2025-04-18,3,8,4,0,0,4,6,2,0,6,16,0.5,0.6,2.0,"3 games vs Texas A&M: 4-for-8, 4 HR, 6 RBI, 2 BB (0.500/0.600/2.000)"
100797,series,West Virginia,2025-06-07,2025-06-08,3,10,7,1,0,2,10,4,1,9,14,0.7,0.786,1.4,"3 games vs West Virginia: 7-for-10, 2 HR, 10 RBI, 4 BB, 1 SB (0.700/0.786/1.400)"
56133,series,Little Rock,2025-06-01,2025-06-02,3,12,8,4,0,2,8,5,0,4,18,0.667,0.765,1.5,"3 games vs Little Rock: 8-for-12, 2 HR, 8 RBI, 5 BB (0.667/0.765/1.500)"
73072,series,West Virginia,2025-06-07,2025-06-08,3,10,4,2,0,2,12,6,0,6,12,0.4,0.625,1.2,"3 games vs West Virginia: 4-for-10, 2 HR, 12 RBI, 6 BB (0.400/0.625/1.200)"
41641,series,Little Rock,2025-06-01,2025-06-02,3,14,9,1,0,4,6,0,0,5,22,0.643,0.643,1.571,"3 games vs Little Rock: 9-for-14, 4 HR, 6 RBI, 0 BB (0.643/0.643/1.571)"
56136,series,South Carolina,2025-05-16,2025-05-17,3,11,7,0,0,5,7,4,0,7,22,0.636,0.733,2.0,"3 games vs South Carolina: 7-for-11, 5 HR, 7 RBI, 4 BB (0.636/0.733/2.000)"
42665,series,West Virginia,2025-06-07,2025-06-07,2,10,4,0,0,2,8,0,0,4,10,0.4,0.4,1.0,"2 games vs West Virginia: 4-for-10, 2 HR, 8 RBI, 0 BB (0.400/0.400/1.000)"
50740,series,DBU,2025-05-31,2025-05-31,2,8,6,0,0,2,6,0,0,2,12,0.75,0.75,1.5,"2 games vs DBU: 6-for-8, 2 HR, 6 RBI, 0 BB (0.750/0.750/1.500)"
73068,series,Arkansas,2025-05-09,2025-05-10,3,9,7,0,0,4,10,0,0,7,19,0.778,0.778,2.111,"3 games vs Arkansas: 7-for-9, 4 HR, 10 RBI, 0 BB (0.778/0.778/2.111)"
62065,series,Little Rock,2025-05-30,2025-05-30,2,10,4,0,0,4,6,0,0,4,16,0.4,0.4,1.6,"2 games vs Little Rock: 4-for-10, 4 HR, 6 RBI, 0 BB (0.400/0.400/1.600)"
46744,series,Tennessee,2025-04-26,2025-04-27,3,11,3,0,0,3,5,3,0,7,12,0.273,0.429,1.091,"3 games vs Tennessee: 3-for-11, 3 HR, 5 RBI, 3 BB (0.273/0.429/1.091)"
52376,series,Auburn,2025-06-06,2025-06-07,3,15,7,0,0,4,6,0,0,4,19,0.467,0.467,1.267,"3 games vs Auburn: 7-for-15, 4 HR, 6 RBI, 0 BB (0.467/0.467/1.267)"
14206,series,East Carolina,2025-05-31,2025-06-01,3,13,9,3,0,2,9,2,4,2,18,0.692,0.733,1.385,"3 games vs East Carolina: 9-for-13, 2 HR, 9 RBI, 2 BB, 4 SB (0.692/0.733/1.385)"
52374,series,ULM,2025-05-08,2025-05-09,3,12,6,0,0,2,8,0,0,2,12,0.5,0.5,1.0,"3 games vs ULM: 6-for-12, 2 HR, 8 RBI, 0 BB (0.500/0.500/1.000)"
67914,series,Georgia St.,2025-04-11,2025-04-12,3,4,3,0,0,0,4,9,2,6,3,0.75,0.923,0.75,"3 games vs Georgia St.: 3-for-4, 0 HR, 4 RBI, 9 BB, 2 SB (0.750/0.923/0.750)"
71235,series,App State,2025-05-03,2025-05-04,3,11,7,3,0,2,6,3,0,6,16,0.636,0.714,1.455,"3 games vs App State: 7-for-11, 2 HR, 6 RBI, 3 BB (0.636/0.714/1.455)"
53193,series,East Carolina,2025-05-31,2025-05-31,2,10,8,0,0,4,12,0,0,10,20,0.8,0.8,2.0,"2 games vs East Carolina: 8-for-10, 4 HR, 12 RBI, 0 BB (0.800/0.800/2.000)"
52384,series,James Madison,2026-03-20,2026-03-22,3,13,6,2,0,2,7,2,0,6,14,0.462,0.533,1.077,"3 games vs James Madison: 6-for-13, 2 HR, 7 RBI, 2 BB (0.462/0.533/1.077)"
45637,series,James Madison,2025-04-26,2025-04-27,3,9,4,1,0,2,7,2,0,4,11,0.444,0.545,1.222,"3 games vs James Madison: 4-for-9, 2 HR, 7 RBI, 2 BB (0.444/0.545/1.222)"
116506,series,Marshall,2025-04-17,2025-04-18,3,9,6,0,0,4,10,2,0,4,18,0.667,0.727,2.0,"3 games vs Marshall: 6-for-9, 4 HR, 10 RBI, 2 BB (0.667/0.727/2.000)"
47889,series,East Carolina,2025-05-31,2025-06-01,3,11,6,2,0,0,2,2,3,5,8,0.545,0.615,0.727,"3 games vs East Carolina: 6-for-11, 0 HR, 2 RBI, 2 BB, 3 SB (0.545/0.615/0.727)"
69458,series,CSUN,2025-04-17,2025-04-18,3,14,6,2,0,4,10,2,0,4,20,0.429,0.5,1.429,"3 games vs CSUN: 6-for-14, 4 HR, 10 RBI, 2 BB (0.429/0.500/1.429)"
62439,series,CSUN,2025-04-18,2025-04-19,3,16,14,0,0,5,15,2,0,13,29,0.875,0.889,1.812,"3 games vs CSUN: 14-for-16, 5 HR, 15 RBI, 2 BB (0.875/0.889/1.812)"
58505,series,CSUN,2025-04-17,2025-04-18,3,15,8,1,0,5,12,2,0,6,24,0.533,0.588,1.6,"3 games vs CSUN: 8-for-15, 5 HR, 12 RBI, 2 BB (0.533/0.588/1.600)"
45040,series,Hawaii,2025-05-04,2025-05-05,3,9,4,0,0,4,8,5,0,4,16,0.444,0.643,1.778,"3 games vs Hawaii: 4-for-9, 4 HR, 8 RBI, 5 BB (0.444/0.643/1.778)"
115363,series,San Diego,2026-03-13,2026-03-15,3,12,6,1,0,3,11,3,0,4,16,0.5,0.6,1.333,"3 games vs San Diego: 6-for-12, 3 HR, 11 RBI, 3 BB (0.500/0.600/1.333)"
58501,series,Grand Canyon,2026-03-27,2026-03-29,3,13,5,1,0,2,5,2,0,5,12,0.385,0.467,0.923,"3 games vs Grand Canyon: 5-for-13, 2 HR, 5 RBI, 2 BB (0.385/0.467/0.923)"
58497,series,CSUN,2025-04-18,2025-04-19,3,13,7,2,0,3,3,2,0,7,18,0.538,0.6,1.385,"3 games vs CSUN: 7-for-13, 3 HR, 3 RBI, 2 BB (0.538/0.600/1.385)"
58504,series,Cal St. Fullerton,2025-04-12,2025-04-13,3,16,9,0,2,3,11,3,2,8,22,0.562,0.632,1.375,"3 games vs Cal St. Fullerton: 9-for-16, 3 HR, 11 RBI, 3 BB, 2 SB (0.562/0.632/1.375)"
69466,series,Hawaii,2025-05-04,2025-05-05,3,7,6,2,0,2,4,2,0,4,14,0.857,0.889,2.0,"3 games vs Hawaii: 6-for-7, 2 HR, 4 RBI, 2 BB (0.857/0.889/2.000)"
58502,series,Long Beach St.,2025-05-15,2025-05-16,3,11,7,0,0,5,16,2,0,7,22,0.636,0.692,2.0,"3 games vs Long Beach St.: 7-for-11, 5 HR, 16 RBI, 2 BB (0.636/0.692/2.000)"
