team_id,team_name,sport,division,ncaa_school,primary_metric_name,primary_metric_value,fgr,primary_percentile,fgr_percentile,education_percentile
559,Northwestern,Baseball,D1,Northwestern University,GSR,99.0,94.0,0.9877551020408163,0.997872340425532,0.9928137212331741
173,Columbia,Baseball,D1,Columbia University-Barnard College,GSR,99.0,,0.9877551020408163,,0.9877551020408163
182,Cornell,Baseball,D1,Cornell University,GSR,99.0,,0.9877551020408163,,0.9877551020408163
318,Harvard,Baseball,D1,Harvard University,GSR,99.0,,0.9877551020408163,,0.9877551020408163
938,Yale,Baseball,D1,Yale University,GSR,99.0,,0.9877551020408163,,0.9877551020408163
565,Notre Dame,Baseball,D1,University of Notre Dame,GSR,99.0,90.0,0.9877551020408163,0.9829787234042553,0.9853669127225357
198,Davidson,Baseball,D1,Davidson College,GSR,98.0,92.0,0.9612244897959183,0.9914893617021276,0.976356925749023
623,Princeton,Baseball,D1,Princeton University,GSR,98.0,,0.9612244897959183,,0.9612244897959183
855,Villanova,Baseball,D1,Villanova University,GSR,98.0,84.0,0.9612244897959183,0.948936170212766,0.9550803300043422
753,Stanford,Baseball,D1,Stanford University,GSR,97.0,94.0,0.9040816326530612,0.997872340425532,0.9509769865392965
644,Richmond,Baseball,D1,University of Richmond,GSR,98.0,81.0,0.9612244897959183,0.9212765957446809,0.9412505427702996
98,Bucknell,Baseball,D1,Bucknell University,GSR,97.0,87.0,0.9040816326530612,0.9702127659574468,0.937147199305254
332,Holy Cross,Baseball,D1,College of the Holy Cross,GSR,97.0,87.0,0.9040816326530612,0.9702127659574468,0.937147199305254
217,Duke,Baseball,D1,Duke University,GSR,97.0,86.0,0.9040816326530612,0.9617021276595744,0.9328918801563177
291,Georgetown,Baseball,D1,Georgetown University,GSR,97.0,85.0,0.9040816326530612,0.9574468085106383,0.9307642205818498
299,Gonzaga,Baseball,D1,Gonzaga University,GSR,97.0,84.0,0.9040816326530612,0.948936170212766,0.9265089014329135
438,Marist,Baseball,D1,Marist University,GSR,97.0,84.0,0.9040816326530612,0.948936170212766,0.9265089014329135
270,Fordham,Baseball,D1,Fordham University,GSR,97.0,81.0,0.9040816326530612,0.9212765957446809,0.912679114198871
384,Lafayette,Baseball,D1,Lafayette College,GSR,97.0,81.0,0.9040816326530612,0.9212765957446809,0.912679114198871
551,Northeastern,Baseball,D1,Northeastern University,GSR,97.0,81.0,0.9040816326530612,0.9212765957446809,0.912679114198871
96,Brown,Baseball,D1,Brown University,GSR,97.0,,0.9040816326530612,,0.9040816326530612
196,Dartmouth,Baseball,D1,Dartmouth College,GSR,97.0,,0.9040816326530612,,0.9040816326530612
397,Lehigh,Baseball,D1,Lehigh University,GSR,96.0,91.0,0.8204081632653061,0.9872340425531915,0.9038211029092488
239,Elon,Baseball,D1,Elon University,GSR,97.0,80.0,0.9040816326530612,0.8978723404255319,0.9009769865392965
810,UC San Diego,Baseball,D1,"University of California, San Diego",GSR,96.0,89.0,0.8204081632653061,0.9787234042553191,0.8995657837603126
694,Seton Hall,Baseball,D1,Seton Hall University,GSR,98.0,76.0,0.9612244897959183,0.8319148936170213,0.8965696917064698
910,William & Mary,Baseball,D1,William & Mary,GSR,96.0,87.0,0.8204081632653061,0.9702127659574468,0.8953104646113764
251,Fairfield,Baseball,D1,Fairfield University,GSR,96.0,81.0,0.8204081632653061,0.9212765957446809,0.8708423795049935
87,Boston College,Baseball,D1,Boston College,GSR,97.0,76.0,0.9040816326530612,0.8319148936170213,0.8679982631350412
290,George Washington,Baseball,D1,George Washington University,GSR,97.0,76.0,0.9040816326530612,0.8319148936170213,0.8679982631350412
446,Maryland,Baseball,D1,Loyola University Maryland,GSR,96.0,80.0,0.8204081632653061,0.8978723404255319,0.859140251845419
633,Quinnipiac,Baseball,D1,Quinnipiac University,GSR,96.0,80.0,0.8204081632653061,0.8978723404255319,0.859140251845419
97,Bryant,Baseball,D1,Bryant University,GSR,96.0,78.0,0.8204081632653061,0.8723404255319149,0.8463742943986106
65,Belmont,Baseball,D1,Belmont University,GSR,97.0,74.0,0.9040816326530612,0.7872340425531915,0.8456578376031263
536,Niagara,Baseball,D1,Niagara University,GSR,96.0,77.0,0.8204081632653061,0.8553191489361702,0.8378636561007382
852,Vanderbilt,Baseball,D1,Vanderbilt University,GSR,95.0,79.0,0.7571428571428571,0.8851063829787233,0.8211246200607902
121,Canisius,Baseball,D1,Canisius University,GSR,97.0,72.0,0.9040816326530612,0.7212765957446808,0.812679114198871
