id,team_id,total_attendance,average_attendance,capacity,capacity_percent,games,park_factor
1,422,447527,11188,10326,1.084,40,0
2,36,370940,9762,10737,0.909,38,0
3,488,332838,11095,15000,0.74,30,0
4,584,323047,10095,11477,0.88,32,0
5,265,259236,6029,7000,0.861,43,0
6,710,256075,7113,8242,0.863,36,0
7,781,242264,6730,7373,0.913,36,0
8,782,195183,5577,0,0,35,0
9,722,175740,5169,4300,1.202,34,0
10,776,171151,4388,4283,1.025,39,0
11,581,162378,4776,8000,0.597,34,0
12,160,157814,4265,6272,0.68,37,0
13,856,154507,3679,5919,0.622,42,0
14,220,149652,4402,5000,0.88,34,0
15,775,145744,4287,4500,0.953,34,0
16,8,137463,3617,5867,0.617,38,0
17,786,137306,3711,4432,0.837,37,0
18,267,134340,4478,6700,0.668,30,0
19,43,129948,3713,4096,0.906,35,0
20,419,128345,3775,6015,0.628,34,0
21,852,125732,3698,3626,1.02,34,0
22,525,112571,5117,8486,0.603,22,0
23,469,105141,2921,3550,0.823,36,0
24,372,104843,2912,5000,0.583,36,0
25,589,103470,3568,3587,0.995,29,0
26,543,102621,2851,4100,0.695,36,0
27,292,97401,2952,2760,1.069,33,0
28,32,96298,3106,5300,0.586,31,0
29,31,94939,3063,9000,0.34,31,0
30,523,90856,2753,3100,0.888,33,0
31,320,83762,3222,4312,0.747,26,0
32,163,81544,2146,5500,0.39,38,0
33,588,73809,1893,4000,0.473,39,0
34,282,71808,2394,3000,0.798,30,0
35,62,68457,1902,5000,0.38,36,0
36,421,67711,2052,4000,0.513,33,0
37,753,65917,1883,4500,0.419,35,0
38,643,65895,2059,6193,0.333,32,0
39,420,64919,2029,0,0,32,0
40,813,61558,1811,3600,0.503,34,0
41,888,59894,2496,3500,0.713,24,0
42,799,56474,1765,2000,0.882,32,0
43,416,53576,1913,3000,0.638,28,0
44,105,52960,1708,3138,0.544,31,0
45,785,52216,1632,2500,0.653,32,0
46,864,48766,1478,3823,0.387,33,0
47,367,48152,1783,2331,0.765,27,0
48,280,47761,1405,3575,0.393,34,0
49,906,47099,1570,8153,0.193,30,0
50,802,46115,1647,5000,0.329,28,0
51,845,45461,1515,5000,0.303,30,0
52,295,44304,1343,3194,0.42,33,0
53,580,43509,1611,3180,0.507,27,0
54,349,42424,1414,2500,0.566,30,0
55,186,42186,1834,25000,0.073,23,0
56,302,38821,1339,4000,0.335,29,0
57,337,38116,1361,3500,0.389,28,0
58,714,37572,1296,2000,0.648,29,0
59,709,37400,1206,3775,0.32,31,0
60,490,37133,1428,3031,0.471,26,0
61,858,36806,1187,3500,0.339,31,0
62,841,36793,1600,14511,0.11,23,0
63,388,36482,1351,3500,0.386,27,0
64,109,35806,1279,3500,0.365,28,0
65,457,35635,1018,1500,0.679,35,0
66,829,35614,1187,3500,0.339,30,0
67,101,35032,1592,2300,0.692,22,0
68,712,34592,1081,3211,0.337,32,0
69,627,34218,1555,2000,0.778,22,0
70,405,32204,1288,2500,0.515,25,0
71,201,30959,999,2000,0.499,31,0
72,870,30839,1234,2200,0.561,25,0
73,576,28897,1111,4450,0.25,26,0
74,820,28171,909,1800,0.505,31,0
75,145,28056,905,3300,0.274,31,0
76,872,27795,1112,3500,0.318,25,0
77,351,27719,1109,2000,0.554,25,0
78,446,26885,996,2500,0.398,27,0
79,471,26245,1050,4000,0.262,25,0
80,217,25692,714,10000,0.071,36,0
81,587,24377,903,2418,0.373,27,0
82,756,23834,681,2000,0.341,35,0
83,808,23762,849,3408,0.249,28,0
84,462,23742,719,1500,0.48,33,0
85,167,23376,615,2000,0.308,38,0
86,357,23369,779,1500,0.519,30,0
87,353,22878,880,3000,0.293,26,0
88,682,21901,811,1410,0.575,27,0
89,717,21887,684,2500,0.274,32,0
90,815,21595,745,1879,0.396,29,0
91,473,21585,744,2100,0.354,29,0
92,120,20659,861,1000,0.861,24,0
93,152,19941,767,3085,0.249,26,0
94,261,19913,569,2000,0.285,35,0
95,2,19653,562,4000,0.14,35,0
96,483,19371,717,1420,0.505,27,0
97,532,19064,657,1000,0.657,29,0
98,816,17983,817,0,0,22,0
99,561,17822,660,1200,0.55,27,0
100,87,17709,843,2500,0.337,21,0
101,366,17489,972,2500,0.389,18,0
102,262,17275,508,1718,0.296,34,0
103,345,16935,891,1500,0.594,19,0
104,805,16856,733,1000,0.733,23,0
105,492,16802,646,8000,0.081,26,0
106,472,16787,799,2500,0.32,21,0
107,601,16312,777,5406,0.144,21,0
108,684,16144,673,1700,0.396,24,0
109,370,16089,503,1500,0.335,32,0
110,846,16058,487,800,0.608,33,0
111,843,16018,728,3000,0.243,22,0
112,788,15926,468,6000,0.078,34,0
113,854,14959,499,12000,0.042,30,0
114,114,14811,673,2000,0.337,22,0
115,239,14310,477,2000,0.239,30,0
116,29,14259,528,1000,0.528,27,0
117,248,14243,528,1000,0.528,27,0
118,531,14034,501,1000,0.501,28,0
119,773,13773,459,1000,0.459,30,0
120,326,13628,487,550,0.885,28,0
121,533,13529,520,2900,0.179,26,0
122,356,13114,386,3000,0.129,34,0
123,461,13019,420,2000,0.21,31,0
124,586,13000,619,1500,0.413,21,0
125,116,12969,519,800,0.649,25,0
126,188,12886,444,2000,0.222,29,0
127,832,12737,579,3500,0.165,22,0
128,932,12667,437,2500,0.175,29,0
129,527,12513,501,3000,0.167,25,0
130,294,12355,412,1092,0.377,30,0
131,537,12141,434,3200,0.136,28,0
132,685,12096,448,3000,0.149,27,0
133,565,11998,500,2500,0.2,24,0
134,1,11908,397,500,0.794,30,0
135,842,11861,409,2200,0.186,29,0
136,660,11798,590,1500,0.393,20,0
137,582,11535,372,2000,0.186,31,0
138,200,11425,476,2000,0.238,24,0
139,299,11410,519,1500,0.346,22,0
140,827,11328,391,3500,0.112,29,0
141,910,11243,375,1000,0.375,30,0
142,936,10966,392,750,0.522,28,0
143,78,10836,417,2500,0.167,26,0
144,11,10836,361,500,0.722,30,0
145,719,10719,383,2000,0.191,28,0
146,522,10661,395,1500,0.263,27,0
