id,games_played,games_started,games_appeared,putouts,assists,total_chances,errors,fielding_percentage,catchers_interference,passed_balls,stolen_bases_allowed,caught_stealing_by,double_plays_turned,range_factor,player_id,year,team_id
1,59,59,59,217,93,320,10,0.969,0,0,0,0,29,5.25,50094,2023,2.0
2,59,59,59,144,5,150,1,0.993,0,0,0,0,2,2.53,30173,2023,2.0
3,59,59,59,17,0,17,0,1.0,0,0,0,0,0,0.29,65,2023,2.0
4,59,59,59,90,160,258,8,0.969,0,0,0,0,25,4.24,50090,2023,2.0
5,58,58,58,91,2,94,1,0.989,0,0,0,0,1,1.6,75,2023,2.0
6,57,56,57,459,27,490,4,0.992,1,16,66,10,3,8.53,36474,2023,2.0
7,56,56,56,56,70,132,6,0.955,0,0,1,1,5,2.25,50088,2023,2.0
8,45,27,45,67,1,68,0,1.0,0,0,0,0,0,1.51,50091,2023,2.0
9,33,22,33,132,16,149,1,0.993,0,0,0,0,10,4.48,50093,2023,2.0
10,32,32,32,41,61,104,2,0.981,0,0,0,0,14,3.19,68,2023,2.0
11,27,19,27,40,1,41,0,1.0,0,0,0,0,1,1.52,50084,2023,2.0
12,26,17,26,129,7,140,4,0.971,0,0,0,0,7,5.23,36470,2023,2.0
13,26,0,26,2,2,4,0,1.0,0,0,2,2,0,0.15,72,2023,2.0
14,24,7,24,2,5,7,0,1.0,0,0,6,2,0,0.29,50076,2023,2.0
15,22,1,22,3,1,4,0,1.0,0,0,1,0,0,0.18,36464,2023,2.0
16,21,3,21,0,6,6,0,1.0,0,0,5,4,1,0.29,61,2023,2.0
17,20,0,20,2,4,7,1,0.857,0,0,10,2,0,0.3,50083,2023,2.0
18,19,0,19,1,3,4,0,1.0,0,0,6,1,0,0.21,73,2023,2.0
19,18,0,18,1,1,2,0,1.0,0,0,4,0,1,0.11,36463,2023,2.0
20,16,14,16,3,5,8,0,1.0,0,0,9,2,0,0.5,66,2023,2.0
21,16,0,16,1,0,1,0,1.0,0,0,2,0,0,0.06,36465,2023,2.0
22,15,15,15,8,5,14,1,0.929,0,0,10,2,0,0.87,36466,2023,2.0
23,15,15,15,5,4,9,0,1.0,0,0,11,2,0,0.6,58,2023,2.0
24,13,5,13,4,6,10,0,1.0,0,0,0,0,1,0.77,36462,2023,2.0
25,12,2,12,4,11,15,0,1.0,0,0,0,0,1,1.25,36472,2023,2.0
26,8,4,8,1,1,2,0,1.0,0,0,0,1,0,0.25,50077,2023,2.0
27,7,0,7,0,0,0,0,0.0,0,0,1,1,0,0.0,50079,2023,2.0
28,5,0,5,0,0,0,0,0.0,0,0,0,0,0,0.0,50087,2023,2.0
29,2,0,2,0,0,0,0,0.0,0,0,0,0,0,0.0,50089,2023,2.0
30,2,0,2,6,0,6,0,1.0,0,0,0,0,0,3.0,50078,2023,2.0
31,2,0,2,0,0,0,0,0.0,0,0,0,0,0,0.0,50092,2023,2.0
32,1,1,1,0,1,2,1,0.5,0,0,0,0,0,1.0,50085,2023,2.0
33,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0.0,50080,2023,2.0
34,1,0,1,1,0,1,0,1.0,0,0,0,0,0,1.0,50086,2023,2.0
35,59,59,59,495,37,535,3,0.994,0,0,0,0,36,9.02,268,2023,6.0
36,59,59,59,77,164,243,2,0.992,0,0,0,0,26,4.08,282,2023,6.0
37,59,53,59,105,8,115,2,0.983,0,0,0,0,0,1.92,36555,2023,6.0
38,59,59,59,8,0,9,1,0.889,0,0,0,0,0,0.14,36547,2023,6.0
39,58,53,58,145,2,150,3,0.98,0,0,0,0,1,2.53,258,2023,6.0
40,58,57,58,38,74,123,11,0.911,0,0,0,0,7,1.93,283,2023,6.0
41,58,58,58,84,165,266,17,0.936,0,0,0,0,29,4.29,267,2023,6.0
42,51,45,51,78,5,84,1,0.988,0,0,0,0,0,1.63,284,2023,6.0
