id,player_name,position,classification,transferred,previous_team,recruited_rank,sixty_four_draft_ranking,team_id,player_id_ncaa,secondary_position,utility,height,bat,throw,hometown
1,Bryce Balusek,INF,,FALSE,,0,0,1,2320559,,,,,,
2,Henry Bird,P,,FALSE,,0,0,1,2320561,,,,,,
3,Trace Blue,P,,FALSE,,0,0,1,2493008,,,,,,
4,Itchy Burts,OF,,FALSE,,0,0,1,1884356,,,,,,
5,Tyler Byrd,C,,FALSE,,0,0,1,2492966,,,,,,
6,Josh Caraway,C,,FALSE,,0,0,1,2492951,,,,,,
7,Trevor Davis,OF,,TRUE,1,0,0,324,2493005,,,,,,
8,Cole Fluta,INF,,FALSE,,0,0,1,2139589,,,,,,
9,John Gaddis,P,,TRUE,1,0,0,584,1998282,,,,,,
10,David Hankins,P,,FALSE,,0,0,1,2492950,,,,,,
11,Scott Hastings,INF,,FALSE,,0,0,1,2139615,,,,,,
12,Nic Hernandez,P,,FALSE,,0,0,1,2320564,,,,,,
13,Mason Hopkins,P,,FALSE,,0,0,1,2139620,,,,,,
14,Dylan Johnson,P,,FALSE,,0,0,1,2320566,,,,,,
15,Diego Johnson,INF,,FALSE,,0,0,1,2320565,,,,,,
16,Tre Jones,RF,,TRUE,1,0,0,337,2320567,DH,FALSE,76,L,L,"Houston, TX"
17,Justin Lewis,P,,FALSE,,0,0,1,2320569,,,,,,
18,Dom Lopez,P,,FALSE,,0,0,1,2139618,,,,,,
19,Luke Marbach,INF,,FALSE,,0,0,1,1884359,,,,,,
20,Leo Markotic,INF,,FALSE,,0,0,1,2492952,,,,,,
21,Tucker McEnroe,RF,,FALSE,,0,0,1,2493010,,FALSE,74,R,R,"Spring, TX"
22,Sebastian Mejia,P,,TRUE,1,0,0,845,2492983,,FALSE,71,R,R,"Humble, TX"
23,Tyler Miller,P,,FALSE,,0,0,1,2139591,,,,,,
24,Wesley Mitchell,INF,,FALSE,,0,0,1,2492985,,,,,,
25,Jt Moeller,P,,TRUE,1,0,0,457,2492995,,FALSE,73,,,"San Antonio, TX"
26,Nick Mueller,RF,,TRUE,582,0,0,457,2492991,CF,FALSE,73,R,R,"Houston, TX"
27,Daniel Nelson,P,,FALSE,,0,0,1,2320547,,,,,,
28,Leo Perez,P,,FALSE,,0,0,1,1998284,,,,,,
29,Brandon Petkoff,OF,,FALSE,,0,0,1,2320571,,,,,,
30,Colin Purcell,P,,FALSE,,0,0,1,2492968,,,76,R,R,
31,Caden Queck,OF,,FALSE,,0,0,1,2493011,,,,,,
32,Jaime Ramirez Jr.,P,,FALSE,,0,0,1,2320577,,,,,,
33,Steven Rivera-Chijin,INF,,FALSE,,0,0,1,1998349,,,,,,
34,Brendan Ryan,INF,,FALSE,,0,0,1,2492948,,,,,,
35,Cassius Shy,P,,FALSE,,0,0,1,2320572,,,,,,
36,Justin Taylor,C,,FALSE,,0,0,1,2139616,,,,,,
37,Hayden Thomas,P,,FALSE,,0,0,1,2139619,,,,,,
38,Nick Urbantke,P,,FALSE,,0,0,1,2120149,,,,,,
39,Tristan Welch,OF,,TRUE,1,0,0,714,2320575,,,,,,
40,Nate White,INF,,FALSE,,0,0,1,2320576,,,,,,
41,Mike Williams,OF,,FALSE,,0,0,1,2139614,,,,,,
42,Carson Winkler,OF,,FALSE,,0,0,1,2493014,,,,,,
43,Cinoon Bak,P,,FALSE,,0,0,2,2347964,,,,,,
44,Thomas Brannon,C,,FALSE,,0,0,2,2347965,,,,,,
45,Mike Brown,OF,,FALSE,,0,0,2,1749271,,,,,,
46,Harrison Caley,C,,TRUE,2,0,0,62,2494395,DH,FALSE,74,R,R,"The Woodlands, TX"
47,Connor Carlton,P,,FALSE,,0,0,2,2494946,,,,,,
48,Alexei Cazarin,INF,,FALSE,,0,0,2,2347955,,,,,,
49,Genner Cervantes,P,,FALSE,,0,0,2,2347956,,,,,,
50,Spencer Chirpich,P,,FALSE,,0,0,2,2133304,,,,,,
51,Joseph Craig,OF,,FALSE,,0,0,2,2347966,,,,,,
52,Cameron Cromer,2B,,TRUE,2,0,0,715,2347967,DH,FALSE,68,L,R,
53,Tommy Cruz,INF,,FALSE,,0,0,2,2347968,,,,,,
54,Owen Cuffe,P,,TRUE,2,0,0,672,2347958,,FALSE,74,,,"Roseville, CA"
55,Mitchell Dickson,C,,FALSE,,0,0,2,2137687,,,,,,
56,Colton Eager,OF,,FALSE,,0,0,2,1997699,,,,,,
57,Hunter Gieser,INF,,FALSE,,0,0,2,2347979,,,,,,
58,Austin Glaze,P,,FALSE,,0,0,2,2347980,,FALSE,73,R,R,"Carthage, TX"
59,Brett Hammit,OF,,FALSE,,0,0,2,2494394,,,,,,
60,Bryson Hill,INF,,FALSE,,0,0,2,2349380,,,,,,
61,Max Huffing,P,,TRUE,2,0,0,786,2494398,,FALSE,81,L,L,"Edmond, OK"
62,Trevor Jackson,P,,FALSE,,0,0,2,2347982,,,,,,
63,Ben Johnson,P,,FALSE,,483,0,2,2347972,,,,,,
64,Jack Junker,P,,FALSE,,0,0,2,2531536,,,,,,
65,Miller Ladusau,LF,,FALSE,,0,0,2,2347974,DH,FALSE,75,L,R,"Heath, TX"
66,Tyler Morgan,P,,FALSE,,0,0,2,2347976,,,,,,
67,Nick Norton,P,,FALSE,,0,0,2,2500832,,,,,,
68,Bash Randle,INF,,FALSE,,0,0,2,2494396,,,,,,
69,Tanner Riley,P,,FALSE,,0,0,2,2347985,,,,,,
70,Austin Ruesch,P,,FALSE,,0,0,2,2347986,,,,,,
71,Carter Sells,P,,FALSE,,0,0,2,2117386,,,,,,
72,Zach Smith,INF,,FALSE,,0,0,2,1997675,,,,,,
73,Adam Stephenson,P,,FALSE,,0,0,2,2136723,,,,,,
74,Cal Strandt,INF,,FALSE,,0,0,2,2347987,,,,,,
75,Grayson Tatrow,INF,,FALSE,,0,0,2,2494397,,,,,,
