ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,player_id_64a,player_id_ncaa_stats,matched_name,match_score,match_method,confidence,position,class_year,player_csv_team_id
2604873040,JACOB,PASCHETTO,Jacob Paschetto,Dean College,Great Northeast Athletic Conference,III,04/10/2026,04/10/2026,Active,2025-26,Baseball,202,52945,2831230,Jacob Paschetto,100.0,team+lastname,HIGH,RF,Sr,202
2604873295,BENGT,LUCKEY,Bengt Luckey,Augustana College (Illinois),College Conference of Illinois & Wisconsin,III,04/09/2026,04/10/2026,Active,2025-26,Baseball,46,150389,,Bengt Luckey,100.0,human_override,HIGH,OF,Fr,46
2311153385,MAX,OSWALD,Max Oswald,Arcadia University,Middle Atlantic Conference Freedom,III,04/10/2026,04/10/2026,Active,2025-26,Baseball,30,57260,2821927,Max Oswald,100.0,team+lastname,HIGH,LF,Sr,30
1909686967,DAVIS,BAKER,Davis Baker,University of Pennsylvania,The Ivy League,I,03/11/2026,04/10/2026,Signed,2025-26,Baseball,599,58646,2809562,Davis Baker,100.0,team+lastname,HIGH,SS,Sr,599
2305910213,SPENCER,DESSART,Spencer Dessart,"University of California, Berkeley",Atlantic Coast Conference,I,03/13/2026,04/10/2026,Active,2025-26,Baseball,114,56883,2821327,Spencer Dessart,100.0,team+lastname,HIGH,P,,114
2404281198,COLE,MCCOMBS,Cole Mccombs,Northwest Nazarene University,Great Northwest Athletic Conference,II,04/09/2026,04/09/2026,Active,2025-26,Baseball,558,134659,3229592,Cole McCombs,100.0,team+lastname,HIGH,P,Fr,558
2109329636,JAMES,GILLESPIE,James Gillespie,University of North Carolina Wilmington,Coastal Athletic Association,I,04/09/2026,04/09/2026,Active,2025-26,Baseball,829,61827,2797661,Mac Gillespie,78.6,team+lastname_diff_first+confirmed,HIGH,DH,Sr,829
2503532413,ISAIAH,SMITH,Isaiah Smith,Salem University (West Virginia),Independent,II,04/09/2026,04/09/2026,Active,2025-26,Baseball,678,135826,3223333,Isaiah Smith,100.0,team+fullname,HIGH,C,Jr,678
2407363867,NICOLA,DEMAIO,Nicola Demaio,Dominican University New York,Central Atlantic Collegiate Conference,II,04/09/2026,04/09/2026,Active,2025-26,Baseball,213,149668,3258760,Nicola DeMaio,100.0,team+fullname,HIGH,P,,213
2109320706,DORSY,ASENCIO,Dorsy Asencio,University of Rhode Island,Atlantic 10 Conference,I,04/08/2026,04/09/2026,Active,2025-26,Baseball,640,59179,2837021,Dorsy Asencio,100.0,team+lastname,HIGH,P,Jr,640
2109316793,RYAN,HENSCHEL,Ryan Henschel,University of Rhode Island,Atlantic 10 Conference,I,03/31/2026,04/08/2026,Active,2025-26,Baseball,640,59183,2837020,Ryan Henschel,100.0,team+lastname,HIGH,CF,Sr,640
1908646797,ANDREW,RUGGERI,Andrew Ruggeri,University of Pennsylvania,The Ivy League,I,10/02/2025,04/08/2026,Active,2025-26,Baseball,599,58652,2809581,Andrew Ruggeri,100.0,team+lastname,HIGH,DH,Sr,599
2209660179,SAWYER,WICKSTROM,Sawyer Wickstrom,Utah Valley University,Western Athletic Conference,I,12/02/2025,04/08/2026,Active,2025-26,Baseball,843,102861,3084797,Sawyer Wickstrom,100.0,team+lastname,HIGH,P,,843
1909674600,JOHN,CERWINSKI,John Cerwinski,University of Pennsylvania,The Ivy League,I,10/01/2025,04/08/2026,Active,2025-26,Baseball,599,58647,2809584,John Cerwinski,100.0,team+lastname,HIGH,P,Sr,599
2506639984,ADAM,BUERGER,Adam Buerger,Tusculum University,South Atlantic Conference,II,04/08/2026,04/08/2026,Active,2025-26,Baseball,803,137545,3240712,Adam Buerger,100.0,team+lastname,HIGH,INF,Jr,803
2507664092,BRODY,COLEMAN,Brody Coleman,Trine University,Michigan Intercollegiate Athletic Association,III,04/07/2026,04/07/2026,Active,2025-26,Baseball,796,55610,2833893,Brady Coleman,92.3,broad_lastresort,MEDIUM,P,,387
2604868992,JAKE,NOVELLO,Jake Novello,Rhode Island College,Little East Conference,III,04/07/2026,04/07/2026,Active,2025-26,Baseball,641,9549,2142452,Jake Noviello,96.0,broad_lastresort,HIGH,P,,251
2307969066,GRAYSON,FRERS,Grayson Frers,University of Mary,Northern Sun Intercollegiate Conference,II,04/07/2026,04/07/2026,Active,2025-26,Baseball,442,71458,2949880,Grayson Frers,100.0,team+fullname,HIGH,P,Jr,442
2405313862,MYLES,SEID,Myles Seid,Saint Leo University,Sunshine State Conference,II,04/07/2026,04/07/2026,Active,2025-26,Baseball,669,75937,2971427,Myles Seid,100.0,broad_lastresort,HIGH,C,,635
2008908962,BODIE,PULLEN,Bodie Pullen,Shepherd University,Pennsylvania State Athletic Conference,II,04/07/2026,04/07/2026,Active,2025-26,Baseball,699,65549,2954849,Bodie Pullen,100.0,team+lastname,HIGH,CF,Sr,699
2109320620,RYAN,FLUHARTY,Ryan Fluharty,Shepherd University,Pennsylvania State Athletic Conference,II,04/07/2026,04/07/2026,Active,2025-26,Baseball,699,68941,2971733,Ryan Fluharty,100.0,team+lastname,HIGH,3B,So,699
2109329818,PATRICK,MACLEAN,Patrick Maclean,Hillsdale College,Great Midwest Athletic Conference,II,04/07/2026,04/07/2026,Active,2025-26,Baseball,328,54720,2795864,Patrick MacLean,100.0,team+fullname,HIGH,P,Sr,328
2305897503,GAVIN,DIEGNAN,Gavin Diegnan,Post University,Central Atlantic Collegiate Conference,II,04/06/2026,04/07/2026,Active,2025-26,Baseball,620,135393,3205794,Gavin Diegnan,100.0,team+lastname,HIGH,P,Fr,620
2401192717,WILLIAM,EVERETT,William Everett,Emmanuel University (Georgia),Conference Carolinas,II,04/06/2026,04/06/2026,Active,2025-26,Baseball,242,103191,3087809,Will Everett,88.9,broad_lastresort+confirmed,HIGH,P,,829
2405319829,AMARI,GOODFELLOW,Amari Goodfellow,Northwestern Oklahoma State University,Great American Conference,II,04/06/2026,04/06/2026,Active,2025-26,Baseball,560,134681,3240474,Amari Goodfellow,100.0,team+fullname,HIGH,LF,Jr,560
2308988333,ETHAN,MCHUGH,Ethan Mchugh,Cornell University,The Ivy League,I,04/06/2026,04/06/2026,Active,2025-26,Baseball,182,125955,3100016,Ethan McHugh,100.0,team+lastname,HIGH,P,Sr,182
2601800726,SIMMY,GOLDBERGER,Simmy Goldberger,Yeshiva University,Skyline Conference,III,04/06/2026,04/06/2026,Active,2025-26,Baseball,939,148774,3256249,Simmy Goldberger,100.0,team+fullname,HIGH,2B,Fr,939
2207609073,ISAAC,MALDONADO,Isaac Maldonado,Norwich University,Great Northeast Athletic Conference,III,04/06/2026,04/06/2026,Active,2025-26,Baseball,564,76245,2973784,Isaac Maldonado,100.0,team+lastname,HIGH,3B,Jr,564
2109329561,JACOB,SWARTZ,Jacob Swartz,University of Illinois Urbana-Champaign,Big Ten Conference,I,02/13/2026,04/04/2026,Signed,2025-26,Baseball,345,54992,2801932,Jake Swartz,92.0,team+lastname,MEDIUM,P,,345
2406326658,ISAIAH,MITCHELL,Isaiah Mitchell,Point Park University,Mountain East Conference,II,04/03/2026,04/03/2026,Active,2025-26,Baseball,965,103939,3095060,Isaiah Mitchell,100.0,broad_lastresort,HIGH,P,So,153
2108285956,JOSHUA,LOPEZ,Joshua Lopez,University of Massachusetts Lowell,America East Conference,I,04/03/2026,04/03/2026,Active,2025-26,Baseball,823,51695,2827556,Joshua Lopez,100.0,team+lastname,HIGH,CF,Sr,823
2603842529,THOMAS,HUGHES,Thomas Hughes,Manchester University,Heartland Collegiate Athletic Conference,III,03/12/2026,04/03/2026,Active,2025-26,Baseball,431,132825,3239522,Cam Hughes,52.2,team+lastname_diff_first+confirmed,HIGH,UT,Sr,431
2204531494,MARTIN,ZHANG,Martin Zhang,Columbia University-Barnard College,The Ivy League,I,10/13/2025,04/03/2026,Active,2025-26,Baseball,173,52531,2812739,Martin Zhang,100.0,team+lastname,HIGH,P,Sr,173
2108304190,JONATHAN,KIM,Jonathan Kim,University of Michigan,Big Ten Conference,I,04/02/2026,04/03/2026,Active,2025-26,Baseball,471,56844,2804420,Jonathan Kim,100.0,team+lastname,HIGH,LF,Sr,471
2005868198,NASH,VILLEGAS,Nash Villegas,The University of Texas at Tyler,Lone Star Conference,II,03/19/2026,04/02/2026,Active,2025-26,Baseball,840,50074,2815459,Nash Villegas,100.0,team+lastname,HIGH,P,Sr,840
2009914430,ROBERT,BOYKIN,Robert Boykin,Presbyterian College,Big South Conference,I,04/01/2026,04/02/2026,Active,2025-26,Baseball,622,70245,2950393,Robbie Boykin,92.0,team+lastname,MEDIUM,P,Sr,622
2305913229,AARON,BOCK,Aaron Bock,Johns Hopkins University,Centennial Conference,III,04/01/2026,04/02/2026,Active,2025-26,Baseball,362,119189,3118226,Aaron Bock,100.0,team+lastname,HIGH,DH,Jr,362
2309123479,MARCUS,BEATTY,Marcus Beatty,"Minnesota State University, Mankato",Northern Sun Intercollegiate Conference,II,04/01/2026,04/02/2026,Active,2025-26,Baseball,484,133533,3243890,Marcus Beatty,100.0,team+lastname,HIGH,LF,Jr,484
2409395485,PEYTON,ABLIN,Peyton Ablin,Augustana College (Illinois),College Conference of Illinois & Wisconsin,III,04/01/2026,04/02/2026,Active,2025-26,Baseball,46,127568,3231519,Peyton Ablin,100.0,team+lastname,HIGH,C,Fr,46
2407355991,PATRICK,ARNOLD,Patrick Arnold,Immaculata University,Atlantic East Conference|Atlantic East Conference,III,03/31/2026,04/01/2026,Active,2025-26,Baseball|Men's Tennis,348,118617,3109902,Patrick Arnold,100.0,team+lastname,HIGH,LF,So,348
2209674972,TREVOR,POLICASTRO,Trevor Policastro,Saint Elizabeth University,Atlantic East Conference,III,04/01/2026,04/01/2026,Active,2025-26,Baseball,666,73980,2955483,Trevor Policastro,100.0,team+lastname,HIGH,1B,Jr,666
2009915256,EDWARD,ALBERT,Edward Albert,Dartmouth College,The Ivy League,I,04/01/2026,04/01/2026,Active,2025-26,Baseball,196,52862,2798573,Eddie Albert,92.0,team+lastname,MEDIUM,P,Sr,196
2511759872,ENOCH,YI,Enoch Yi,Pomona-Pitzer Colleges,Southern California Intercollegiate Athletic Conf.,III,04/01/2026,04/01/2026,Active,2025-26,Baseball,618,135364,3244119,Enoch Yi,100.0,team+lastname,HIGH,P,Fr,618
2311162784,CUTTER,WOMACK,Cutter Womack,Tusculum University,South Atlantic Conference,II,04/01/2026,04/01/2026,Active,2025-26,Baseball,803,137566,3240779,Cutter Womack,100.0,team+lastname,HIGH,LF,Fr,803
2010949523,MAXWELL,ARLICH,Maxwell Arlich,Arizona State University,Big 12 Conference,I,12/01/2025,04/01/2026,Signed,2025-26,Baseball,32,122375,3116147,Max Arlich,82.0,team+lastname_diff_first+confirmed,HIGH,P,,32
2110339167,BLAKE,ALTHUISIUS,Blake Althuisius,Westminster College (Missouri),St. Louis Intercollegiate Athletic Conference,III,04/01/2026,04/01/2026,Active,2025-26,Baseball,898,116133,3101444,Blake Althuisius,100.0,team+lastname,HIGH,P,Jr,898
2101996488,BRANDON,METIVIER,Brandon Metivier,Bellarmine University,Atlantic Sun Conference,I,04/01/2026,04/01/2026,Active,2025-26,Baseball,64,104028,3106788,Brandon Metivier,100.0,team+lastname,HIGH,P,Sr,64
2310137683,BLAKE,COULTHARD,Blake Coulthard,Rhodes College,Southern Athletic Association,III,09/24/2025,03/31/2026,Active,2025-26,Baseball,642,131000,3239494,Blake Coulthard,100.0,human_override,HIGH,P,So,300
