ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,player_id_64a,player_id_ncaa_stats,matched_name,match_score,match_method,confidence,position,class_year,player_csv_team_id
2310132656,LAMAR,EDWARDS,Lamar Edwards,University of Virginia,Atlantic Coast Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,856,137929,3227276,LJ Edwards,78.3,team+lastname_diff_first,REVIEW,RF,Fr,856
2004839459,JACKSON,SMITH,Jackson Smith,Southern Illinois University at Carbondale,Missouri Valley Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,719,117137,3117797,Jack Smith,92.0,team+lastname,LOW,P,Sr,111
2412472967,JASON,HALL,Jason Hall,Saint Peter's University,Metro Atlantic Athletic Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,675,25958,2344947,Douglas Hall,36.4,team+lastname_diff_first,REVIEW,P,,675
2411465809,NICHOLAS,WEISS,Nicholas Weiss,Ohio University,Mid-American Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,573,134906,3240279,Nick Weiss,92.0,team+lastname,LOW,P,Fr,573
2109320357,MATTHEW,EVANS,Matthew Evans,Texas A&M University-Corpus Christi,Southland Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,1,67325,2971871,Matt Evans,92.0,team+lastname,LOW,LF,Jr,1
2206590211,MAXWELL,DONINGER,Maxwell Doninger,Saint Peter's University,Metro Atlantic Athletic Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,675,136841,3234579,Max Doninger,82.0,team+lastname_diff_first,REVIEW,SS,Fr,675
2101984964,TYSON,DALLEY,Tyson Dalley,Clemson University,Atlantic Coast Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,160,56728,2809599,Ty Dalley,82.0,team+lastname_diff_first,REVIEW,RF,Sr,160
2205568436,JOSEPH,SABBATH,Joseph Sabbath,University of Rhode Island,Atlantic 10 Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,640,71193,2949777,Joe Sabbath,92.0,team+lastname,LOW,P,Jr,640
2201425463,EDWARD,SIKES,Edward Sikes,Western Carolina University,Southern Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,891,69117,2966353,Yates Sikes,43.5,team+lastname_diff_first,REVIEW,CF,So,891
2210687701,JONATHAN,GILLIGAN,Jonathan Gilligan,Saint Peter's University,Metro Atlantic Athletic Conference,I,06/01/2026,06/01/2026,Active,2025-26,Baseball,675,70227,2969159,Johnny Gilligan,81.2,team+lastname_only,REVIEW,P,Jr,675
