ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,player_id_64a,player_id_ncaa_stats,matched_name,match_score,match_method,confidence,position,class_year,player_csv_team_id
2109326086,JOSEFINA,LACALLE,Josefina Lacalle,Alabama A&M University,Southwestern Athletic Conf.,I,06/29/2026,06/29/2026,Active,2025-26,Softball,1295,139831,3227548,Josefina Lacalle,100.0,team+lastname,HIGH,1B,Fr,1295
2410422938,OLIVIA,HURST,Olivia Hurst,Eureka College,St. Louis Intercollegiate Athletic Conference,III,06/29/2026,06/29/2026,Active,2025-26,Softball,1822,148307,3255866,Olivia Hurst,100.0,team+lastname,HIGH,3B,Fr,1822
2503538338,JENNA,JUMP,Jenna Jump,Dominican University New York,Central Atlantic Collegiate Conference|Central Atlantic Collegiate Conference,II,06/29/2026,06/29/2026,Active,2025-26,Women's Bowling|Softball,1560,148297,3255079,Jenna Jump,100.0,team+lastname,HIGH,P,Fr,1560
2207615017,LUCIA,MCLOGAN,Lucia Mclogan,Rollins College,Sunshine State Conference,II,05/12/2026,06/29/2026,Active,2025-26,Softball,1510,106875,3094748,Lucy McLogan,82.0,team+lastname_diff_first+confirmed,HIGH,UT,So,1510
2308977898,ANNIKA,SYLVER,Annika Sylver,Ashland University,Great Midwest Athletic Conference,II,06/29/2026,06/29/2026,Active,2025-26,Softball,1603,140035,3241906,Annika Sylver,100.0,team+lastname,HIGH,OF,Fr,1603
2207605392,JORDAN,KNOTT,Jordan Knott,Norfolk State University,Mid-Eastern Athletic Conf.,I,06/08/2026,06/29/2026,Active,2025-26,Softball,1372,122779,3091283,Jordan Knott,100.0,team+lastname,HIGH,SS,Jr,1372
2209667671,AVA,EMMERT,Ava Emmert,University of Kentucky,Southeastern Conference,I,06/08/2026,06/29/2026,Active,2025-26,Softball,1194,142549,3088394,Ava Emmert,100.0,team+fullname,HIGH,INF,So,1194
2506642578,KARMAN,ROWE,Karman Rowe,University of Central Missouri,Mid-America Intercollegiate Athletics Association,II,05/12/2026,06/29/2026,Active,2025-26,Softball,1628,124966,3112236,Karman Rowe,100.0,team+lastname,HIGH,P,So,1628
2409400006,DESTINY,PEREZ,Destiny Perez,New Mexico State University,Conference USA,I,06/08/2026,06/29/2026,Signed,2025-26,Softball,1142,143770,3238990,Destiny Perez,100.0,team+lastname,HIGH,P,Fr,1142
2005854638,HAILEY,CONGER,Hailey Conger,Butler University,BIG EAST Conference,I,10/30/2025,06/29/2026,Signed,2025-26,Softball,1214,86287,2800222,Hailey Conger,100.0,team+lastname,HIGH,RF,Sr,1214
