ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,player_id_64a,player_id_ncaa_stats,matched_name,match_score,match_method,confidence,position,class_year,player_csv_team_id,hitting_sum,pitching_sum,has_hitting,has_pitching,hitting_sum_f,pitching_sum_f,hitting_rank,pitching_rank,stat_percentile,twp,conf_adjust,hs_adjust,mlb_adjust,fielding_rank,prod_term,sixty_four_rating_portal_player,portal_rank
2001788595,ELORA,WILMOT,Elora Wilmot,Georgia College,Peach Belt Conference,II,09/04/2025,09/09/2025,Active,2025-26,Softball,1418,105504,3107008,Elora Wilmot,100.0,team+lastname,HIGH,P,Sr,1502,0.054771,0.234218,True,True,0.054771,0.234218,0.1665,0.2189,0.0,0.0,0.0,0.0,0.0,0.0,0.267563,0.0,0
2309121716,TIARA,STUECK,Tiara Stueck,University of North Carolina at Pembroke,Conference Carolinas,II,08/25/2025,09/11/2025,Matriculated,2025-26,Softball,1528,105806,3090467,Tiara Stueck,100.0,team+lastname,HIGH,1B,So,1531,0.844651,0.0,True,False,0.844651,0.0,0.7793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249788,0.0,0
2510754879,CHLOE,BAFUNDO,Chloe Bafundo,Rivier University,Great Northeast Athletic Conference,III,10/28/2025,10/28/2025,Active,2025-26,Softball,1874,150480,,Chloe Bafundo,100.0,team+lastname,HIGH,,,1874,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.055658,0.0,0.0,0.0,0.0,-0.0557,0
2510755520,JENNA,WISNIEWSKI,Jenna Wisniewski,Pfeiffer University,USA South Athletic Conference,III,10/29/2025,10/29/2025,Active,2025-26,Softball,1658,150479,,Jenna Wisniewski,100.0,team+lastname,HIGH,,,1658,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.067755,0.0,0.0,0.0,0.0,-0.0678,0
2001785039,ANNIKA,SMITH,Annika Smith,"Pennsylvania Western University, Clarion",Pennsylvania State Athletic Conference,II,10/02/2025,01/13/2026,Matriculated,2025-26,Softball,1496,80598,2804353,Annika Smith,100.0,team+lastname,HIGH,RF,Sr,1577,0.981627,0.0,True,False,0.981627,0.0,0.8165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13455,0.0,0
2009913960,RYLEIGH,PETERS,Ryleigh Peters,Northeastern State University,Mid-America Intercollegiate Athletics Association,II,11/03/2025,11/03/2025,Active,2025-26,Softball,1638,96878,2949466,Ryleigh Peters,100.0,team+lastname,HIGH,P,Jr,1629,0.0,0.790712,False,True,0.0,0.790712,0.0,0.6137,0.0,0.0,0.0,0.0,0.0,0.0,0.060225,0.0,0
2206578664,MADELYN,DENN,Madelyn Denn,University of Texas at Dallas,Lone Star Conference,II,12/03/2025,01/12/2026,Matriculated,2025-26,Softball,1854,108122,3093228,Madelyn Denn,100.0,team+lastname,HIGH,P,So,1748,0.321762,1.236221,True,True,0.321762,1.236221,0.5069,0.779,0.0,0.0,0.0,0.0,0.0,0.0,0.1998,0.0,0
2108303857,CAYDANCE,GADDIS,Caydance Gaddis,University of North Texas,American Conference,I,12/01/2025,01/10/2026,Active,2025-26,Softball,1273,106804,3086660,Caydance Gaddis,100.0,team+lastname,HIGH,P,So,1625,0.017274,1.487654,True,True,0.017274,1.487654,0.0703,0.8541,0.0,0.0,0.0,0.0,0.0,0.0,0.36935,0.0,0
2003830390,LACI,PESKEY,Laci Peskey,Black Hills State University,Rocky Mountain Athletic Conference,II,10/21/2025,02/21/2026,Matriculated,2025-26,Softball,1504,91169,2961388,Laci Peskey,100.0,team+lastname,HIGH,P,Jr,1392,0.385884,1.857577,True,True,0.385884,1.857577,0.561,0.9185,0.0,0.0,0.0,0.0,0.0,0.0,0.107437,0.0,0
2309109517,MICAIAH,COOPER,Micaiah Cooper,Winston-Salem State University,Central Intercollegiate Athletic Association,II,12/03/2025,01/09/2026,Active,2025-26,Softball,1458,108842,3114458,Micaiah Cooper,100.0,team+lastname,HIGH,SS,So,1388,0.461887,0.0,True,False,0.461887,0.0,0.6184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136838,0.0,0
