activity_date,activity_type,new_team_id,old_team_id,player_id
5/21/2026,Active,,874,138196
5/21/2026,Active,,678,135817
5/21/2026,Active,,696,116027
5/21/2026,Active,,583,149711
5/21/2026,Active,,360,131897
5/21/2026,Active,,825,121687
5/21/2026,Active,,528,120405
5/21/2026,Active,,678,103257
5/21/2026,Active,,678,67024
5/21/2026,Active,,253,76474
5/21/2026,Active,,214,129821
5/21/2026,Active,,1802,124460
5/21/2026,Active,,704,100596
5/21/2026,Active,,505,57291
5/21/2026,Active,,25,139602
5/21/2026,Active,,216,121529
5/21/2026,Active,,256,124859
5/21/2026,Active,,314,131192
5/21/2026,Active,,343,131698
5/21/2026,Active,,322,103349
5/21/2026,Active,,1573,140593
5/21/2026,Active,,1150,85687
5/21/2026,Active,,1836,145329
5/21/2026,Active,,1966,124087
