rank,team,dsr,record,conference,sport,date
1,"Georgia Tech",".697","47-9-0",".839",baseball,2026-05-24
2,"North Carolina",".687","45-10-1",".813",baseball,2026-05-24
3,"UCLA",".684","50-6-0",".893",baseball,2026-05-24
4,"Georgia",".675","45-12-0",".789",baseball,2026-05-24
5,"Auburn",".668","38-19-0",".667",baseball,2026-05-24
6,"Texas",".659","40-13-0",".755",baseball,2026-05-24
7,"Texas A&M",".653","39-14-0",".736",baseball,2026-05-24
8,"Florida",".646","39-19-0",".672",baseball,2026-05-24
9,"Kansas",".644","42-16-0",".724",baseball,2026-05-24
10,"West Virginia",".643","39-14-0",".736",baseball,2026-05-24
11,"Florida State",".639","38-17-0",".691",baseball,2026-05-24
12,"Mississippi State",".638","40-17-0",".702",baseball,2026-05-24
13,"Arkansas",".636","39-19-0",".672",baseball,2026-05-24
14,"Oregon State",".634","43-12-0",".782",baseball,2026-05-24
15,"Alabama",".628","37-19-0",".661",baseball,2026-05-24
16,"Wake Forest",".625","38-19-0",".667",baseball,2026-05-24
17,"Tennessee",".622","38-20-0",".655",baseball,2026-05-24
18,"Oregon",".621","40-15-0",".727",baseball,2026-05-24
19,"Ole Miss",".618","36-21-0",".632",baseball,2026-05-24
20,"Nebraska",".615","42-15-0",".737",baseball,2026-05-24
21,"Southern Miss",".611","42-15-0",".737",baseball,2026-05-24
22,"Oklahoma State",".609","37-20-0",".649",baseball,2026-05-24
23,"USC",".608","43-15-0",".741",baseball,2026-05-24
24,"Virginia Tech",".601","30-24-0",".556",baseball,2026-05-24
25,"Jacksonville State",".600","45-13-0",".776",baseball,2026-05-24
26,"Miami",".596","38-18-0",".679",baseball,2026-05-24
27,"Virginia",".595","36-21-0",".632",baseball,2026-05-24
28,"UCF",".593","31-21-0",".596",baseball,2026-05-24
29,"Coastal Carolina",".591","37-21-0",".638",baseball,2026-05-24
30,"Kentucky",".589","31-21-0",".596",baseball,2026-05-24
31,"Oklahoma",".589","32-21-0",".604",baseball,2026-05-24
32,"Arizona State",".587","37-19-0",".661",baseball,2026-05-24
33,"TCU",".586","33-21-0",".611",baseball,2026-05-24
34,"Liberty",".584","40-18-0",".690",baseball,2026-05-24
35,"East Carolina",".584","35-22-1",".612",baseball,2026-05-24
36,"UTSA",".582","38-19-0",".667",baseball,2026-05-24
37,"NC State",".581","32-22-0",".593",baseball,2026-05-24
38,"Vanderbilt",".579","33-25-0",".569",baseball,2026-05-24
39,"Cincinnati",".575","37-20-0",".649",baseball,2026-05-24
40,"Louisiana",".574","39-22-0",".639",baseball,2026-05-24
41,"Notre Dame",".573","31-22-0",".585",baseball,2026-05-24
42,"Clemson",".572","31-26-0",".544",baseball,2026-05-24
43,"UC Santa Barbara",".572","38-18-0",".679",baseball,2026-05-24
44,"Mercer",".570","44-15-0",".746",baseball,2026-05-24
45,"Boston College",".569","36-21-0",".632",baseball,2026-05-24
46,"Pittsburgh",".567","33-24-0",".579",baseball,2026-05-24
47,"Missouri State",".566","34-18-0",".654",baseball,2026-05-24
48,"Campbell",".566","41-16-0",".719",baseball,2026-05-24
49,"LSU",".566","30-28-0",".517",baseball,2026-05-24
50,"Troy",".563","32-28-0",".533",baseball,2026-05-24
51,"Louisville",".561","30-27-0",".526",baseball,2026-05-24
52,"Purdue",".560","36-20-0",".649",baseball,2026-05-24
53,"Stanford",".559","28-26-0",".519",baseball,2026-05-24
54,"The Citadel",".559","35-24-0",".593",baseball,2026-05-24
55,"Tarleton State",".558","37-19-0",".661",baseball,2026-05-24
56,"California",".557","29-26-0",".527",baseball,2026-05-24
57,"California Baptist",".557","44-15-0",".746",baseball,2026-05-24
58,"Lamar",".556","34-25-0",".576",baseball,2026-05-24
59,"Texas State",".553","36-24-0",".600",baseball,2026-05-24
60,"Samford",".553","31-25-0",".554",baseball,2026-05-24
61,"Duke",".549","26-31-0",".456",baseball,2026-05-24
