rank,team,dsr,record,conference,sport,date
1,"Alabama",".737","48-6-0",".889",softball,2026-05-09
2,"Nebraska",".730","44-6-0",".880",softball,2026-05-09
3,"Oklahoma",".728","48-8-0",".857",softball,2026-05-09
4,"Arkansas",".720","42-11-0",".792",softball,2026-05-09
5,"Texas",".719","40-10-0",".800",softball,2026-05-09
6,"Florida",".717","48-9-0",".842",softball,2026-05-09
7,"UCLA",".712","46-7-0",".868",softball,2026-05-09
8,"Tennessee",".706","42-10-0",".808",softball,2026-05-09
9,"Texas Tech",".702","50-5-0",".909",softball,2026-05-09
10,"Florida State",".686","47-8-0",".855",softball,2026-05-09
11,"Virginia Tech",".684","44-9-0",".830",softball,2026-05-09
12,"Georgia",".682","38-17-0",".691",softball,2026-05-09
13,"Oregon",".682","40-12-0",".769",softball,2026-05-09
14,"Duke",".675","39-13-0",".750",softball,2026-05-09
15,"Oklahoma State",".673","38-13-0",".745",softball,2026-05-09
16,"Texas A&M",".670","36-17-0",".679",softball,2026-05-09
17,"LSU",".665","37-17-0",".685",softball,2026-05-09
18,"Stanford",".662","37-12-0",".755",softball,2026-05-09
19,"Mississippi State",".644","38-18-0",".679",softball,2026-05-09
20,"Arizona",".634","35-16-0",".686",softball,2026-05-09
21,"Ole Miss",".634","34-24-0",".586",softball,2026-05-09
22,"UCF",".632","38-16-1",".700",softball,2026-05-09
23,"Virginia",".628","38-12-0",".760",softball,2026-05-09
24,"Louisville",".627","44-12-0",".786",softball,2026-05-09
25,"Indiana",".627","42-13-0",".764",softball,2026-05-09
26,"Grand Canyon",".625","49-7-0",".875",softball,2026-05-09
27,"Clemson",".625","32-20-0",".615",softball,2026-05-09
28,"Arizona State",".622","39-16-0",".709",softball,2026-05-09
29,"Kansas",".614","35-18-0",".660",softball,2026-05-09
30,"Washington",".610","36-18-0",".667",softball,2026-05-09
31,"South Carolina",".607","30-26-0",".536",softball,2026-05-09
32,"Jacksonville State",".606","43-13-0",".768",softball,2026-05-09
33,"Texas State",".604","37-19-0",".661",softball,2026-05-09
34,"Missouri",".604","28-29-0",".491",softball,2026-05-09
35,"Southeastern Louisiana",".602","46-14-0",".767",softball,2026-05-09
36,"Auburn",".593","27-28-0",".491",softball,2026-05-09
37,"Omaha",".591","35-11-0",".761",softball,2026-05-09
38,"USF",".589","40-15-0",".727",softball,2026-05-09
39,"Wisconsin",".586","32-18-0",".640",softball,2026-05-09
40,"Wichita State",".586","34-16-0",".680",softball,2026-05-09
41,"UL Monroe",".584","38-19-0",".667",softball,2026-05-09
42,"Northwestern",".584","29-21-0",".580",softball,2026-05-09
43,"Nevada",".584","38-18-0",".679",softball,2026-05-09
44,"Michigan",".583","34-20-0",".630",softball,2026-05-09
45,"Belmont",".578","38-11-0",".776",softball,2026-05-09
46,"Marshall",".577","37-17-0",".685",softball,2026-05-09
47,"Georgia Tech",".573","30-27-0",".526",softball,2026-05-09
48,"Cal State Fullerton",".572","38-13-0",".745",softball,2026-05-09
49,"North Carolina",".572","32-19-0",".627",softball,2026-05-09
50,"Utah",".570","35-20-1",".634",softball,2026-05-09
51,"Baylor",".570","28-26-0",".519",softball,2026-05-09
52,"Boston University",".570","44-13-0",".772",softball,2026-05-09
53,"Kentucky",".561","26-29-0",".473",softball,2026-05-09
54,"Purdue",".561","34-20-0",".630",softball,2026-05-09
55,"Western Kentucky",".560","38-13-0",".745",softball,2026-05-09
56,"Ohio State",".555","26-27-0",".491",softball,2026-05-09
57,"McNeese",".554","39-19-0",".672",softball,2026-05-09
58,"Florida Atlantic",".553","34-19-0",".642",softball,2026-05-09
59,"Liberty",".551","28-27-0",".509",softball,2026-05-09
60,"North Alabama",".549","36-16-0",".692",softball,2026-05-09
61,"Penn State",".548","33-21-0",".611",softball,2026-05-09
62,"Southern Illinois",".547","33-16-0",".673",softball,2026-05-09
63,"Louisiana",".547","29-27-0",".518",softball,2026-05-09
64,"South Alabama",".547","30-25-0",".545",softball,2026-05-09
65,"James Madison",".546","27-24-0",".529",softball,2026-05-09
66,"Iowa State",".546","32-23-0",".582",softball,2026-05-09
67,"Miami (OH)",".545","38-18-0",".679",softball,2026-05-09
68,"UNC Greensboro",".542","39-17-0",".696",softball,2026-05-09
69,"Saint Mary's (CA)",".539","38-14-0",".731",softball,2026-05-09
70,"Iowa",".534","27-27-0",".500",softball,2026-05-09
71,"Notre Dame",".533","25-28-0",".472",softball,2026-05-09
72,"NC State",".531","27-26-0",".509",softball,2026-05-09
73,"BYU",".529","18-33-0",".353",softball,2026-05-09
74,"Southern Miss",".528","33-24-0",".579",softball,2026-05-09
75,"UNLV",".527","31-21-0",".596",softball,2026-05-09
76,"Central Arkansas",".526","35-18-1",".657",softball,2026-05-09
77,"Troy",".525","32-22-0",".593",softball,2026-05-09
78,"Coastal Carolina",".522","26-30-0",".464",softball,2026-05-09
79,"Florida International",".521","34-18-0",".654",softball,2026-05-09
80,"Ohio",".520","37-19-0",".661",softball,2026-05-09
81,"Delaware",".520","31-24-0",".564",softball,2026-05-09
82,"Charlotte",".519","32-26-0",".552",softball,2026-05-09
83,"Louisiana Tech",".516","31-24-0",".564",softball,2026-05-09
84,"St. Thomas (MN)",".516","34-19-0",".642",softball,2026-05-09
85,"East Carolina",".515","33-24-0",".579",softball,2026-05-09
