rank,team,record,elo,delta,sport,date
1,"UCLA","37-3",1825.96,"",baseball,2026-04-24
2,"Georgia Tech","33-7",1778.37,"",baseball,2026-04-24
3,"North Carolina","35-7-1",1763.45,"",baseball,2026-04-24
4,"Texas A&M","31-7",1708.39,"+2",baseball,2026-04-24
5,"Kansas","30-11",1687.07,"+7",baseball,2026-04-24
6,"Texas","30-8",1686.03,"-2",baseball,2026-04-24
7,"Georgia","32-10",1681.14,"-2",baseball,2026-04-24
8,"Mississippi State","31-10",1652.64,"-1",baseball,2026-04-24
9,"Ole Miss","30-12",1652.33,"+1",baseball,2026-04-24
10,"Florida State","29-11",1648.79,"+1",baseball,2026-04-24
11,"Auburn","28-12",1639.70,"-2",baseball,2026-04-24
12,"Nebraska","31-10",1636.17,"+1",baseball,2026-04-24
13,"Jacksonville State","34-8",1622.79,"+9",baseball,2026-04-24
14,"Oregon State","30-9",1621.32,"-6",baseball,2026-04-24
15,"Alabama","29-14",1617.51,"-1",baseball,2026-04-24
16,"Arkansas","28-15",1615.85,"+1",baseball,2026-04-24
17,"Boston College","31-13",1610.45,"-1",baseball,2026-04-24
18,"Oklahoma","28-12",1605.83,"+2",baseball,2026-04-24
19,"Liberty","29-12",1593.73,"+7",baseball,2026-04-24
20,"Miami (FL)","30-11",1582.24,"+3",baseball,2026-04-24
21,"Wake Forest","28-14",1573.02,"+3",baseball,2026-04-24
22,"Florida","28-14",1568.93,"-7",baseball,2026-04-24
23,"Gonzaga","24-14",1568.56,"+17",baseball,2026-04-24
24,"TCU","25-15",1567.66,"+1",baseball,2026-04-24
25,"Tennessee","27-15",1567.37,"-6",baseball,2026-04-24
26,"Virginia","29-13",1560.28,"+5",baseball,2026-04-24
27,"Vanderbilt","25-17",1559.84,"+6",baseball,2026-04-24
28,"UC Santa Barbara","26-12",1559.41,"",baseball,2026-04-24
29,"Oregon","29-11",1558.08,"+3",baseball,2026-04-24
30,"North Carolina State","26-14",1553.66,"-3",baseball,2026-04-24
31,"Coastal Carolina","28-12",1548.41,"-13",baseball,2026-04-24
32,"West Virginia","27-10",1547.50,"-11",baseball,2026-04-24
