rank,team,record,elo,delta,sport,date
1,Nebraska,46-6,1872.28,176.19,softball,2026-05-12
2,Alabama,49-7,1852.29,152.29,softball,2026-05-12
3,Texas Tech,52-6,1839.46,142.07,softball,2026-05-12
4,Florida St.,49-8,1836.73,149.76,softball,2026-05-12
5,Oklahoma,48-8,1836.15,137.46,softball,2026-05-12
6,Texas,42-10,1833.62,138.83,softball,2026-05-12
7,UCLA,47-8,1829.47,145.1,softball,2026-05-12
8,Arkansas,42-11,1821.04,130.16,softball,2026-05-12
9,Florida,48-10,1820.74,127.26,softball,2026-05-12
10,Virginia Tech,46-10,1812.38,126.71,softball,2026-05-12
11,Tennessee,42-10,1804.61,112.43,softball,2026-05-12
12,Georgia,38-18,1792.22,110.46,softball,2026-05-12
13,Oregon,40-12,1789.54,99.96,softball,2026-05-12
14,Duke,39-14,1780.63,109.29,softball,2026-05-12
15,Texas A&M,36-17,1770.03,81.75,softball,2026-05-12
16,LSU,37-17,1763.8,87.25,softball,2026-05-12
17,Stanford,37-13,1763.4,84.25,softball,2026-05-12
18,Grand Canyon,52-8,1760.54,82.69,softball,2026-05-12
19,Arizona St.,41-16,1759.71,76.65,softball,2026-05-12
20,Oklahoma St.,38-15,1755.73,75.28,softball,2026-05-12
21,Indiana,42-14,1749.01,78.98,softball,2026-05-12
22,Southeastern La.,46-14,1748.94,73.69,softball,2026-05-12
23,UCF,38-16,1735.62,66.89,softball,2026-05-12
24,Louisville,44-12,1735.56,69.44,softball,2026-05-12
25,Mississippi St.,38-18,1730.5,56.56,softball,2026-05-12
26,Jacksonville St.,45-14,1729.17,87.8,softball,2026-05-12
27,Texas St.,38-20,1726.23,58.8,softball,2026-05-12
28,Arizona,35-16,1719.74,69.25,softball,2026-05-12
29,Virginia,38-13,1715.91,43.28,softball,2026-05-12
30,Ole Miss,34-24,1713.86,50.34,softball,2026-05-12
31,South Fla.,42-15,1711.4,59.61,softball,2026-05-12
32,Omaha,37-12,1711.11,54.1,softball,2026-05-12
33,Belmont,40-11,1710.58,49.67,softball,2026-05-12
34,Washington,36-18,1707.85,43.03,softball,2026-05-12
35,Clemson,32-20,1703.2,44.89,softball,2026-05-12
36,Kansas,35-19,1699.29,39.68,softball,2026-05-12
37,Boston U.,46-13,1695.95,49.37,softball,2026-05-12
38,Marshall,37-17,1690.74,28.52,softball,2026-05-12
39,Wichita St.,35-17,1690.24,41.06,softball,2026-05-12
40,Cal St. Fullerton,40-13,1686.41,38.53,softball,2026-05-12
41,ULM,38-20,1685.27,45.21,softball,2026-05-12
42,Nevada,39-20,1684.18,41.51,softball,2026-05-12
43,UNC Greensboro,42-17,1683.84,45.08,softball,2026-05-12
44,South Carolina,30-26,1679.99,25.6,softball,2026-05-12
45,Northwestern,29-21,1672.82,17.12,softball,2026-05-12
46,Michigan,34-20,1670.74,33.28,softball,2026-05-12
47,Western Ky.,39-14,1670.61,26.64,softball,2026-05-12
48,Utah,35-20,1668.41,15.32,softball,2026-05-12
49,Georgia Tech,30-27,1667.21,21.93,softball,2026-05-12
50,Wisconsin,32-19,1666.58,30.43,softball,2026-05-12
51,Saint Mary's (CA),40-14,1664.66,46.74,softball,2026-05-12
52,Purdue,34-20,1663.56,30.01,softball,2026-05-12
53,McNeese,40-20,1660.65,36.23,softball,2026-05-12
54,Fla. Atlantic,34-20,1655.82,24.88,softball,2026-05-12
55,Stetson,36-20,1652.8,20.55,softball,2026-05-12
56,South Alabama,32-25,1651.61,23.27,softball,2026-05-12
57,North Carolina,32-19,1649.42,19.78,softball,2026-05-12
58,Penn St.,33-21,1646.95,19.91,softball,2026-05-12
59,North Ala.,36-16,1644.74,21.62,softball,2026-05-12
60,Auburn,27-28,1642.47,7.62,softball,2026-05-12
61,Missouri,28-29,1639.59,19.07,softball,2026-05-12
62,California Baptist,43-17,1637.84,25.14,softball,2026-05-12
63,Iowa St.,32-23,1636.7,27.9,softball,2026-05-12
64,Princeton,33-13,1636.33,21.02,softball,2026-05-12
65,Central Ark.,36-20,1635.65,9.91,softball,2026-05-12
66,FIU,34-18,1627.44,17.34,softball,2026-05-12
67,St. Thomas (MN),34-19,1626.2,9.59,softball,2026-05-12
68,Southern Ill.,34-17,1624.26,2.44,softball,2026-05-12
69,James Madison,27-24,1622.48,11.08,softball,2026-05-12
70,Troy,32-22,1618.22,13.33,softball,2026-05-12
71,Miami (OH),38-18,1617.44,-1.78,softball,2026-05-12
72,Southern Miss.,33-24,1617.24,17.56,softball,2026-05-12
73,Ohio,38-20,1616.51,27.26,softball,2026-05-12
74,Baylor,28-26,1616.12,13.84,softball,2026-05-12
75,Idaho St.,37-18,1614.35,34.22,softball,2026-05-12
