rank,team,conference,record,rating,sport,date
1,"Georgia Tech","Atlantic Coast","46-9","19.12",baseball,2026-05-23
2,"UCLA","Big 10","48-6","29.11",baseball,2026-05-23
3,"Georgia","Southeastern","44-12","39.02",baseball,2026-05-23
4,"North Carolina","Atlantic Coast","43-10-1","48.95",baseball,2026-05-23
5,"Texas","Southeastern","40-12","58.95",baseball,2026-05-23
6,"Texas A&M","Southeastern","39-13","68.94",baseball,2026-05-23
7,"Mississippi St","Southeastern","40-17","78.88",baseball,2026-05-23
8,"Auburn","Southeastern","37-18","88.86",baseball,2026-05-23
9,"Florida","Southeastern","39-18","98.84",baseball,2026-05-23
10,"Florida St","Atlantic Coast","38-16","108.78",baseball,2026-05-23
11,"West Virginia","Big 12","38-13","118.78",baseball,2026-05-23
12,"Nebraska","Big 10","41-14","128.75",baseball,2026-05-23
13,"Alabama","Southeastern","37-19","138.75",baseball,2026-05-23
14,"Arkansas","Southeastern","37-19","148.73",baseball,2026-05-23
15,"Mississippi","Southeastern","36-21","158.73",baseball,2026-05-23
16,"Oregon St","D1 Independent","43-12","168.71",baseball,2026-05-23
17,"Tennessee","Southeastern","38-20","178.71",baseball,2026-05-23
18,"Kansas","Big 12","40-16","188.71",baseball,2026-05-23
19,"USC","Big 10","42-14","198.70",baseball,2026-05-23
20,"Oklahoma","Southeastern","32-21","208.69",baseball,2026-05-23
21,"Wake Forest","Atlantic Coast","37-19","218.68",baseball,2026-05-23
22,"Arizona St","Big 12","37-18","228.66",baseball,2026-05-23
23,"Oklahoma St","Big 12","37-19","238.66",baseball,2026-05-23
24,"Oregon","Big 10","38-15","248.65",baseball,2026-05-23
25,"Miami FL","Atlantic Coast","38-18","258.64",baseball,2026-05-23
26,"Southern Miss","Sun Belt","41-14","268.63",baseball,2026-05-23
27,"Kentucky","Southeastern","31-21","278.59",baseball,2026-05-23
28,"Vanderbilt","Southeastern","33-24","288.58",baseball,2026-05-23
29,"TCU","Big 12","33-21","298.57",baseball,2026-05-23
30,"Cincinnati","Big 12","37-20","308.57",baseball,2026-05-23
31,"Jacksonville St","Conference USA","43-14","318.55",baseball,2026-05-23
32,"Virginia","Atlantic Coast","36-21","328.55",baseball,2026-05-23
33,"UCF","Big 12","31-21","338.53",baseball,2026-05-23
34,"UC Santa Barbara","Big West","38-16","348.53",baseball,2026-05-23
35,"NC State","Atlantic Coast","32-22","358.51",baseball,2026-05-23
36,"LSU","Southeastern","30-28","368.51",baseball,2026-05-23
37,"Coastal Car","Sun Belt","37-20","378.50",baseball,2026-05-23
38,"Notre Dame","Atlantic Coast","31-22","388.47",baseball,2026-05-23
39,"Boston College","Atlantic Coast","36-21","398.47",baseball,2026-05-23
40,"Liberty","Conference USA","39-19","408.47",baseball,2026-05-23
41,"UT San Antonio","American Athletic","36-19","418.46",baseball,2026-05-23
42,"Pittsburgh","Atlantic Coast","32-23","428.45",baseball,2026-05-23
43,"Clemson","Atlantic Coast","31-26","438.45",baseball,2026-05-23
