external_name,our_name
Abilene Chr,Abilene Christian
Alabama St,Alabama St.
Alabama State,Alabama St.
Albany,UAlbany
Alcorn St,Alcorn
Alcorn State,Alcorn
Appalachian St,App State
Appalachian State,App State
Arizona St,Arizona St.
Arizona State,Arizona St.
Ark Little Rock,Little Rock
Ark Pine Bluff,Ark.-Pine Bluff
Arkansas St,Arkansas St.
Arkansas State,Arkansas St.
Arkansas-Pine Bluff,Ark.-Pine Bluff
Army,Army West Point
Ball St,Ball St.
Ball State,Ball St.
Boise St,Boise St.
Boise State,Boise St.
Boston Univ,Boston U.
Boston University,Boston U.
C Michigan,Central Mich.
CS Bakersfield,Cal St. Bakersfield
CS Fullerton,Cal St. Fullerton
CS Northridge,CSUN
CS Sacramento,Sacramento St.
Cal Baptist,California Baptist
Cal State Fullerton,Cal St. Fullerton
Cal State Northridge,CSUN
Cent Arkansas,Central Ark.
Central Arkansas,Central Ark.
Central Conn,Central Conn. St.
Central Connecticut,Central Conn. St.
Central Michigan,Central Mich.
Charleston So,Charleston So.
Charleston Southern,Charleston So.
Citadel,The Citadel
Coastal Car,Coastal Carolina
Col Charleston,Col. of Charleston
College of Charleston,Charleston
Colorado St,Colorado St.
Colorado State,Colorado St.
Connecticut,UConn
Coppin St,Coppin St.
Coppin State,Coppin St.
Dallas Bap,DBU
Dallas Baptist,DBU
Delaware St,Delaware St.
Delaware State,Delaware St.
Detroit,Detroit Mercy
E Illinois,Eastern Ill.
E Kentucky,Eastern Ky.
E Michigan,Eastern Mich.
E Tennessee St,ETSU
East Tennessee State,ETSU
Eastern Illinois,Eastern Ill.
Eastern Kentucky,Eastern Ky.
Eastern Michigan,Eastern Mich.
F Dickinson,FDU
FL Atlantic,FAU
FL Gulf Coast,FGCU
FL International,FIU
Fairleigh Dickinson,FDU
Florida Atlantic,FAU
Florida Gulf Coast,FGCU
Florida International,FIU
Florida Intl,FIU
Florida St,Florida St.
Florida State,Florida St.
Fresno St,Fresno St.
Fresno State,Fresno St.
G Washington,George Washington
GA Tech,Georgia Tech
Ga Southern,Georgia Southern
Gardner Webb,Gardner-Webb
Georgia Southern,Ga. Southern
Georgia St,Georgia St.
Georgia State,Georgia St.
Grambling,Grambling St.
Houston Chr,Houston Christian
IL Chicago,UIC
IL St,Illinois St.
