team_id,team_name,sport,year,conference,multi_bid_conf,committee_seed,regional_role,rpi_rank,massey_rank,dsr_rank,sixty_four_rank,dev_vs_rpi,dev_vs_massey,dev_vs_dsr,dev_vs_64a
1308,Alabama,softball,2026,Southeastern Conference,TRUE,1,1,2,5,2,2,-1,-4,-1,-1
1085,Texas,softball,2026,Southeastern Conference,TRUE,2,1,4,2,3,6,-2,0,-1,-4
1086,Oklahoma,softball,2026,Southeastern Conference,TRUE,3,1,6,1,4,5,-3,2,-1,-2
1146,Nebraska,softball,2026,Big Ten,TRUE,4,1,3,4,1,1,1,0,3,3
1195,Arkansas,softball,2026,Southeastern Conference,TRUE,5,1,1,6,5,9,4,-1,0,-4
1095,Florida,softball,2026,Southeastern Conference,TRUE,6,1,5,8,6,8,1,-2,0,-2
1161,Tennessee,softball,2026,Southeastern Conference,TRUE,7,1,8,9,8,11,-1,-2,-1,-4
1104,UCLA,softball,2026,Big Ten,TRUE,8,1,7,3,7,7,1,5,1,1
1094,Florida St.,softball,2026,Atlantic Coast Conference,TRUE,9,1,10,,,4,-1,,,5
1151,Georgia,softball,2026,Southeastern Conference,TRUE,10,1,11,12,13,12,-1,-2,-3,-2
1113,Texas Tech,softball,2026,Big 12,TRUE,11,1,14,7,9,3,-3,4,2,8
1098,Duke,softball,2026,Atlantic Coast Conference,TRUE,12,1,12,15,14,14,0,-3,-2,-2
1119,Oklahoma St.,softball,2026,Big 12,TRUE,13,1,15,,,20,-2,,,-7
1117,Oregon,softball,2026,Big Ten,TRUE,14,1,9,16,12,13,5,-2,2,1
1120,Texas A&M,softball,2026,Southeastern Conference,TRUE,15,1,17,11,15,15,-2,4,0,0
1159,LSU,softball,2026,Southeastern Conference,TRUE,16,1,13,13,17,16,3,3,-1,0
1089,Virginia Tech,softball,2026,Atlantic Coast Conference,TRUE,17,2,18,14,11,10,-1,3,6,7
1191,Arizona St.,softball,2026,Big 12,TRUE,18,2,21,,,19,-3,,,-1
1138,Mississippi St.,softball,2026,Southeastern Conference,TRUE,19,2,19,,,25,0,,,-6
1221,Stanford,softball,2026,Atlantic Coast Conference,TRUE,20,2,16,19,18,17,4,1,2,3
1096,Arizona,softball,2026,Big 12,TRUE,21,2,20,18,21,28,1,3,0,-7
1243,Ole Miss,softball,2026,Southeastern Conference,TRUE,22,2,22,,22,30,0,,0,-8
1144,Clemson,softball,2026,Atlantic Coast Conference,TRUE,23,2,24,28,27,35,-1,-5,-4,-12
1130,UCF,softball,2026,Big 12,TRUE,24,2,23,24,23,24,1,0,1,0
1340,South Carolina,softball,2026,Southeastern Conference,TRUE,25,2,25,21,31,44,0,4,-6,-19
1321,Virginia,softball,2026,Atlantic Coast Conference,TRUE,26,2,26,27,26,29,0,-1,0,-3
1154,Texas St.,softball,2026,Sun Belt,TRUE,27,2,31,,,27,-4,,,0
1101,Washington,softball,2026,Big Ten,TRUE,28,2,30,23,29,34,-2,5,-1,-6
1208,Louisville,softball,2026,Atlantic Coast Conference,TRUE,29,2,29,29,24,23,0,0,5,6
1206,Kansas,softball,2026,Big 12,TRUE,30,2,39,33,30,36,-9,-3,0,-6
1262,Wisconsin,softball,2026,Big Ten,TRUE,31,2,34,40,42,50,-3,-9,-11,-19
1090,Southeastern La.,softball,2026,Southland,TRUE,32,2,37,,,22,-5,,,10
1092,Grand Canyon,softball,2026,Mountain West,FALSE,33,3,27,26,25,18,6,7,8,15
1106,Marshall,softball,2026,Sun Belt,TRUE,34,3,28,51,46,38,6,-17,-12,-4
1304,South Fla.,softball,2026,American Athletic Conference,FALSE,35,3,32,,,33,3,,,2
1274,Jacksonville St.,softball,2026,Conference USA,FALSE,36,3,35,,,26,1,,,10
1112,Indiana,softball,2026,Big Ten,TRUE,37,3,36,30,28,21,1,7,9,16
1269,Belmont,softball,2026,Missouri Valley Conference,FALSE,38,3,38,61,40,31,0,-23,-2,7
1222,Michigan,softball,2026,Big Ten,TRUE,39,3,40,34,43,47,-1,5,-4,-8
1170,Baylor,softball,2026,Big 12,TRUE,40,3,41,38,52,74,-1,2,-12,-34
1229,McNeese,softball,2026,Southland,TRUE,41,3,44,57,59,53,-3,-16,-18,-12
1116,Georgia Tech,softball,2026,Atlantic Coast Conference,TRUE,42,3,45,43,49,49,-3,-1,-7,-7
1316,South Alabama,softball,2026,Sun Belt,TRUE,43,3,47,59,56,56,-4,-16,-13,-13
