team,conf,rpi_rank,rpi_value,wl,noncon_record,conf_record,road_wl,q1,q2,q3,q4,vs_top_100,vs_below_150,sos_rank,ncsos_rank,ncsos_value,dsr
Arkansas,SEC,1,0.69951,41-10,26-1,15-9,11-6,11-8,13-2,9-0,8-0,33-10,2-0,1,18,0.59495,4
Alabama,SEC,2,0.69541,47-6,28-1,19-5,14-4,13-4,16-1,8-1,10-0,37-6,6-0,22,43,0.56368,2
Nebraska,Big Ten,3,0.69105,43-6,19-4,24-2,17-1,9-5,10-1,9-0,15-0,28-6,7-0,19,2,0.63920,3
Texas,SEC,4,0.69042,39-10,23-2,16-8,14-3,17-10,9-0,3-0,10-0,29-10,5-0,4,33,0.57082,6
Florida,SEC,5,0.68641,47-9,30-2,17-7,13-5,12-8,16-1,7-0,12-0,35-9,8-0,13,13,0.60020,5
Oklahoma,SEC,6,0.67694,48-7,28-3,20-4,16-4,18-6,8-0,7-0,15-1,33-6,9-0,28,115,0.52000,1
UCLA,Big Ten,7,0.67186,45-7,25-3,20-4,12-2,7-7,11-0,9-0,18-0,27-7,12-0,27,50,0.55843,8
Tennessee,SEC,8,0.66920,42-9,26-1,16-8,10-5,15-8,6-1,10-0,11-0,31-9,7-0,23,76,0.54270,7
Oregon,Big Ten,9,0.66326,40-11,19-7,21-4,11-4,5-4,10-4,16-3,9-0,31-11,3-0,9,5,0.61839,10
Duke,ACC,10,0.65587,38-13,18-9,20-4,15-1,12-8,9-2,5-3,12-0,26-13,7-0,18,7,0.61385,15
LSU,SEC,11,0.65430,37-16,24-5,13-11,8-7,11-15,7-1,11-0,8-0,29-16,6-0,8,16,0.59877,14
Texas Tech,Big 12,12,0.65226,50-5,29-2,21-3,19-2,10-2,5-2,16-1,19-0,31-5,11-0,60,155,0.50298,9
Florida St.,ACC,13,0.65162,46-8,25-5,21-3,13-4,5-8,8-0,16-0,17-0,29-8,8-0,51,14,0.59982,11
Oklahoma St.,Big 12,14,0.65021,37-14,21-6,16-8,13-5,10-10,7-1,7-3,13-0,24-14,8-0,17,15,0.59895,16
Georgia,SEC,15,0.64984,36-17,24-5,12-12,6-7,10-15,8-2,7-0,11-0,25-17,9-0,5,35,0.56859,17
Texas A&M,SEC,16,0.64668,36-16,20-8,16-8,8-6,14-14,6-1,7-1,9-0,27-16,5-0,7,20,0.58497,13
Stanford,ACC,17,0.64107,36-12,17-6,19-6,9-4,7-4,6-4,8-3,15-1,21-11,6-0,24,17,0.59506,18
Mississippi St.,SEC,18,0.63859,37-17,28-2,9-15,9-10,10-16,3-1,9-0,15-0,22-17,6-0,12,68,0.54628,19
Arizona,Big 12,19,0.63273,35-15,19-7,16-8,8-9,7-11,4-0,11-4,13-0,22-15,7-0,16,8,0.60943,20
Virginia Tech,ACC,20,0.63241,44-9,26-3,18-6,20-4,7-3,9-3,7-2,21-1,23-8,13-1,76,162,0.50094,12
UCF,Big 12,21,0.62968,38-15-1,24-6,14-9-1,10-4,5-10,5-3,17-2-1,11-0,27-15-1,8-0,20,39,0.56595,21
Ole Miss,SEC,22,0.62869,32-23,26-5,6-18,9-10,4-17,7-2,11-2,10-2,22-21,8-0,3,29,0.57671,25
Clemson,ACC,23,0.62525,32-19,19-8,13-11,9-8,6-10,10-4,6-3,10-2,22-17,5-1,10,59,0.55391,22
Arizona St.,Big 12,24,0.61966,38-16,27-3,11-13,13-4,4-9,9-3,11-4,14-0,24-16,11-0,38,100,0.52900,28
South Carolina,SEC,25,0.61677,30-25,23-8,7-17,8-8,6-23,5-1,6-0,13-1,17-24,8-0,2,26,0.57856,30
Virginia,ACC,26,0.61233,37-12,24-2,13-10,10-7,2-9,6-2,11-1,18-0,19-12,9-0,61,196,0.48565,24
Marshall,Sun Belt,27,0.60731,37-16,20-9,17-7,13-10,0-4,2-2,24-9,11-1,26-15,6-1,37,6,0.61612,40
Washington,Big Ten,28,0.60506,35-17,18-8,17-9,15-6,2-12,7-0,9-4,17-1,18-16,7-0,33,56,0.55464,29
Louisville,ACC,29,0.60303,43-11,25-5,18-6,12-8,3-4,6-1,8-4,26-2,17-9,14-1,102,144,0.50717,23
Grand Canyon,Mountain West,30,0.60267,48-7,27-3,21-4,14-2,0-3,2-0,9-3,37-1,11-6,24-0,128,154,0.50314,26
Texas St.,Sun Belt,31,0.59898,36-19,20-11,16-8,10-6,3-4,6-6,16-7,11-2,25-17,8-1,43,57,0.55460,35
Auburn,SEC,32,0.59163,25-27,21-7,4-20,2-13,4-19,3-5,8-2,10-1,15-26,6-0,6,27,0.57708,41
Southeastern La.,Southland,33,0.59043,46-14,20-9,26-5,18-7,1-3,5-2,8-5,32-4,14-10,22-0,98,46,0.56169,34
South Fla.,American,34,0.59039,40-15,19-9,21-6,11-8,0-4,2-3,11-4,27-4,13-11,13-0,65,25,0.57931,38
Wisconsin,Big Ten,35,0.58882,30-18,16-7,14-11,10-8,0-7,4-5,8-6,18-0,12-18,4-0,29,41,0.56430,46
Missouri,SEC,36,0.58712,28-28,19-13,9-15,10-10,7-18,4-3,6-7,11-0,17-28,9-0,15,91,0.53385,31
Indiana,Big Ten,37,0.58672,41-13,23-5,18-8,11-9,0-5,6-3,9-4,26-1,15-12,18-0,104,176,0.49545,27
Jacksonville St.,CUSA,38,0.58616,42-13,18-10,24-3,19-7,0-3,2-2,19-3,21-5,21-8,14-2,114,164,0.50064,33
Baylor,Big 12,39,0.58600,28-25,18-11,10-14,8-13,3-15,3-4,11-4,11-2,17-23,6-0,14,28,0.57683,48
Michigan,Big Ten,40,0.58444,33-19,22-6,11-13,12-10,1-6,8-11,5-2,19-0,14-19,15-0,49,141,0.50897,43
Kansas,Big 12,41,0.58351,34-18,20-8,14-10,9-9,4-7,4-4,11-5,15-2,19-16,11-2,66,147,0.50661,32
Belmont,MVC,42,0.58193,37-11,16-6,21-5,14-5,2-3,0-0,6-2,29-6,8-5,20-3,115,60,0.55210,45
Georgia Tech,ACC,43,0.58018,29-26,19-12,10-14,5-12,3-15,5-5,7-4,14-2,15-24,14-1,21,62,0.55091,50
ULM,Sun Belt,44,0.57984,37-19,18-14,19-5,11-12,0-4,1-7,18-7,18-1,19-18,13-0,50,47,0.56153,42
Omaha,Summit League,45,0.57981,34-10,19-8,15-2,10-7,0-5,0-1,6-3,28-1,6-9,20-1,124,116,0.51969,36
Northwestern,Big Ten,46,0.57923,29-20,12-12,17-8,11-9,1-11,6-6,5-1,17-2,12-18,13-1,42,12,0.60023,37
Purdue,Big Ten,47,0.57794,34-19,23-6,11-13,10-11,1-4,2-12,16-1,15-2,19-17,12-2,54,131,0.51324,53
North Carolina,ACC,48,0.57791,31-18,22-3,9-15,8-7,1-14,1-2,10-0,19-2,12-16,13-1,46,136,0.51194,51
McNeese,Southland,49,0.57632,38-19,17-10,21-9,12-9,1-5,6-4,9-2,22-8,16-11,10-4,109,64,0.55040,60
Kentucky,SEC,50,0.57565,26-28,25-5,1-23,9-13,1-23,2-3,3-1,20-1,6-27,13-0,11,113,0.52036,55
Wichita St.,American,51,0.57378,35-16,14-10,21-6,12-9,1-4,2-7,6-4,26-1,9-15,11-0,86,83,0.53805,39
Louisiana,Sun Belt,52,0.56955,28-26,17-13,11-13,3-17,2-7,7-8,8-10,11-1,17-25,8-1,35,30,0.57403,63
South Alabama,Sun Belt,53,0.56926,29-25,16-14,13-11,5-13,0-7,5-10,13-5,11-3,18-22,6-1,31,24,0.58018,68
Nevada,Mountain West,54,0.56786,36-18,20-9,16-9,16-10,1-6,3-2,4-4,28-6,8-12,21-3,85,81,0.53974,44
FIU,CUSA,55,0.56619,34-17,18-6,16-11,6-8,0-2,5-4,7-7,22-4,12-13,17-1,101,38,0.56601,78
Cal St. Fullerton,Big West,56,0.56496,37-13,13-10,24-3,14-4,2-7,1-1,3-0,31-5,6-8,21-2,156,32,0.57105,49
Boston U.,Patriot,57,0.56322,43-13,27-11,16-2,13-6,2-3,2-4,2-2,37-4,6-9,32-2,181,130,0.51392,52
Iowa St.,Big 12,58,0.56278,32-23,23-8,9-15,10-12,3-9,1-10,8-2,20-2,12-21,10-0,56,156,0.50280,64
Fla. Atlantic,American,59,0.56141,33-19,19-6,14-13,8-11,0-4,3-4,9-5,21-6,12-13,11-1,90,82,0.53969,61
Iowa,Big Ten,60,0.56136,27-27,20-10,7-17,9-12,0-8,3-10,7-4,17-5,10-22,5-2,30,23,0.58109,71
Saint Mary's (CA),WCC,61,0.56060,38-13,25-11,13-2,10-8,1-3,2-1,2-2,33-7,5-6,28-4,191,195,0.48715,65
Central Ark.,ASUN,62,0.55754,34-18-1,18-12,16-6-1,9-10-1,0-5,3-1,4-6,27-6-1,7-12,19-3-1,97,79,0.54042,79
Utah,Big 12,63,0.55746,35-19-1,25-6,10-13-1,11-6-1,6-9-1,2-4,3-2,24-4,11-15-1,19-2,84,285,0.42147,47
NC State,ACC,64,0.55699,27-25,20-9,7-16,3-11,0-13,2-8,5-2,20-2,7-23,10-0,39,75,0.54282,73
North Ala.,ASUN,65,0.55500,35-14,17-7,18-7,8-10,0-3,1-1,4-5,30-5,5-9,22-4,135,108,0.52403,58
Charlotte,American,66,0.55448,31-25,17-12,14-13,9-11,2-4,0-7,6-10,23-4,8-21,10-0,59,22,0.58255,81
Western Ky.,CUSA,67,0.55342,37-12,18-4,19-8,7-9,0-0,0-4,8-5,29-3,8-9,20-1,200,222,0.47432,54
Ohio St.,Big Ten,68,0.55161,26-26,12-13,14-13,4-15,1-6,4-11,4-5,17-4,9-22,8-0,36,21,0.58458,56
UNC Greensboro,SoCon,69,0.55102,39-17,22-13,17-4,12-7,0-0,0-2,6-7,33-8,6-9,24-4,125,125,0.51622,67
Southern Miss.,Sun Belt,70,0.55085,33-23,19-13,14-10,8-14,0-2,1-8,16-10,16-3,17-20,13-0,62,112,0.52143,72
Southern Ill.,MVC,71,0.55001,33-15,12-9,21-6,12-5,0-2,1-4,2-0,30-9,3-6,21-1,138,121,0.51752,59
Miami (OH),MAC,72,0.54797,38-16,19-8,19-8,16-8,0-1,2-4,4-4,32-7,6-9,20-5,188,236,0.46499,57
Louisiana Tech,CUSA,73,0.54736,29-23,14-11,15-12,7-12,0-3,2-4,9-10,18-6,11-17,11-2,74,54,0.55630,84
Liberty,CUSA,74,0.54673,26-27,8-18,18-9,15-6,1-8,1-8,7-6,17-5,9-22,10-0,45,4,0.62164,69
Penn St.,Big Ten,75,0.54644,32-20,21-7,11-13,11-8,1-9,2-6,9-3,20-2,12-18,15-0,134,264,0.44141,66
St. Thomas (MN),Summit League,76,0.54396,34-17,22-12,12-5,16-8,0-2,3-4,4-5,27-6,7-11,20-5,140,174,0.49641,77
North Florida,ASUN,77,0.54202,36-20,25-7,11-13,4-12,0-4,2-1,8-8,26-7,10-13,23-4,139,104,0.52616,99
James Madison,Sun Belt,78,0.54184,27-23,14-12,13-11,9-9,0-4,3-3,10-13,14-3,13-20,13-3,70,78,0.54125,62
Stetson,ASUN,79,0.54165,33-20,15-14,18-6,7-13,0-5,0-4,7-4,26-7,7-13,18-3,113,53,0.55688,88
Troy,Sun Belt,80,0.54023,32-21,22-7,10-14,12-10,0-1,4-7,9-9,19-4,13-17,15-1,152,244,0.45703,75
Rutgers,Big Ten,81,0.53952,27-27,21-9,6-18,8-12,0-11,2-8,2-5,23-3,4-24,17-1,47,132,0.51253,86
East Carolina,American,82,0.53825,32-24,16-13,16-11,9-9,1-2,2-4,9-8,20-10,12-14,10-2,94,110,0.52288,85
Jacksonville,ASUN,83,0.53760,32-19,16-11,16-8,8-8,0-3,0-1,7-9,25-6,7-13,21-3,125,65,0.55003,97
App State,Sun Belt,84,0.53758,29-21,21-5,8-16,6-14,0-2,1-9,10-9,18-1,11-20,18-1,92,187,0.49065,101
UNLV,Mountain West,85,0.53398,31-20,13-13,18-7,9-6,0-1,1-4,5-3,25-12,6-8,14-9,107,161,0.50098,74
Samford,SoCon,86,0.53386,26-29,12-22,14-7,11-14,1-8,0-4,1-9,24-8,2-21,18-2,44,9,0.60831,96
Ga. Southern,Sun Belt,87,0.53372,24-28,13-15,11-13,9-12,1-3,1-8,9-14,13-3,11-25,11-1,53,55,0.55599,108
Houston,Big 12,88,0.53331,20-31,17-10,3-21,5-14,0-14,6-8,2-8,12-1,8-30,8-1,32,73,0.54350,116
California Baptist,WAC,89,0.53198,40-16,25-13,15-3,11-5,0-2,1-2,4-2,35-10,5-6,27-3,226,243,0.45786,93
Ohio,MAC,90,0.53058,35-18,18-8,17-10,11-12,0-2,1-1,4-4,30-11,5-7,25-6,168,219,0.47530,82
Coastal Carolina,Sun Belt,91,0.53036,24-30,16-14,8-16,6-13,1-7,0-10,8-11,15-2,9-28,12-2,48,31,0.57232,87
Princeton,Ivy League,92,0.52756,30-13,12-10,18-3,10-6,0-0,0-2,2-3,28-8,2-5,28-7,204,198,0.48466,106
Fresno St.,Mountain West,93,0.52735,23-23,11-10,12-13,10-7,0-3,0-5,3-6,20-9,3-14,13-4,63,19,0.58602,103
Akron,MAC,94,0.52733,31-23,10-17,21-6,15-10,0-2,0-3,5-5,26-13,5-10,21-8,108,105,0.52561,91
Sam Houston,CUSA,95,0.52673,29-26,16-12,13-14,7-14,0-3,1-5,6-10,22-8,7-18,14-4,90,67,0.54653,125
BYU,Big 12,96,0.52671,18-33,11-16,7-17,4-13,1-15,2-7,6-6,9-5,9-28,5-4,25,63,0.55070,76
