rank,teamSeasonId,teamName,conference,record,rpi,sport,division,date
1,613783,Arkansas,SEC,1,0.69756,softball,D1,05/10/2026 (Selections)
2,613777,Alabama,SEC,3,0.69594,softball,D1,05/10/2026 (Selections)
3,613571,Nebraska(AQ),Big Ten,4,0.69501,softball,D1,05/10/2026 (Selections)
4,613695,Texas(AQ),SEC,2,0.69433,softball,D1,05/10/2026 (Selections)
5,613613,Florida,SEC,5,0.68806,softball,D1,05/10/2026 (Selections)
6,613592,Oklahoma,SEC,6,0.67191,softball,D1,05/10/2026 (Selections)
7,613605,UCLA,Big Ten,7,0.67145,softball,D1,05/10/2026 (Selections)
8,613689,Tennessee,SEC,8,0.66166,softball,D1,05/10/2026 (Selections)
9,613643,Oregon,Big Ten,10,0.65981,softball,D1,05/10/2026 (Selections)
10,613749,Florida St.(AQ),ACC,9,0.65868,softball,D1,05/10/2026 (Selections)
11,613819,Georgia,SEC,12,0.65401,softball,D1,05/10/2026 (Selections)
12,613606,Duke,ACC,13,0.65231,softball,D1,05/10/2026 (Selections)
13,613693,Texas Tech,Big 12,11,0.65035,softball,D1,05/10/2026 (Selections)
13,613849,LSU,SEC,14,0.65035,softball,D1,05/10/2026 (Selections)
15,613641,Oklahoma St.,Big 12,17,0.64606,softball,D1,05/10/2026 (Selections)
16,613682,Stanford,ACC,15,0.64032,softball,D1,05/10/2026 (Selections)
17,613691,Texas A&M,SEC,16,0.63849,softball,D1,05/10/2026 (Selections)
18,613706,Virginia Tech,ACC,19,0.63620,softball,D1,05/10/2026 (Selections)
19,613560,Mississippi St.,SEC,18,0.63585,softball,D1,05/10/2026 (Selections)
20,613782,Arizona,Big 12,20,0.63006,softball,D1,05/10/2026 (Selections)
21,613781,Arizona St.(AQ),Big 12,22,0.62919,softball,D1,05/10/2026 (Selections)
22,613562,Ole Miss,SEC,23,0.62837,softball,D1,05/10/2026 (Selections)
23,613721,UCF,Big 12,21,0.62771,softball,D1,05/10/2026 (Selections)
24,613808,Clemson,ACC,25,0.61862,softball,D1,05/10/2026 (Selections)
25,613672,South Carolina,SEC,26,0.61185,softball,D1,05/10/2026 (Selections)
26,613707,Virginia,ACC,27,0.61042,softball,D1,05/10/2026 (Selections)
27,613607,Grand Canyon(AQ),Mountain West,24,0.60850,softball,D1,05/10/2026 (Selections)
