id,name,position,bio,tenure_at_school,team_id,wins,loss,ties,win_perc
1,Caleb Abney,Head Coach,,4,763,39,110,0,0.262
2,Danny Acosta,Head Coach,,3,825,8,98,0,0.075
3,Scott Adams,Head Coach,,10,611,122,161,1,0.431
4,Bryan Adamski,Head Coach,,13,797,203,176,0,0.536
5,Gary Adcock,Head Coach,,23,116,766,414,1,0.649
6,Kristaps Aldins,Head Coach,,15,757,333,228,1,0.593
7,Siddeeq Ali,Head Coach,,1,361,0,5,0,0
8,Erik Amspacher,Head Coach,,5,606,44,97,1,0.313
9,Mike Anderson,Head Coach,,13,553,383,314,3,0.549
10,Jason Anderson,Head Coach,,11,227,244,266,0,0.478
11,Chris Anderson,Head Coach,,13,66,376,241,2,0.609
12,Kevin Anderson,Head Coach,,27,698,830,370,3,0.691
13,Jake Angier,Head Coach,,3,532,54,68,0,0.443
14,Matt Antonelli,Head Coach,,1,300,0,1,0,0
15,Christopher Antonides,Head Coach,,10,574,224,198,0,0.531
16,Mik Aoki,Head Coach,,25,644,610,637,2,0.489
17,Bobby Applegate,Head Coach,,5,189,117,107,0,0.522
18,Greg Appleton,Head Coach,,29,174,1006,530,0,0.655
19,Tracy Archuleta,Head Coach,,25,351,752,548,0,0.578
20,Mike Armstrong,Head Coach,,10,18,158,203,0,0.438
21,J.D. Arteaga,Head Coach,,3,469,73,59,0,0.553
22,Brian August,Head Coach,,22,914,617,397,2,0.608
23,Elliott Avent,Head Coach,,38,523,1307,848,2,0.606
24,Matt Backert,Head Coach,,2,1084,7,32,0,0.179
25,Drew Bailey,Head Coach,,7,175,132,139,1,0.487
26,Jordan Baitinger,Head Coach,,10,436,158,178,0,0.47
27,Brad Baker,Head Coach,,12,309,252,136,0,0.649
28,Erik Bakich,Head Coach,,17,160,542,368,1,0.595
29,Brad Baldwin,Head Coach,,3,563,76,53,0,0.589
30,Robby Bales,Head Coach,,8,171,162,151,0,0.518
31,Jordon Banfield,Head Coach,,6,188,132,160,0,0.452
32,Bobby Barbier,Head Coach,,10,714,255,220,0,0.537
33,Charlie Barbieri,Head Coach,,12,766,219,153,0,0.589
34,Nick Barese,Head Coach,,10,823,196,200,0,0.495
35,R.J. Barnard,Head Coach,,10,604,145,176,1,0.452
36,Bill Barrale,Head Coach,,24,913,357,352,2,0.504
37,Steve Bartlein,Head Coach,,1,2243,13,27,0,0.325
38,Mike Bartoletti,Head Coach,,24,692,415,433,3,0.489
39,Jordan Basile,Head Coach,,5,278,41,100,0,0.291
40,Keith Bateman,Head Coach,,22,44,349,445,1,0.44
41,Rodney Batts,Head Coach,,7,207,177,122,0,0.592
42,Greg Beals,Head Coach,,24,440,661,596,1,0.526
43,David Beasley,Head Coach,,29,73,794,525,2,0.602
44,Josh Beauregard,Head Coach,,9,232,163,215,0,0.431
45,Travis Beazley,Head Coach,,3,426,85,29,0,0.746
46,Dave Beccaria,Head Coach,,26,319,501,384,4,0.566
47,Alan Beck,Head Coach,,4,891,88,90,0,0.494
48,Jason Becker,Head Coach,,14,955,379,294,0,0.563
49,Blake Beemer,Head Coach,,4,100,50,125,0,0.286
50,Trevor Beerman,Head Coach,,1,229,4,9,0,0.308
51,Nolan Belcher,Head Coach,,6,548,157,113,0,0.581
52,Mike Bell,Head Coach,,8,614,170,176,0,0.491
53,Bobby Bell,Head Coach,,7,360,115,105,1,0.523
54,Grant Bellak,Head Coach,,8,314,123,135,0,0.477
55,Paul Benim,Head Coach,,31,605,775,445,5,0.635
56,Vince Beringhele,Head Coach,,18,112,406,425,0,0.489
57,Ray Bernier,Head Coach,,2,790,36,39,0,0.48
58,Chris Bertrand,Head Coach,,7,561,183,129,0,0.587
59,Chris Bessey,Head Coach,,15,458,147,337,0,0.304
60,Alan Betourne,Head Coach,,11,500,174,176,1,0.497
61,Randy Betten,Head Coach,,15,106,439,306,0,0.589
62,Mike Bianco,Head Coach,,29,584,1061,637,1,0.625
63,Steve Bieser,Head Coach,,14,357,391,314,1,0.555
64,CJ Bilbrey,Head Coach,,3,489,26,70,0,0.271
65,Jordan Bischel,Head Coach,,12,152,389,211,0,0.648
66,Rob Bishop,Head Coach,,16,711,312,399,1,0.439
67,Nathan Blackwood,Head Coach,,23,423,844,400,0,0.678
68,Jaylen Bledsoe,Head Coach,,3,153,9,96,1,0.09
69,Justin Blood,Head Coach,,15,369,275,360,0,0.433
70,Pat Bloom,Head Coach,,23,873,645,303,2,0.68
71,Willie Bloomquist,Head Coach,,5,32,134,109,0,0.551
72,Sam Boisner,Head Coach,,4,485,66,91,0,0.42
73,Will Bolt,Head Coach,,7,525,177,131,1,0.574
74,Craig Bolton,Head Coach,,6,608,89,103,0,0.464
75,Zach Booker,Head Coach,,5,308,80,83,1,0.491
76,Brett Boretti,Head Coach,,25,173,522,521,1,0.5
77,Jake Boss,Head Coach,,19,472,497,450,0,0.525
78,Kent Bottenfield,Head Coach,,15,598,283,349,1,0.448
79,Ryan Bowen,Head Coach,,9,560,197,187,0,0.513
80,Liam Bowen,Head Coach,,7,824,121,152,0,0.443
81,Denny Bowers,Head Coach,,21,770,380,401,2,0.487
82,Ryan Bown,Head Coach,,14,602,323,212,2,0.603
83,Scott Bradley,Head Coach,,28,623,476,646,2,0.424
84,Charles Bradley,Head Coach,,4,728,45,117,0,0.278
85,Lee Bradley,Head Coach,,9,887,127,258,0,0.33
86,Matt Bragga,Head Coach,,23,777,620,581,3,0.516
87,Mark Brew,Head Coach,,20,396,736,334,2,0.688
88,Brian Brewer,Head Coach,,27,437,762,388,1,0.662
89,Dan Briand,Head Coach,,9,28,140,149,0,0.484
90,Drew Briese,Head Coach,,10,141,209,147,0,0.587
91,Al Brisack,Head Coach,,27,233,492,531,0,0.481
92,Ryan Brisbin,Head Coach,,23,691,319,574,3,0.358
93,JJ Brock,Head Coach,,2,82,0,52,0,0
94,Troy Brohawn,Head Coach,,12,680,352,101,2,0.776
95,Kevin Brooks,Head Coach,,22,27,850,368,0,0.698
96,Joe Brooks,Head Coach,,4,310,50,70,0,0.417
97,Joe Brown,Head Coach,,27,184,919,268,6,0.773
98,Tod Brown,Head Coach,,19,531,458,458,0,0.5
99,Phil Brua,Head Coach,,8,329,80,164,2,0.329
100,T.J. Bruce,Head Coach,,9,416,197,207,0,0.488
101,Brock Buckingham,Head Coach,,1,613,17,0,0,1
102,Walker Bullington,Head Coach,,4,733,114,67,0,0.63
103,J.C. Bunch,Head Coach,,9,730,152,154,0,0.497
104,Matt Burdette,Head Coach,,31,374,496,533,1,0.482
105,Kevin Burdick,Head Coach,,6,907,94,100,0,0.485
106,Tino Burgos,Head Coach,,10,690,191,209,1,0.478
107,Conor Burke,Head Coach,,5,352,51,155,0,0.248
108,Eric Burkle,Head Coach,,14,885,257,352,0,0.422
109,Gary Burns,Head Coach,,33,652,875,757,0,0.536
110,Tim Burns,Head Coach,,1,459,7,20,0,0.259
111,Nate Burns,Head Coach,,3,696,42,49,1,0.462
112,Lane Burroughs,Head Coach,,14,420,431,305,0,0.586
113,Franklin Bush,Head Coach,,3,48,51,70,0,0.421
114,Tim Byrnes,Head Coach,,20,311,236,318,1,0.426
115,Sean Callahan,Head Coach,,6,760,72,90,0,0.444
116,Nick Callini,Head Coach,,23,23,299,588,1,0.337
117,Mark Calvi,Head Coach,,15,709,431,343,0,0.557
118,Shawn Camp,Head Coach,,4,289,102,85,0,0.545
119,Mitch Canham,Head Coach,,7,589,231,107,1,0.683
120,D.J. Cannon,Head Coach,,7,285,97,137,0,0.415
121,Holden Capps,Head Coach,,1,119,7,10,0,0.412
122,Tom Caputo,Head Coach,,8,742,238,143,1,0.624
123,Adam Carey,Head Coach,,3,134,37,49,0,0.43
124,Lynn Carlson,Head Coach,,30,305,587,585,3,0.501
125,Derek Carlson,Head Coach,,24,91,371,462,3,0.446
126,Jim Carone,Head Coach,,15,453,292,343,3,0.46
127,Vinny Carone,Head Coach,,2,92,24,28,1,0.462
128,Shaine Carpenter,Head Coach,,1,386,1,9,0,0.1
129,Wes Carroll,Head Coach,,18,250,448,479,0,0.483
130,Rick Carver,Head Coach,,34,274,507,725,2,0.412
131,Brian Casey,Head Coach,,5,162,85,65,0,0.567
132,Brendan Casey,Head Coach,,3,935,50,64,1,0.439
133,Scott Cassidy,Head Coach,,16,394,366,316,3,0.536
134,Mike Cassidy,Head Coach,,5,447,111,68,0,0.62
135,Frank Catalanotto,Head Coach,,7,331,144,145,0,0.498
136,Billy Cather,Head Coach,,13,156,201,199,1,0.502
137,Jeff Caulfield,Head Coach,,22,433,414,383,3,0.519
138,Chris Celano,Head Coach,,22,529,503,371,2,0.575
139,Raph Cerrato,Head Coach,,17,640,403,382,2,0.513
140,Andy Chalot,Head Coach,,7,434,86,158,0,0.352
141,Mike Chambers,Head Coach,,10,277,254,157,1,0.618
142,Zac Charbonneau,Head Coach,,4,924,72,91,0,0.442
143,Trevor Charpie,Head Coach,,2,942,16,52,0,0.235
144,Andrew Checketts,Head Coach,,16,811,501,269,5,0.65
145,Jim Chester,Head Coach,,12,286,249,289,1,0.463
146,Nathan Choate,Head Coach,,7,872,121,169,1,0.418
147,Reggie Christiansen,Head Coach,,21,663,568,539,0,0.513
148,Pat Christopher,Head Coach,,6,363,64,118,0,0.352
149,Jeff Christy,Head Coach,,2,524,27,23,0,0.54
150,Eric Cirella,Head Coach,,13,681,336,143,5,0.699
151,Greg Clifton,Head Coach,,8,520,176,114,0,0.607
152,Lonny Cobble,Head Coach,,14,579,296,336,0,0.468
153,Mike Coduto,Head Coach,,3,909,46,42,0,0.523
154,Ryan Coe,Head Coach,,5,370,129,114,0,0.531
155,Douglas Coe,Head Coach,,4,504,41,79,0,0.342
156,Chris Collazo,Head Coach,,1,774,2,4,0,0.333
157,Mike Collins,Head Coach,,21,83,427,453,2,0.485
158,Kenny Collins,Head Coach,,6,744,69,92,0,0.429
159,Mike Connolly,Head Coach,,27,88,474,415,4,0.533
160,Vince Connor,Head Coach,,3,407,20,73,0,0.215
161,Scott Considine,Head Coach,,2,84,8,40,0,0.167
162,D.J. Conville,Head Coach,,22,340,499,335,0,0.598
163,Steve Cook,Head Coach,,30,165,662,527,2,0.557
164,Brad Cook,Head Coach,,4,330,50,58,0,0.463
165,Ryan Copeland,Head Coach,,7,539,180,108,0,0.625
166,Josh Copskey,Head Coach,,9,348,173,118,0,0.595
167,Tim Corbin,Head Coach,,30,852,1078,605,1,0.64
168,Eddie Cornejo,Head Coach,,4,190,86,80,0,0.518
169,Brandon Costa,Head Coach,,5,847,77,136,0,0.362
170,Shawn Counts,Head Coach,,5,50,45,114,0,0.283
171,Randy Cox,Head Coach,,17,441,113,371,0,0.233
172,Tyler Cox,Head Coach,,1,726,1,9,0,0.1
173,Chris Cox,Head Coach,,7,578,164,118,0,0.582
174,Barry Craddock,Head Coach,,15,915,281,242,1,0.537
175,Jason Crain,Head Coach,,8,21,127,138,2,0.479
176,Tom Crank,Head Coach,,23,430,591,505,1,0.539
177,Frank Craska,Head Coach,,1,117,2,10,0,0.167
178,Chris Crenshaw,Head Coach,,6,725,120,153,0,0.44
179,Mark Crocco,Head Coach,,8,247,178,163,1,0.522
180,Kyle Crookes,Head Coach,,12,138,461,149,0,0.756
181,Eric Cruise,Head Coach,,13,646,215,255,0,0.457
182,Brandon Crum,Head Coach,,9,19,156,120,0,0.565
183,Mike Cummins,Head Coach,,19,108,387,522,0,0.426
