id,name,class_ranking,current_rpi,academics,conference_id,team_id_ncaa,sport,logo_url,state_id
1,A&M-Corpus Christi,0.0,184.0,,1.0,26172.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/1.png,43.0
2,Abilene Christian,0.0,117.0,,2.0,2.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/2.png,43.0
3,Adams St.,0.0,,,5.0,929.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/3.png,6.0
4,Adelphi,0.0,,,6.0,3.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/4.png,32.0
5,Adrian,0.0,,,8.0,4.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/5.png,22.0
6,Air Force,0.0,143.0,,9.0,721.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/6.png,6.0
7,Akron,0.0,289.0,,10.0,5.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/7.png,35.0
8,Alabama,0.0,4.0,,11.0,8.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/8.png,1.0
9,Alabama A&M,0.0,306.0,,12.0,6.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/9.png,1.0
10,Alabama Huntsville,0.0,,,13.0,10.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/10.png,1.0
11,Alabama St.,0.0,248.0,,12.0,7.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/11.png,1.0
12,Albany St. (GA),0.0,,,14.0,13.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/12.png,10.0
13,Albertus Magnus,0.0,,,15.0,2798.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/13.png,7.0
14,Albion,0.0,,,8.0,15.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/14.png,22.0
15,Albright,0.0,,,16.0,16.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/15.png,38.0
16,Alcorn,0.0,304.0,,12.0,17.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/16.png,24.0
17,Alderson Broaddus,0.0,,,,934.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/17.png,
18,Alfred St.,0.0,,,20.0,30170.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/18.png,32.0
19,Allegheny,0.0,,,21.0,19.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/19.png,38.0
20,Alliance,0.0,,,,1277.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/20.png,
21,Alma,0.0,,,8.0,21.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/21.png,22.0
22,Alvernia,0.0,,,16.0,938.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/22.png,38.0
23,American Int'l,0.0,,,6.0,22.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/23.png,21.0
24,Amherst,0.0,,,26.0,24.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/24.png,21.0
25,Anderson (IN),0.0,,,27.0,939.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/25.png,14.0
26,Anderson (SC),0.0,,,28.0,13028.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/26.png,40.0
