gameId,date,sport,teamName,isHome,playerName,playerNumber,playerPosition,playerId,ip,h,r,er,bb,so,bf,doublesA,triplesA,bk,hrA,wp,hb,ibb,inhRun,inhRunScore,sha,sfa,kl
6528365,2/06/26,softball,Emporia St.,,Hannah Butterbaugh,15,P,11235899,6.0,7,1,1,0,2,24,0,0,0,0,0,0,0,0,0,1,0,0
6528365,2/06/26,softball,Emporia St.,,Chloe Wilson,3,P,11235909,0.2,3,2,1,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0
6528365,2/06/26,softball,Arkansas Tech,1.0,Aly White,33,P,9661746,7.0,5,2,1,0,1,27,1,0,0,1,0,0,0,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Vanessa Robles,16,P,9661216,6.0,10,6,5,1,6,30,1,0,0,0,1,0,0,0,0,1,0,2
6532847,2/28/26,softball,Azusa Pacific,1.0,Maddy Debs,99,P/DP,9658202,1.1,1,0,0,1,1,7,0,0,0,0,0,1,0,0,0,0,0,1
6532847,2/28/26,softball,Azusa Pacific,1.0,Allie Reese,28,P,9660448,4.1,6,3,2,2,1,20,0,0,0,0,2,0,0,0,0,0,0,1
6532847,2/28/26,softball,Azusa Pacific,1.0,Analise Reyes,23,P,9656438,1.1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
6532849,2/28/26,softball,Vanguard,,Summer Stephens,22,P,9663353,1.1,2,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
6532849,2/28/26,softball,Vanguard,,Lauren Cantwell,30,P,11228280,4.2,5,3,2,0,3,20,2,0,0,0,0,0,0,0,0,1,0,0
6532849,2/28/26,softball,Vanguard,,Mari Ipatzi,32,P,9654819,1.0,2,1,1,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0
6532849,2/28/26,softball,Azusa Pacific,1.0,Ava Hernandez,15,P,9660370,4.1,8,4,3,1,3,24,1,0,0,0,0,2,0,0,0,0,0,1
6532849,2/28/26,softball,Azusa Pacific,1.0,Charli Rae Escobido,17,P,9658550,1.1,5,3,2,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
6532849,2/28/26,softball,Azusa Pacific,1.0,Analise Reyes,23,P,9656438,1.1,1,2,2,2,1,7,1,0,0,0,0,0,0,0,0,1,0,0
6565039,2/10/26,softball,Delta St.,,Kendal Moore,45,P,9669960,5.0,4,1,1,0,7,20,0,0,0,0,0,0,0,0,0,0,0,1
6565039,2/10/26,softball,LeMoyne-Owen,1.0,Aidan Hughes,0,P,11249955,5.0,11,9,7,3,0,31,1,2,0,0,0,2,0,0,0,0,0,0
6565040,2/10/26,softball,Delta St.,,Maeve Lavoy,23,P,9666214,5.0,3,0,0,1,8,17,0,0,0,0,0,0,0,0,0,0,0,1
6565040,2/10/26,softball,LeMoyne-Owen,1.0,Khaylani Bailey,20,P,9654877,5.0,14,11,9,4,2,36,0,1,0,3,0,1,0,0,0,0,0,0
6565563,2/26/26,softball,Midwestern St.,,Kaylin Salazar,99,P,11222502,1.0,5,4,3,1,2,9,0,0,0,1,0,0,0,0,0,0,0,0
6565563,2/26/26,softball,Midwestern St.,,Audrey Sierra,15,P,11222465,5.0,8,5,5,3,1,26,4,0,0,1,0,1,0,0,0,1,0,0
6565563,2/26/26,softball,Cameron,1.0,Stormee Reed,20,P,9660547,6.1,7,4,4,5,13,32,2,0,0,0,1,1,0,0,0,0,0,0
6565563,2/26/26,softball,Cameron,1.0,Chloe Hill,13,P,11238783,0.1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0
6566062,3/22/26,softball,Charleston (WV),,Addison Mass,6,P,9664493,6.0,4,3,3,3,7,24,1,0,0,1,0,0,0,0,0,0,0,2
6566062,3/22/26,softball,Glenville St.,1.0,Kylie Burdick,24,P,9664176,7.0,3,0,0,1,3,24,0,0,0,0,0,0,0,0,0,0,0,1
6566070,3/22/26,softball,Point Park,,Jaylyn Mullenax,16,P,11251547,2.0,7,4,4,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0
6566070,3/22/26,softball,Point Park,,Emma Henry,33,DP/PH,9656036,5.0,7,5,5,6,3,28,2,0,0,0,0,1,0,0,0,0,0,1
6566070,3/22/26,softball,West Liberty,1.0,Kadence Pettit,6,P/DP,9668257,1.1,6,6,5,1,2,12,0,0,0,1,0,0,0,0,0,0,0,1
6566070,3/22/26,softball,West Liberty,1.0,Annaliese Davis,8,DP/P,11233273,5.2,6,6,5,3,6,29,1,0,0,0,2,2,0,0,0,1,0,1
6566109,3/22/26,softball,Charleston (WV),,Cali Masters,11,P/DH,11227900,3.0,6,2,2,1,1,16,0,0,0,1,0,0,0,0,0,1,0,0
6566109,3/22/26,softball,Charleston (WV),,Laila Varney,21,P,9661602,3.0,7,5,2,2,0,19,2,0,0,0,1,0,0,0,0,1,1,0
6566109,3/22/26,softball,Glenville St.,1.0,Meghan Stump,27,P,9657824,1.0,2,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,1,0
6566109,3/22/26,softball,Glenville St.,1.0,Maci Boggess,55,P,11243347,6.0,4,0,0,2,2,23,0,0,0,0,1,0,0,0,0,1,0,1
6566119,3/22/26,softball,Point Park,,Julia Johnson,24,P,11250899,6.0,8,6,6,4,2,30,3,0,0,0,2,0,0,0,0,1,0,1
6566119,3/22/26,softball,West Liberty,1.0,Rylee Mangold,20,P,11233280,7.0,8,5,2,4,3,33,1,0,0,0,2,0,0,0,0,0,1,0
6566103,3/22/26,softball,Saginaw Valley,,Macy Irelan,0,P,9654314,8.0,4,3,3,2,13,31,3,0,0,0,1,0,0,0,0,0,0,3
6566103,3/22/26,softball,Davenport,1.0,Hannah Tahaney,27,P,9654840,5.1,9,3,3,3,1,28,2,1,0,0,0,0,1,0,0,1,0,0
6566103,3/22/26,softball,Davenport,1.0,Alaina Schwanke,99,DP/P,9670831,2.2,3,2,1,1,0,12,2,0,0,0,2,1,0,0,0,0,0,0
6566120,3/22/26,softball,Tex. A&M-Kingsville,,Marianna Zumerle,6,P,11231438,3.0,5,1,1,0,1,14,1,0,0,0,0,0,0,0,0,0,0,0
6566120,3/22/26,softball,Tex. A&M-Kingsville,,Kristina Nash,2,P,9655011,3.0,2,0,0,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0
6566120,3/22/26,softball,Tex. A&M-Kingsville,,Rylee Yarborough,8,P,11231437,0.2,4,4,4,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0
6566120,3/22/26,softball,Tex. A&M-Kingsville,,Andrea Martinez,24,P,9654285,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6566120,3/22/26,softball,Tex. A&M Int'l,1.0,Kylie Goad,2,P,9667141,4.0,9,7,7,3,1,25,1,0,0,2,1,0,0,0,0,0,1,0
6566120,3/22/26,softball,Tex. A&M Int'l,1.0,Anaya Paredes,21,P,11240974,3.0,3,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0
6566147,3/21/26,softball,Bentley,,Maddie Pickett,1,P,9662605,5.2,9,6,6,6,1,30,1,0,0,0,0,0,0,0,0,0,1,1
6566147,3/21/26,softball,Bentley,,Vittoria Cuscia,10,P,11235476,0.1,1,3,3,4,0,7,0,0,0,0,0,0,0,0,0,1,0,0
6566147,3/21/26,softball,Franklin Pierce,1.0,Gwenyth Canuel,10,P/DP,11229971,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6566147,3/21/26,softball,Franklin Pierce,1.0,Danica Nielsen,6,DP,11229989,1.1,3,3,3,4,1,11,0,1,0,1,0,0,0,0,0,0,0,0
6566147,3/21/26,softball,Franklin Pierce,1.0,Brooke Koehler,77,P,9657753,3.2,3,2,2,2,4,16,0,0,0,0,0,0,0,0,0,0,0,1
6566147,3/21/26,softball,Franklin Pierce,1.0,Kennedy Morris,13,P,9670812,2.0,5,3,3,1,0,13,1,0,0,0,0,0,0,0,0,1,0,0
6566083,3/21/26,softball,Assumption,1.0,Paige Cote,20,P,9669979,5.1,4,1,0,3,3,24,0,0,0,0,0,0,0,0,0,0,0,0
6566083,3/21/26,softball,Assumption,1.0,Kaelin Waldron,19,P,9667171,0.2,0,2,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0
6566083,3/21/26,softball,Assumption,1.0,Kyra Birtz,22,P,9655271,1.0,1,1,1,0,3,4,0,0,0,1,0,0,0,0,0,0,0,1
6566196,3/21/26,softball,Bentley,,Sophie Jorjorian,8,P,11235481,1.1,7,6,6,0,3,12,1,0,0,0,0,1,0,0,0,0,0,1
6566196,3/21/26,softball,Bentley,,Taylor Zajac,28,P,11235483,4.1,7,5,4,3,2,22,0,0,0,0,1,0,0,0,0,2,1,0
6566196,3/21/26,softball,Franklin Pierce,1.0,Raylee Gilbert,1,P,9661521,6.0,7,3,3,2,2,27,1,0,0,0,1,0,0,0,0,0,1,0
6566203,3/20/26,softball,Pittsburg St.,,Lexi Franklin,11,P,9661830,5.0,6,2,2,2,0,22,2,0,0,0,0,1,0,0,0,0,0,0
6566203,3/20/26,softball,Pittsburg St.,,Sailor Hall,15,RF/P,11219122,2.0,3,2,2,2,2,11,1,0,0,0,1,0,0,0,0,0,1,0
6566203,3/20/26,softball,Neb.-Kearney,1.0,Teilar Fry,1,P,10253339,1.1,4,5,2,1,0,10,0,0,0,2,0,0,0,0,0,0,0,0
6566203,3/20/26,softball,Neb.-Kearney,1.0,Zakayia Fredrick,9,P,10253335,0.2,0,3,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0
6566203,3/20/26,softball,Neb.-Kearney,1.0,Chloe Odle,3,P,10253347,3.0,2,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,2,0
6566203,3/20/26,softball,Neb.-Kearney,1.0,Jerzie Schindler,19,P,10253368,2.0,3,2,2,1,0,10,1,1,0,0,0,0,0,0,0,1,0,0
6566326,3/24/26,softball,Ohio Dominican,,Alyvia Lawrentz,8,P,11241680,7.0,4,2,0,3,4,32,0,1,0,0,1,1,0,0,0,2,1,1
6566326,3/24/26,softball,Walsh,1.0,Maci Smythe,16,P,9660342,7.0,5,3,3,0,2,27,0,0,0,0,0,1,0,0,0,0,0,1
6566339,3/24/26,softball,Quincy,,Alexus Freeman,11,P/DP,9658956,5.1,5,6,6,2,1,26,0,0,0,1,0,5,0,0,0,0,1,0
6566339,3/24/26,softball,Quincy,,Hailey Platt,20,P,11218096,0.0,2,3,3,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0
6566339,3/24/26,softball,Quincy,,Kaidence Dumas,18,1B/P,9655581,0.2,2,1,1,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0
6566339,3/24/26,softball,Central Mo.,1.0,Bailey Brumley,21,P,9667035,7.0,7,3,0,1,5,31,1,0,0,0,0,0,0,0,0,0,0,3
6566355,3/24/26,softball,Ohio Dominican,,Emma Grau,12,P,9657823,7.0,1,0,0,5,5,28,1,0,0,0,0,0,0,0,0,1,0,2
6566355,3/24/26,softball,Walsh,1.0,Gauri Naik,0,P,11234598,6.1,6,7,6,6,2,32,0,0,0,2,1,0,0,0,0,2,0,0
6566355,3/24/26,softball,Walsh,1.0,Katie Gardner,1,P,9657006,0.2,1,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0
6566364,3/24/26,softball,Quincy,,Haley Martin,4,P,11218090,6.0,6,3,3,1,4,30,1,0,0,0,0,5,0,0,0,1,0,2
6566364,3/24/26,softball,Central Mo.,1.0,Andi Siebeneck,25,P,9658828,7.0,1,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,0,0
6566489,3/25/26,softball,Ashland,,Cassidy Shaffer,23,P/DP,11237700,4.0,7,8,7,3,2,23,1,1,0,0,0,1,0,0,0,0,0,2
6566489,3/25/26,softball,Ashland,,Mady Hannahs,13,DP/P,9669904,2.0,6,7,6,3,0,16,1,1,0,0,0,0,0,0,0,1,0,0
6566489,3/25/26,softball,Indiana (PA),1.0,Madison Booth,3,P,11243336,2.0,7,6,6,0,1,13,1,0,0,1,0,1,0,0,0,1,0,1
6566489,3/25/26,softball,Indiana (PA),1.0,Kendall Young,45,P,9662070,5.0,5,3,3,0,3,21,1,1,0,1,0,1,0,0,0,0,2,1
6566524,3/25/26,softball,Clark Atlanta,1.0,Alexis Daphney,12,P,11236715,5.0,3,0,0,0,4,17,1,0,0,0,0,0,0,0,0,0,0,0
6566509,3/25/26,softball,Ashland,,Sophia Smithnosky,4,P,9655533,7.0,4,5,2,3,3,29,1,0,0,1,0,0,0,0,0,0,0,2
6566509,3/25/26,softball,Indiana (PA),1.0,Taylor Bumgardner,4,P,11243337,5.0,16,8,8,0,4,30,4,1,0,0,0,0,0,0,0,0,0,2
6566509,3/25/26,softball,Indiana (PA),1.0,Kendall Young,45,P,9662070,2.0,2,1,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0
6566542,3/25/26,softball,Wheeling,,Ryleigh Peters,99,P,11253110,5.0,8,6,6,1,1,27,1,1,0,0,0,3,0,0,0,0,1,0
6566542,3/25/26,softball,Wheeling,,Jordyn Busseri,6,P,11253100,0.2,3,5,5,0,0,7,0,0,0,1,0,2,0,0,0,0,0,0
6566542,3/25/26,softball,West Liberty,1.0,Annaliese Davis,8,P,11233273,6.0,2,0,0,0,3,22,0,0,0,0,0,1,0,0,0,0,0,0
6566470,3/25/26,softball,Barton,,Haley Inman,8,P,11233954,4.1,6,3,3,1,2,19,1,0,0,0,1,0,0,0,0,0,0,1
6566470,3/25/26,softball,Barton,,Chaleigh Currin,0,P,11233976,1.2,4,2,2,2,1,11,0,0,0,0,0,0,0,0,0,1,0,0
6566470,3/25/26,softball,Chowan,1.0,Makenzi Curry,35,P,9659245,7.0,9,2,2,0,2,29,1,0,0,0,1,0,0,0,0,0,0,0
6566478,3/25/26,softball,Wheeling,,Kaylin Shields,2,P,9657999,6.2,8,5,3,2,3,33,2,1,0,0,1,0,0,0,0,1,2,1
6566478,3/25/26,softball,West Liberty,1.0,Kadence Pettit,6,P,9668257,6.2,9,4,4,4,3,32,2,0,0,0,0,0,0,0,0,0,0,3
6566478,3/25/26,softball,West Liberty,1.0,Ashlyn Tapman,11,P,9669256,0.1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
6566474,3/25/26,softball,Miles,,Anndria Kay,18,P,11241009,5.0,3,4,4,4,0,23,3,0,0,0,2,1,0,0,0,0,0,0
6566474,3/25/26,softball,Miles,,Madison McGowan,16,P,11241007,1.0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
6566474,3/25/26,softball,Union (TN),1.0,Rylee Moore,11,P,9665533,7.0,2,0,0,1,4,24,0,0,0,0,0,0,0,0,0,0,0,1
6566632,3/26/26,softball,Bridgeport,,Vise Zarate,14,P,9666485,3.1,8,5,5,1,0,20,1,0,0,0,0,0,0,0,0,1,1,0
6566632,3/26/26,softball,Bridgeport,,Samantha Sponder,17,P,11330627,3.2,7,2,2,1,2,19,3,0,0,0,0,0,0,0,0,0,0,0
6566632,3/26/26,softball,Molloy,1.0,Ava Zicchinelli,23,P/LF,11220608,3.0,8,8,3,1,2,19,0,1,0,1,0,0,0,0,0,0,0,1
