player_name,player_id,player_ncaa_season_id,team_id,games_played,home_runs,boxscore_hr,delta
D. Hill,146693,,1364,28,7,0,7
Tranasia Parker,139876,11224293.0,1381,34,15,8,7
Laila Ruiz,143117,11225388.0,1484,34,11,5,6
Taya Hopfauf,98699,,1373,39,5,0,5
Jake Busson,139661,11247717.0,817,34,12,8,4
Sammie Jarvis,97248,9670106.0,1526,29,4,0,4
Katelyn Harmon,89476,9665297.0,1521,37,7,3,4
Ayden Lohr,72370,9685881.0,141,30,6,2,4
Taneah Gibbons,146294,11225097.0,1540,25,5,1,4
Adam Moser,138244,11233651.0,877,32,7,3,4
Noelle Smith,149489,,1792,19,4,0,4
Ashlyn Zapach,80956,9666553.0,1526,39,5,1,4
Gracyn Tucker,86196,9659539.0,1116,49,16,13,3
Hunter Rasnick-Pope,108334,9681834.0,339,26,3,0,3
Ty Grover,76911,9705168.0,12,31,8,5,3
Rylee Lemos,96829,9668368.0,1428,43,8,5,3
Joshua Lile,131582,11243133.0,339,31,7,4,3
Lauren Harris,91390,9658127.0,1497,42,13,10,3
Cam Rendell,56262,9696215.0,341,23,5,2,3
Damian Brown,55220,9692128.0,362,31,8,5,3
Zach Johnston,76616,9683662.0,363,29,5,2,3
Ibrahim Marrero,104657,9684108.0,399,21,5,2,3
Patrick Sido,147014,11249679.0,443,30,8,5,3
Isaiah Parido,56809,9697269.0,467,31,13,10,3
Jimmy Casey,137008,11244476.0,759,28,5,2,3
Dylan Barnes,75664,9698365.0,605,24,6,3,3
Kaitlyn Fletcher,118076,9666732.0,1540,24,7,4,3
Corbin Martens,135615,11218954.0,642,29,11,8,3
Kameron Byrd,57093,9692495.0,725,31,3,0,3
Brandon Mahler,52586,9704572.0,177,29,12,9,3
Byron Robinson,137399,11246998.0,784,30,9,6,3
Chloe Bethune,108607,,1373,31,3,0,3
Isaac Goddard,148421,11253061.0,49,28,4,1,3
Colin Barczi,67934,9690923.0,852,18,6,3,3
Jake Smith,65563,9696252.0,847,38,13,10,3
Bri Weimer,105651,9660477.0,1444,42,8,5,3
Cyndia Dobbins,144752,11245918.0,1642,20,3,0,3
Bethany Rodman,81700,9670368.0,1910,22,3,0,3
Braedan Trissell,138246,11233678.0,877,31,7,4,3
Ansleigh Mason,80605,9662950.0,1381,30,3,0,3
Taelor Chang,105969,9661253.0,2065,35,5,2,3
Audrey Higgins,105353,9656343.0,1526,37,6,3,3
RILEY UHLS,51157,9680486.0,73,29,8,5,3
McKenzie Nervis,107275,11224289.0,1381,32,7,4,3
Ryan Campbell,104828,9686794.0,373,38,10,7,3
Mayci Larson,94011,9666760.0,1757,25,4,2,2
Michael Alspaugh,139319,11243631.0,19,23,3,1,2
