sport,division,team,date,opponent,result,runsFor,runsAgainst,teamYearId,opponentYearId
baseball,D1,A&M-Corpus Christi,2026-04-02,SFA,L 3-8,3.0,8.0,614839,614750.0
baseball,unknown,AUM,2026-03-27,West Florida,L 6-8,6.0,8.0,614963,614937.0
baseball,D1,Abilene Christian,2026-04-02,California Baptist,L 1-5,1.0,5.0,614845,614844.0
baseball,unknown,Adrian,2026-04-02,Albion,W 6-0,6.0,0.0,615139,615140.0
baseball,unknown,Adrian,2026-04-04,Calvin,W 19-6,19.0,6.0,615139,615167.0
baseball,unknown,Adrian,2026-04-08,Albion,W 16-7,16.0,7.0,615139,615140.0
baseball,unknown,Adrian,2026-04-16,Trine,W 7-1,7.0,1.0,615139,615495.0
baseball,unknown,Adrian,2026-04-17,Trine,W 9-0,9.0,0.0,615139,615495.0
baseball,unknown,Adrian,2026-04-17,Trine,W 11-1,11.0,1.0,615139,615495.0
baseball,D1,Air Force,2026-04-02,San Diego St.,L 2-9,2.0,9.0,614798,614730.0
baseball,D1,Akron,2026-04-02,Bowling Green,L 2-6,2.0,6.0,614787,614865.0
baseball,D1,Alabama,2026-04-02,Oklahoma,W 10-7,10.0,7.0,614848,614702.0
baseball,D1,Alabama A&M,2026-02-14,"Jackson St. @Pearl, MS",L 1-6,1.0,6.0,614846,614631.0
baseball,D1,Alabama A&M,2026-03-22,Grambling,L 3-13,3.0,13.0,614846,614771.0
baseball,D1,Alabama A&M,2026-04-02,Texas Southern,L 5-7,5.0,7.0,614846,614790.0
baseball,D1,Alabama St.,2026-04-02,Ark.-Pine Bluff,W 14-10,14.0,10.0,614847,614834.0
baseball,unknown,Albany St. (GA),2026-02-22,LeMoyne-Owen,W 27-8,27.0,8.0,615001,615046.0
baseball,unknown,Albany St. (GA),2026-02-22,LeMoyne-Owen,W 11-2,11.0,2.0,615001,615046.0
baseball,unknown,Albany St. (GA),2026-02-23,LeMoyne-Owen,W 15-5,15.0,5.0,615001,615046.0
baseball,unknown,Albany St. (GA),2026-03-07,Savannah St.,W 13-6,13.0,6.0,615001,614997.0
baseball,unknown,Albany St. (GA),2026-03-07,Savannah St.,W 4-3,4.0,3.0,615001,614997.0
baseball,unknown,Albany St. (GA),2026-03-08,Savannah St.,W 6-1,6.0,1.0,615001,614997.0
baseball,unknown,Albany St. (GA),2026-03-27,Clark Atlanta,W 12-7,12.0,7.0,615001,615024.0
baseball,unknown,Albany St. (GA),2026-03-28,Clark Atlanta,W 14-5,14.0,5.0,615001,615024.0
baseball,unknown,Albany St. (GA),2026-03-28,Clark Atlanta,W 5-2,5.0,2.0,615001,615024.0
baseball,unknown,Albany St. (GA),2026-04-07,Ga. Southwestern,L 3-4,3.0,4.0,615001,614879.0
baseball,unknown,Albertus Magnus,2026-03-07,"Juniata @Auburndale, FL",L 5-10,5.0,10.0,615458,615237.0
baseball,unknown,Albion,2026-02-27,"Heidelberg @Chillicothe, OH",L 8-11,8.0,11.0,615140,615224.0
baseball,unknown,Albion,2026-03-21,Grace Christian (MI),W 7-2,7.0,2.0,615140,
baseball,unknown,Albion,2026-03-21,Grace Christian (MI),W 9-0,9.0,0.0,615140,
baseball,unknown,Albion,2026-04-02,Adrian,L 0-6,0.0,6.0,615140,615139.0
baseball,unknown,Albion,2026-04-08,Adrian,L 7-16,7.0,16.0,615140,615139.0
baseball,unknown,Albright,2026-04-04,Widener,L 6-7 (9),6.0,7.0,615141,615391.0
