source,gameId,sport,division,date,team,opponent
pbp_gap,6565729,baseball,D1,2026-03-25,Ark.-Pine Bluff,Ark. Baptist
pbp_gap,6575948,baseball,D1,2026-04-22,Ball St.,Ind.-South Bend
pbp_gap,6566214,baseball,D1,2026-04-08,Bowling Green,Lourdes
pbp_gap,6498908,baseball,D1,2026-03-10,CSU Bakersfield,Westcliff
pbp_gap,6575943,baseball,D1,2026-04-22,Central Mich.,Rochester Christian
pbp_gap,6550050,baseball,D1,2026-02-17,Grambling,Wiley
pbp_gap,6525568,baseball,D1,2026-02-22,Grambling,"Jackson St. @Vero Beach, FL"
pbp_gap,6509790,baseball,D1,2026-03-04,McNeese,LSU-Alexandria
pbp_gap,6509847,baseball,D1,2026-03-25,McNeese,La. Christian
pbp_gap,6515754,baseball,D1,2026-03-31,Mississippi Val.,Southeastern Bapt.
pbp_gap,6524688,baseball,D1,2026-04-02,Nevada,Simpson (CA)
pbp_gap,6506427,baseball,D1,2026-02-24,New Mexico St.,Southwest (NM)
pbp_gap,6506488,baseball,D1,2026-03-10,New Mexico St.,Southwest (NM)
pbp_gap,6555624,baseball,D1,2026-02-24,Nicholls,Dillard
pbp_gap,6555625,baseball,D1,2026-03-11,Nicholls,Xavier (LA)
pbp_gap,6554819,baseball,D1,2026-02-17,Prairie View,Texas A&M-Victoria
pbp_gap,6568348,baseball,D1,2026-03-04,Prairie View,Huston-Tillotson
pbp_gap,6566348,baseball,D1,2026-03-24,Prairie View,Our Lady of the Lake
pbp_gap,6565301,baseball,D1,2026-03-18,Purdue,Oakland City
pbp_gap,6500452,baseball,D1,2026-02-20,Quinnipiac,North Florida
pbp_gap,6540012,baseball,D1,2026-04-07,Seattle U,British Colum. (CAN)
pbp_gap,6528600,baseball,D1,2026-04-14,South Dakota St.,Midland
pbp_gap,6575978,baseball,D1,2026-04-22,South Dakota St.,Briar Cliff (IA)
pbp_gap,6498114,baseball,D1,2026-04-07,Southeastern La.,LSU-Alexandria
pbp_gap,6551323,baseball,D1,2026-02-24,Southern U.,Southern-N.O.
pbp_gap,6551329,baseball,D1,2026-03-10,Southern U.,Dillard
pbp_gap,6532060,baseball,D1,2026-02-17,SFA,Huston-Tillotson
pbp_gap,6526450,baseball,D1,2026-02-15,Stonehill,A&M-Corpus Christi
pbp_gap,6553740,baseball,D1,2026-02-24,Texas Southern,Huston-Tillotson
pbp_gap,6553741,baseball,D1,2026-03-17,Texas Southern,Texas A&M-Victoria
pbp_gap,6509150,baseball,D1,2026-02-24,Western Ill.,St. Ambrose
pbp_gap,6569808,baseball,D1,2026-04-08,Oakland,Rochester Christian
pbp_gap,6517519,baseball,D1,2026-03-03,Alabama A&M,Stillman
pbp_gap,6504528,baseball,D1,2026-03-03,Alcorn,Southern-N.O.
pbp_gap,6504547,baseball,D1,2026-03-17,Alcorn,Champion Chris.
pbp_gap,6504552,baseball,D1,2026-03-17,Alcorn,Champion Chris.
pbp_gap,6504566,baseball,D1,2026-03-24,Alcorn,Tougaloo
pbp_gap,6504572,baseball,D1,2026-03-24,Alcorn,Tougaloo
pbp_gap,6504520,baseball,D1,2026-02-24,Jackson St.,Tougaloo
pbp_gap,6525577,baseball,D1,2026-02-24,Jackson St.,Tougaloo
pbp_gap,6525662,baseball,D1,2026-04-07,Jackson St.,Tougaloo
pbp_gap,6474769,baseball,D2,2026-03-10,Ark.-Monticello,Delta St.
pbp_gap,6498585,baseball,D2,2026-04-07,Azusa Pacific,Vanguard
pbp_gap,6539800,baseball,D2,2026-02-24,Benedict,Paine
pbp_gap,6539796,baseball,D2,2026-02-24,Benedict,Paine
pbp_gap,6543508,baseball,D2,2026-04-24,Bluefield St.,CarolinaU
pbp_gap,6543500,baseball,D2,2026-04-26,Bluefield St.,CarolinaU
